,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
1700112E06Rik,0.008154631,-0.0032125711,0.014410734,0.0046293736,0.023140311,0.0104295015,0.01895535
Pax4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lnx1,-0.0008638352,0.0016795248,-0.002639547,0.000765875,-0.0034862906,-0.0010200739,-0.0019175708
Galnt14,-0.00795126,-0.00025463104,-0.006211102,-0.008158982,-0.013940275,-0.0066304803,-0.014279902
Elf2,-0.0037755966,-0.002562642,-0.004943073,-0.0062810183,-0.0086449385,-0.007183194,-0.010846019
Zfp983,0.00067025423,0.00011879206,-0.00017389655,0.0008048415,0.0004968941,-5.0365925e-05,0.00062948465
Gm15446,0.00023025274,0.00020629168,3.9875507e-05,0.0004490614,0.00027096272,0.00024008751,0.00048172474
Zfp260,0.00076937675,0.0028859377,-0.00124228,0.0035636425,-0.0005400181,0.0015561581,0.002169609
Nkx2-5,-9.536743e-07,-4.913658e-06,-2.2221357e-05,-6.213784e-06,-2.3312867e-05,-2.6851892e-05,-2.8826296e-05
Gabrp,0.0010800213,0.0007593334,0.00014221668,0.0018622428,0.0011203587,0.000960961,0.0019564182
Aldh1a3,-0.0030934215,-0.002258405,-0.0035493672,-0.0052261055,-0.006405592,-0.0057091713,-0.0084787905
Lefty2,3.2782555e-07,-1.3848767e-06,1.8915161e-06,-3.7252903e-07,2.7855858e-06,3.7066638e-07,1.8626451e-06
Plxdc2,0.03686261,0.008876085,0.0028312206,0.04573345,0.039906263,0.01184988,0.048968077
Plcxd3,-0.0025449395,0.0010085702,-0.0066995323,-0.0016047955,-0.009188235,-0.005820483,-0.008375049
Gp1bb,-6.854534e-06,-1.3560057e-06,-3.1292439e-07,-7.912517e-06,-5.9753656e-06,-1.7881393e-06,-7.137656e-06
Nfat5,-0.027236938,0.0014871359,0.0073367357,-0.025704145,-0.020130157,0.008910418,-0.018525481
Klf9,-0.00021970272,-0.0009799004,-0.00019651651,-0.0012332201,-0.00040131807,-0.001169622,-0.0014154911
Zbtb1,-0.0036731958,-0.0014066696,0.0009281039,-0.004938543,-0.0028207302,-0.00055217743,-0.0041583776
Hand1,2.3253262e-05,3.0696392e-06,-2.5086105e-05,2.8274953e-05,-2.592802e-06,-2.0682812e-05,9.313226e-07
Kmt2c,-0.0010282993,0.013317347,-0.00021648407,0.012341619,-0.00086402893,0.01320076,0.012598276
Zfp948,0.0011168122,-0.0026016235,0.004475057,-0.0015550852,0.0054929852,0.0018165112,0.002741754
Zfp7,-0.0011558235,1.9848347e-05,-0.0007457137,-0.0011344552,-0.0018765926,-0.0007530451,-0.0018829107
Gm28845,-1.6150996e-05,-1.6591512e-06,-1.4547259e-06,-1.6957521e-05,-1.7112121e-05,-3.2586977e-06,-1.8246006e-05
Clca3b,3.6209822e-06,-0.00014390238,-4.2639673e-05,-0.00014070608,-3.91528e-05,-0.00018625706,-0.00018282887
Myh7,-0.000116247684,-9.227544e-05,-0.00013717264,-0.00020673126,-0.00025019795,-0.00023773313,-0.00035066903
Nfrkb,-0.0033206344,0.0018639565,-0.0027359724,-0.0013329983,-0.0062024593,-0.00081801414,-0.0041885376
Scgb3a2,1.3764948e-06,-3.377907e-06,1.331931e-05,-1.818873e-06,1.4758203e-05,9.64338e-06,1.1098571e-05
Hapln1,0.005464345,-0.0009981096,-0.002102375,0.004454732,0.0032590926,-0.0030849576,0.0022747517
Cd300c,8.2096085e-07,3.4552068e-07,1.413282e-06,1.1487864e-06,1.7946586e-06,1.75694e-06,2.1974556e-06
Slc25a37,-0.00040332973,5.994737e-05,0.000118374825,-0.00034299493,-0.0003105551,0.00017565489,-0.00025187433
Stard13,0.011045694,0.0014188886,0.0036815405,0.0127311945,0.014731944,0.00513649,0.01641494
Hmx3,1.1080876e-05,2.742745e-06,-2.2975728e-06,1.40345655e-05,1.1967495e-05,1.7015263e-06,1.4837831e-05
Col11a1,0.0029518604,0.0017346144,0.0012192726,0.0047388077,0.004195571,0.0029506087,0.0060147047
Dsp,-0.0019844174,-0.011548638,-0.010194004,-0.013411641,-0.011922896,-0.021531582,-0.023195684
Fmod,0.00013652444,-0.000112876296,9.37134e-05,1.2069941e-05,0.00022470951,-1.463294e-05,0.00010636449
Agmo,-0.00026382506,0.0022745728,-0.0013248175,0.002002135,-0.0015795529,0.00089515746,0.00063852966
Lin28a,-2.8423965e-06,-4.8726797e-06,-7.3723495e-06,-7.9758465e-06,-1.0725111e-05,-1.1824071e-05,-1.4998019e-05
Dll3,-1.3943762e-05,-7.417053e-05,-1.5448779e-05,-8.5771084e-05,-2.9578805e-05,-9.064376e-05,-0.00010288507
Mme,-0.00091695786,-0.0023159385,0.0004580021,-0.0032284856,-0.0005373955,-0.001881957,-0.0028636456
Vmn2r8,2.8847717e-06,-5.965121e-07,-1.1102762e-05,2.3841858e-06,-8.500181e-06,-1.1522323e-05,-9.1306865e-06
Slpi,4.976988e-05,2.9660761e-05,-0.00029294193,8.893013e-05,-0.00027307123,-0.00025755167,-0.00022786856
Ocstamp,-4.2691827e-06,2.0861626e-07,-3.6098063e-06,-3.6209822e-06,-8.5849315e-06,-3.4812838e-06,-8.204952e-06
Nkx3-1,6.649643e-06,1.1090189e-05,8.370727e-06,1.7803162e-05,1.4763325e-05,2.0150095e-05,2.6740134e-05
Zfp964,-7.733703e-05,0.00011792779,0.00019362569,3.516674e-05,0.00012308359,0.00031802058,0.00024548173
Lypd6,0.0035045743,-0.0051878095,0.0028059483,-0.0013148189,0.0066249967,-0.0024930239,0.0016601682
Ldha,0.0015234351,-0.00077581406,-0.0014277697,0.00081816316,0.00016614795,-0.0021840036,-0.0005234778
Gm14410,0.0004171133,-0.0007531047,-0.001086235,-0.00033468008,-0.00067025423,-0.0018727183,-0.0014616251
F5,-0.00049604475,-0.00075597316,-3.40268e-05,-0.0012157559,-0.0004995093,-0.000785809,-0.0012154095
A1cf,6.134808e-05,0.00055001304,-0.00011277944,0.00060248,-4.5336783e-05,0.000427261,0.00047866628
Vwf,-1.6145408e-05,-0.0008093193,-0.00042508543,-0.00083963573,-0.00043223053,-0.0012195408,-0.0012450889
Gorab,0.0019757748,0.00020629168,-0.0017297864,0.0022349358,0.00014299154,-0.0015178323,0.00040656328
Lhx3,-1.3504177e-07,1.8514693e-06,1.2116507e-06,1.6884878e-06,1.0896474e-06,3.0593947e-06,2.9848889e-06
Pitx3,-4.351139e-06,-5.1647425e-05,-6.495416e-05,-5.8993697e-05,-6.906688e-05,-0.000112205744,-0.000119790435
Ntn1,-0.01254791,0.0022383928,0.009086549,-0.010343373,-0.003960669,0.011608541,-0.0015012622
