gene,gli2_effect,gli1_gli3_compensation,compensation_ratio,same_sign,gli2_positive
Col6a3,8.46386e-06,0.0048052073,507.7428554522151,1,0
Anxa1,8.715689e-05,0.00557068,63.19052316841032,0,1
Postn,8.7976456e-05,0.0043391585,48.76749080678152,1,0
Lyn,6.1690807e-06,0.0003426373,47.793756875968775,0,1
Sla,2.739951e-06,0.00013627298,36.43710305295444,0,1
Unc5c,0.0010359287,0.03661084,35.30699844646985,1,1
Adcy2,4.673004e-05,0.0014662147,30.718907840848242,1,1
Cdh1,0.00039368868,0.009306133,23.57841375131407,0,1
Zbtb17,6.964803e-05,0.0014000833,19.81772598613153,0,0
Col6a2,4.0650368e-05,0.00082308054,19.76166309022768,1,1
Lama3,0.0002014637,0.0037418008,18.48134159357949,0,1
Kcnmb2,0.00012910366,0.0022649467,17.408785425406172,1,1
Sntb1,0.00018399954,0.003120184,16.865901396295364,1,0
Col1a1,4.053116e-05,0.00055778027,13.430404303660193,1,0
Ptpre,0.00043570995,0.005492151,12.576198458496307,0,1
Tpm2,9.307265e-05,0.0011805892,12.549760211921319,0,1
Khsrp,0.00061541796,0.0076681376,12.439834815974537,0,1
Cdkn1a,2.9087067e-05,0.00036313385,12.069433354869718,1,0
Col4a2,0.00070500374,0.008437932,11.951681729051463,0,1
Tgfb2,0.0019116402,0.019878268,10.393103731689841,0,0
Col5a2,8.3208084e-05,0.0008698702,10.330008221063432,0,0
Tgfbr3,0.0019506216,0.01994729,10.2208799082773,0,1
Slc4a4,0.00036883354,0.0036284924,9.811150173129239,0,0
Lcp2,6.270595e-05,0.00056947954,8.939189196613503,0,1
Ddit3,0.00030100346,0.0025141835,8.325015547835113,1,0
Msr1,3.0439347e-05,0.0002575256,8.191187940385658,0,0
Tcf7l2,0.0026481152,0.021119714,7.972365263692572,1,1
Lgals3,3.1650066e-05,0.00025665388,7.860746131416703,1,0
Lamp3,4.220754e-06,3.906712e-05,7.483041721559759,0,1
Cd44,0.00020468235,0.0014525652,7.062177187298764,1,1
Vegfc,0.0001450777,0.0009865165,6.7533682416960295,1,0
Smad1,0.0010555387,0.0069894195,6.615393738061844,0,1
Trp53,0.00064623356,0.0037181377,5.744661478925783,1,1
Mest,0.0013777018,0.0075212717,5.455328846310349,0,0
Fbn2,0.0036365986,0.0193429,5.317491600090235,1,1
Tfdp1,0.0007940531,0.003958583,4.979017124768144,1,0
Pmp22,0.00016212463,0.00079107285,4.849499735263767,0,1
Col4a1,0.0007183552,0.0034786463,4.83578390758835,0,0
Cav1,0.000590235,0.0028222203,4.773432391519446,1,0
Egr3,3.655441e-06,2.0512613e-05,4.406158943911007,1,0
Fbln2,0.00090557337,0.0039818287,4.3921747888976705,0,1
Edil3,0.00077074766,0.0033628345,4.35742753013336,0,1
Prkcb,0.0005687773,0.002478689,4.350276853781293,1,1
Stab1,0.000406906,0.001763314,4.322843988565992,1,0
Irf1,4.7683716e-07,6.0349703e-06,4.086415526001526,0,1
Meis1,0.0132706165,0.053313017,4.01707033954756,1,1
P2rx7,4.3541193e-05,0.0001784414,4.006210610479158,1,0
Mylk,0.00075799227,0.0030359626,3.9999914623636417,0,0
Nfya,0.00017040968,0.00066435337,3.8758217738928167,1,0
Plg,3.916025e-05,0.00015424937,3.8408468572780303,0,1
Hoxc10,1.30832195e-05,5.352497e-05,3.8006203056055465,1,1
Ptch1,0.00046604872,0.0017572045,3.762358025518194,1,0
Spock1,4.8667192e-05,0.00018659234,3.7568530147627435,0,0
Gna14,0.0008895397,0.0032830536,3.686588705702845,1,0
