,0
1700112E06Rik,0.20003165
Pax4,0.016256992
Lnx1,0.19059098
Galnt14,0.22161523
Elf2,0.75638413
Zfp983,0.37918955
Gm15446,0.6698603
Zfp260,0.87047344
Nkx2-5,0.028472116
Gabrp,0.103541955
Aldh1a3,0.10080695
Lefty2,0.014301516
Plxdc2,0.76077664
Plcxd3,0.3436562
Gp1bb,0.11993358
Nfat5,1.0152539
Klf9,0.2722733
Zbtb1,0.9124151
Hand1,0.09032207
Kmt2c,1.1145686
Zfp948,0.7158403
Zfp7,0.46222445
Gm28845,0.028378982
Clca3b,0.016472341
Myh7,0.07213163
Nfrkb,0.7838191
Scgb3a2,0.005317507
Hapln1,0.20015246
Cd300c,0.0044725677
Slc25a37,0.17791481
Stard13,0.2755075
Hmx3,0.0053472174
Col11a1,0.44967726
Dsp,0.20049918
Fmod,0.24522409
Agmo,0.10809827
Lin28a,0.035618026
Dll3,0.12400868
Mme,0.8567949
Vmn2r8,0.009303772
Slpi,0.12513317
Ocstamp,0.06522864
Nkx3-1,0.01699834
Zfp964,0.36818117
Lypd6,0.42677084
Ldha,0.55671424
Gm14410,0.6051536
F5,0.038565286
A1cf,0.043993536
Vwf,0.08508366
Gorab,0.752874
Lhx3,0.010610379
Pitx3,0.07290613
Ntn1,0.18341005
Pilra,0.02329005
Fam19a1,0.5623344
Lrp1b,0.1456127
Gramd1b,0.45916533
Pde1c,0.4650531
Ttc29,0.040423755
A330033J07Rik,0.17173444
Gm14409,0.019558558
Gbx1,0.06353764
Slc22a27,0.022491429
Slc7a1,0.5317203
Gm44511,0.051038127
Ank1,0.08692641
Nupr1,0.073752016
Smyd1,0.2465619
Pitx2,0.30308917
Cpa1,0.023356266
Prkg2,0.33994812
Itga2,0.19515051
Sohlh2,0.036556832
Zfp647,0.4464568
Hoxc9,0.5065082
Olfr869,0.007861659
Hsf5,0.41476452
Zfp57,0.73480946
Ly6a,0.004419747
Ntrk2,0.21512447
S100a14,0.042313807
Kcnj1,0.05683129
Pkhd1,0.103477575
Ednrb,0.057278145
Cela3b,0.0100183785
Dnah8,0.104517534
Onecut3,0.06790374
Slc7a13,0.033666924
Sbsn,0.13349879
Otx2,0.07333945
Lhx5,0.09745199
Hoxd12,0.24837483
Slc24a5,0.60860556
Gm14295,0.17673588
Runx3,0.22771846
Gm2824,0.056424633
Lmo3,0.20716809
Pou2f3,0.044936094
Tmem232,0.31278846
Emb,0.4422734
Sned1,0.64409786
Esr2,0.1847305
Tgfb2,0.72683036
Egr4,0.0086973915
Nefm,0.24124375
Sox21,0.09549075
Hoxc13,0.16903637
Zfp735,0.009054075
Zfp809,0.5822238
Grm1,0.08355874
Hoxc12,0.048578776
Nfic,0.49673924
Astn2,0.5164695
Mx1,0.03255052
Hoxd11,0.5226752
Pnliprp1,0.02994386
Igf1,0.59122473
Ppl,0.09900771
Adpgk,0.6017997
Nfib,1.20537
Fcer1a,0.013584265
Zfp969,0.0
Atp8b1,0.19150047
Esrp1,0.2224374
Mybl2,0.46538633
Cdsn,0.017616717
Pacrg,0.13246073
Clca1,0.016718863
Zfp955b,0.41150215
Bbx,0.67721575
Pla2g7,0.11915058
Zfp623,0.33280987
Fam169b,0.17398311
Zeb1,1.1132685
Dpp10,0.20186982
Zfp763,0.6855121
Col4a2,0.62013394
Tmem178b,0.30297425
Mical2,0.1818881
Cubn,0.0688096
Stat5b,0.637198
Gpr141,0.017025791
Foxa2,0.022031954
Col9a1,0.33140945
BC048546,0.014443433
Padi2,0.08909757
Shroom3,0.51979584
6530403H02Rik,0.13047482
Krt78,0.0046929866
Bhlha9,0.010512396
Col9a2,0.22766829
Ryr2,0.40819177
H19,0.3520737
Scarb1,0.569511
Cela1,0.035471607
9330185C12Rik,0.014832735
Ebf1,0.5676552
Barhl1,0.03618867
C3ar1,0.03875286
Gkn1,0.0023286927
Zfp72,0.187014
Chrm2,0.19720523
Skint10,0.03448551
Sgms2,0.3958587
Trps1,0.93070924
Atf6b,0.49182898
Cacna2d4,0.023689253
Dgkb,0.27875447
Timp3,0.5644553
Pde10a,0.5471984
5430401F13Rik,0.05554509
Nell2,0.38829356
Zfp114,0.32089472
Tfcp2,0.85560805
Try5,0.009893632
Dbx2,0.339823
Crybb3,0.061682224
Tpsab1,0.0067136143
Zfp367,0.6045777
Dlx3,0.08393775
Gm7145,0.014318804
Ptgs1,0.14152886
Lgals3,0.07862057
Ascl2,0.016492715
Nr5a1,0.031522825
Ppp1r14c,0.09551316
Mctp2,0.24157828
Cryba4,0.005514717
2610021A01Rik,0.75029284
Dnah3,0.03465363
Actb,0.3566981
Nrp1,0.8295402
Nr2e1,0.10142743
Zfp281,0.49655738
Ell2,0.2994274
Ferd3l,0.0036087558
Gm11007,0.00205909
L3mbtl4,0.11309341
Cpeb1,0.068635635
1700007G11Rik,0.19147353
Scrg1,0.1028545
Gm973,0.054064944
Gria2,0.4688954
Cnfn,0.0061223316
Stmn2,0.36979312
Lbx1,0.037107695
Olfm5,0.022546694
Comp,0.07761076
Slc4a5,0.072578326
Tub,0.229353
Bpifb5,0.02031738
Cfap46,0.13273907
Pdzd2,0.7307308
Foxf2,0.25733054
Zfp954,0.15239908
Arid2,1.1476945
Sox10,0.033742137
Acacb,0.2650824
Cpa2,0.26118752
Phyhipl,0.20442717
Serpinb1a,0.018562933
Hinfp,0.5435612
Xbp1,0.42282242
Emx2,0.29486763
Lrriq1,0.23663516
Lrrk2,0.76043385
Colec12,0.52727103
Lrrc4c,0.49173164
Zmat4,0.2839473
Zfp3,0.2325942
Fgb,0.09153991
Aldh1a2,0.34817013
Zfp967,0.007463186
Zfp408,0.5539059
Kcnd3,0.41494757
Ltf,0.014195744
RP23-122B15.1,0.010672404
Klf14,0.047063563
Chsy3,0.61518073
Sgcd,0.82179546
Chga,0.053936593
Nrf1,0.8983029
Zfp619,0.41407534
Zfp366,0.07758596
Pbx3,0.81651145
Gm14618,0.014042478
B4galnt2,0.041899893
Msgn1,0.0
Foxg1,0.1069557
Ppbp,0.048728857
Hmg20a,1.0345231
Gm4924,0.7565217
Nfkb2,0.2079943
Clec4f,0.029901618
Caln1,0.45372587
Cfap69,0.31165636
Trpm1,0.025920827
Samd5,0.43187866
Pakap,0.8787046
Zfp326,1.0102577
Zp2,0.030682083
Zfp646,0.34881374
Fmo6,0.04775809
Bank1,0.037614785
Cd38,0.23981665
Zbtb12,0.28529963
Klf2,0.070149586
Myrfl,0.09143578
Mag,0.032864243
Crocc2,0.084603764
Tmem132b,0.14196391
Zic2,0.25082824
Irf2,0.7316663
Car6,0.024428653
Gm10130,0.285412
Zfp936,0.045288548
Col8a1,0.5058754
Ccdc162,0.107538424
Relb,0.21573073
Smoc1,0.5088589
Pax3,0.39552486
Ube2o,0.6715195
Pip5k1b,0.27206054
Mptx1,0.0010295617
Zfp335,0.42107472
Keg1,0.0074700173
Panx3,0.13730948
Lcor,0.99592453
A430033K04Rik,0.7947883
Zfp11,0.41056922
Ebf4,0.5310152
Gm21994,0.025923382
Cntnap5a,0.117106915
Cxcl13,0.06624552
Crygd,0.0054572662
Xcr1,0.027446687
Rgs22,0.34644172
Hsf1,0.64823073
Zfp574,0.416566
Ptprb,0.10466055
Jhy,0.03317397
A2m,0.15595612
Dgkg,0.037493166
Ckm,0.07172044
Zfp36l2,0.40142336
Fev,0.02586477
Gabrg3,0.1830223
Prg2,0.01149947
Nkx6-1,0.14804272
Cadm2,0.6152826
Olfr1437,0.015381775
Zfp219,0.42675996
Nts,0.05480408
S100a3,0.03661255
Trim9,0.13270503
Tnnc1,0.15177156
Msc,0.063042015
Zfp395,0.6904356
Sdk1,0.74577034
Nccrp1,0.008996069
Cx3cr1,0.19408476
Snai1,0.29550147
Ubtf,0.65825
Etv5,0.3261126
E2f1,0.699686
Irf3,0.48135316
Zfp592,0.8925749
Kcnq3,0.24897343
Eya4,0.9010015
Klk7,0.016123764
Alb,0.28499886
Sox17,0.064157546
Cldn6,0.099731445
Tchh,0.03835899
Foxb1,0.042625636
Myo16,0.117373765
Cxcr2,0.009901404
Pdzrn3,0.8862507
Ly6g,0.0046755318
Usp53,0.6236417
Zfp296,0.019555055
Hey2,0.16916062
Kcnh1,0.20908095
Zfp683,0.0051526455
Rimbp2,0.08510649
2210017I01Rik,0.0020580583
Alx1,0.3111245
Ncf2,0.052805096
Nxph1,0.338405
Gm12606,0.030412579
Zfp113,0.7083891
Il15,0.20248224
Rab27b,0.4584297
Ifng,0.0010287265
Hoxa9,0.6728387
Hpse2,0.462069
Tubb1,0.00958335
Elf5,0.052142
Serpina1a,0.0839252
Cd300lf,0.013766897
Tbx4,0.6505645
Ereg,0.031436425
Ovol2,0.09773122
Etv1,0.7137108
