,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
1700112E06Rik,0.00095902383,0.00054465234,1.2457371e-05,0.0015448928,0.0009573996,0.00053976476,0.0015264452
Pax4,-0.00029997155,-0.0016579591,2.3964792e-05,-0.0019637719,-0.0002773218,-0.0016680732,-0.001972545
Lnx1,-0.0004888028,0.00048694015,8.323789e-05,-3.2141805e-05,-0.00040391088,0.0005606264,4.4628978e-05
Galnt14,-0.001552999,0.0013508201,0.00042375922,-0.000282228,-0.001105845,0.0018509328,0.00023904443
Elf2,-1.1175871e-05,0.0004169345,-8.097291e-05,0.00041761994,-0.00010308623,0.0003283918,0.0003207922
Zfp983,0.0002103746,-0.00019738078,-0.0006147623,2.1249056e-05,-0.00040757656,-0.0007828176,-0.0005713105
Gm15446,0.0015124679,-0.00057023764,0.0014128089,0.00091415644,0.002966702,0.0007633567,0.0022867918
Zfp260,0.00072050095,0.00046026707,-0.0010374784,0.0011720657,-0.00033795834,-0.0005571842,0.00013244152
Nkx2-5,3.377907e-05,-0.0004470069,0.00020737015,-0.0004257094,0.00023817457,-0.00023718737,-0.00021920912
Gabrp,9.685755e-07,4.671514e-06,1.437962e-06,5.826354e-06,3.3155084e-06,6.183982e-06,8.352101e-06
Aldh1a3,-0.00019628555,0.0009310618,-8.315593e-05,0.0007241741,-0.00026029348,0.00084576756,0.0006605685
Lefty2,5.756598e-05,-5.0557777e-05,-9.717699e-05,1.180917e-06,-4.1037798e-05,-0.00015089475,-9.903684e-05
Plxdc2,0.008609533,-0.0030665398,0.00052666664,0.005399823,0.009140968,-0.0024889708,0.00597167
Plcxd3,-0.00021743774,0.0009864867,-0.001020819,0.00075253844,-0.0012130737,-5.9753656e-05,-0.00025692582
Gp1bb,-1.8373132e-05,-4.68567e-05,-1.3567507e-05,-6.6012144e-05,-3.4190714e-05,-6.1281025e-05,-8.118898e-05
Nfat5,0.004112482,0.006799698,-0.004951477,0.01101172,-0.0007959604,0.0018972158,0.0061692
Klf9,6.324053e-05,3.7789345e-05,5.2958727e-05,0.00010150671,0.00011700392,9.024143e-05,0.0001552105
Zbtb1,0.00027489662,0.0007904768,-0.00011694431,0.0010757446,0.00015002489,0.00068306923,0.0009647608
