gene,gli2_effect,gli1_gli3_compensation,compensation_ratio,same_sign,gli2_positive
Sgms2,8.821487e-06,0.0009070337,92.35197277153654,1,1
Slamf1,3.9301813e-07,9.696931e-05,69.61094612602062,0,1
Slc2a1,2.9802322e-07,7.286668e-05,56.13665370331356,0,0
Itga2,1.2606382e-05,0.0004914254,36.11727202720018,0,0
Id3,5.632639e-06,0.00015941262,24.03456904559407,0,1
Smarcc1,0.00016117096,0.0033897161,20.90211527390601,1,1
E2f2,1.7553568e-05,0.0003502667,18.878670668628263,0,0
Preb,3.963709e-05,0.000762403,18.761259726028612,1,1
Spock1,0.00027817488,0.00500232,17.91823103855189,0,1
Lama3,2.0809472e-05,0.00036226958,16.610653389499753,0,0
Dapp1,0.00011180341,0.0016326755,14.473636036357412,0,0
Ncl,4.0590763e-05,0.0005161762,12.410837473695782,1,1
Emp1,0.00043809414,0.0046700835,10.635722672135865,1,1
Slc7a1,1.3411045e-06,2.3514032e-05,10.043990774440012,0,1
Ddit3,5.0246716e-05,0.0005059242,9.87232430659557,1,1
Adgre1,5.9492886e-06,6.694719e-05,9.633675308865428,1,0
Cdh1,8.6426735e-06,9.11504e-05,9.452814097667,1,1
Lyn,0.0001091063,0.0010027438,9.107052003382186,0,0
E2f1,2.270937e-05,0.00018918514,7.979340657301312,0,0
Cebpg,1.2397766e-05,0.00010341406,7.718754007197916,0,0
Cxcl15,4.163012e-05,0.00029277802,6.86786760159249,1,0
Lama1,7.149577e-05,0.0004720986,6.512084774049575,1,0
Mapk10,0.00068190694,0.0039610565,5.800287371512142,0,1
Anxa1,0.000106446445,0.0006169975,5.7423723977093895,1,1
Id1,5.0261617e-05,0.0002847761,5.555347581017587,1,0
Ssrp1,3.194809e-05,0.00017625093,5.349351965470533,0,0
Olr1,1.0551885e-05,6.140955e-05,5.315976570057614,0,0
Tfdp1,6.556511e-05,0.00034356117,5.161279985866471,1,1
Nabp1,8.0540776e-05,0.00040997565,5.027860539369898,1,1
Atf6,0.00033271313,0.0016480088,4.938399636837782,1,1
Ahr,1.9878149e-05,0.000101327896,4.8532988245270205,1,1
Itgb3,8.483231e-05,0.00041034073,4.780725696418982,1,1
Marco,1.0039657e-05,5.2586198e-05,4.7633905654858655,0,0
Aqp9,2.0638108e-06,1.3969839e-05,4.559628486197647,1,1
Il18rap,2.2422522e-05,0.00010312162,4.40266936241964,0,1
Col4a2,4.607439e-05,0.00019526482,4.148005316691306,1,1
Scg2,1.611188e-05,6.7047775e-05,3.918200396449718,0,1
E2f3,0.0003450513,0.0013464093,3.890779488474685,1,1
P2rx7,0.00017103553,0.0006659031,3.8707300753512954,0,1
F2,1.3805926e-05,5.6564808e-05,3.820416770960492,0,0
Slc1a2,0.0008970797,0.003296405,3.670503853945257,0,1
Lcp2,7.6927245e-07,6.429851e-06,3.6341779922023885,0,1
Id2,0.0001795888,0.000626266,3.4679116312861042,1,1
Tcf7l2,0.004720211,0.016143441,3.4193432574820317,1,1
Hmox1,2.9444695e-05,9.8489225e-05,3.235020912510373,1,0
Mxd3,3.169477e-05,0.00010341406,3.1630153691247873,1,0
Pura,0.0004248619,0.0013024211,3.0583179664581404,1,1
Vav3,0.0013859272,0.0042396486,3.0568645564093053,1,1
Lta,7.304363e-06,2.4086796e-05,2.9004989305019544,0,1
Eng,0.00014810264,0.00042818487,2.8717457316651136,0,0
Timp3,0.001362443,0.0038170815,2.79959008187361,0,0
Ppard,0.0011813641,0.0032566786,2.754378790763353,1,1
Ros1,0.00037388504,0.0010212883,2.724270619067648,0,1
Il7r,1.1568889e-05,3.400445e-05,2.70544596264634,1,0
Sele,4.2734668e-05,0.00011802744,2.698715810532734,0,1
Smad7,0.0007727146,0.0020482242,2.647260630728695,1,1
Cav1,0.00046116114,0.001196742,2.5894474814563595,1,1
Satb1,0.00045102835,0.0011697412,2.5877607012922974,1,1
Arid4a,0.0009781718,0.002523899,2.5775854655944954,1,1
Jun,6.045401e-05,0.00015826523,2.5753442289608115,1,0
Xbp1,3.555417e-05,9.062886e-05,2.4793029085327345,0,1
Cap2,0.00010532141,0.00025770068,2.4237891502755655,1,1
Il1b,1.9002706e-05,4.8385933e-05,2.4189693634451257,1,0
Slit1,0.00018918514,0.00045585632,2.3969081916704953,1,1
Col11a1,0.010238409,0.02367282,2.3119322609342006,0,1
Postn,0.0027956367,0.0064525604,2.307257285152555,0,1
Prkcb,0.0006569922,0.001515463,2.3031625602856693,1,1
Prf1,0.000103143975,0.00023776107,2.283003601504552,0,1
Hmgb2,0.00016573071,0.00037053227,2.222339663760803,1,1
Ereg,1.0628253e-05,2.528727e-05,2.174640507047791,0,1
Arid4b,0.0023247004,0.0049972534,2.148709008262629,1,1
Nedd9,0.00035196543,0.0007534027,2.1344943044422227,1,1
Smad1,0.0025889277,0.005526483,2.1338367862546894,1,1
Tcf19,3.2275915e-05,6.994605e-05,2.102002304068874,0,1
Ptpre,0.000649482,0.0013208389,2.0305541121814286,1,1
E2f8,0.00037306547,0.0007517934,2.009790959855236,0,0
Thbs1,0.0008864701,0.0017775893,2.0029850019735878,0,1
Nfyb,0.000308156,0.00061911345,2.0025923805457433,1,1
Ncor2,0.0004426241,0.00088226795,1.988773716306215,1,1
Atf3,0.0002258867,0.00044712424,1.9706939190353598,1,0
Sgcd,0.01990223,0.037924767,1.905457908088285,0,1
Heyl,8.417666e-05,0.00016117096,1.8921962894530029,0,0
Wnt6,0.000113502145,0.00021217763,1.853045023741695,0,0
Nrp2,0.0067847967,0.012573957,1.852981684523499,1,1
Unc5c,0.009717941,0.017989635,1.8509871600208294,1,1
Fn1,0.009375572,0.01717925,1.8321461190720874,1,1
Pitx2,0.00018149614,0.00033086538,1.8129993324790323,1,1
Hey1,1.23381615e-05,2.387166e-05,1.7897264176925733,0,1
Ctcf,0.0010429621,0.0018291473,1.7521204074362473,1,1
Lama2,0.008715749,0.015049815,1.7265399061049023,0,1
