,0
1700112E06Rik,0.19728167
Pax4,0.022940235
Lnx1,0.36435145
Galnt14,0.46353784
Elf2,0.49439925
Zfp983,0.45884332
Gm15446,0.6816447
Zfp260,0.6128399
Nkx2-5,0.007414147
Gabrp,0.032697495
Aldh1a3,0.098485745
Lefty2,0.007993463
Plxdc2,0.69523484
Plcxd3,0.7406874
Gp1bb,0.3134403
Nfat5,0.7121319
Klf9,0.0702491
Zbtb1,0.37744385
Hand1,0.04708385
Kmt2c,1.0923752
Zfp948,0.9176221
Zfp7,0.43272185
Gm28845,0.0017626334
Clca3b,0.010153597
Myh7,0.029660521
Nfrkb,0.78700995
Scgb3a2,0.0
Hapln1,0.058871422
Cd300c,0.01671864
Slc25a37,0.40896082
Stard13,0.21329552
Hmx3,0.017372303
Col11a1,0.7263023
Dsp,0.05246344
Fmod,0.036653243
Agmo,0.21074523
Lin28a,0.09591074
Dll3,0.09829997
Mme,0.2439852
Vmn2r8,0.0030589823
Slpi,0.017539227
Ocstamp,0.0064592543
Nkx3-1,0.0056817597
Zfp964,0.21550049
Lypd6,0.23034146
Ldha,0.28190398
Gm14410,0.31768417
F5,0.045788303
A1cf,0.012924714
Vwf,0.022786476
Gorab,0.47652814
Lhx3,0.16016774
Pitx3,0.01998727
Ntn1,0.07932393
Pilra,0.033198167
Fam19a1,0.36513984
Lrp1b,0.58768225
Gramd1b,0.25338835
Pde1c,0.33745646
Ttc29,0.023467747
A330033J07Rik,0.24873495
Gm14409,0.029686287
Gbx1,0.0218324
Slc22a27,0.012194885
Slc7a1,0.43183535
Gm44511,0.044657953
Ank1,0.76918095
Nupr1,0.0369018
Smyd1,0.22668815
Pitx2,0.117225565
Cpa1,0.0012315143
Prkg2,0.1004251
Itga2,0.03959252
Sohlh2,0.0028854336
Zfp647,0.27790824
Hoxc9,0.55054957
Olfr869,0.004137191
Hsf5,0.39539072
Zfp57,0.8889279
Ly6a,0.011385507
Ntrk2,0.4430964
S100a14,0.0007260342
Kcnj1,0.03445405
Pkhd1,0.03993659
Ednrb,0.043830737
Cela3b,0.0036696468
Dnah8,0.13758044
Onecut3,0.36888134
Slc7a13,0.022714384
Sbsn,0.16815563
Otx2,0.07219526
Lhx5,0.15348123
Hoxd12,0.026774839
Slc24a5,0.44758788
Gm14295,0.13254935
Runx3,0.013786576
Gm2824,0.36406827
Lmo3,0.43346512
Pou2f3,0.015983263
Tmem232,0.30490616
Emb,0.5156527
Sned1,0.21179242
Esr2,0.113197386
Tgfb2,0.25112233
Egr4,0.00064262474
Nefm,0.67660826
Sox21,0.037458677
Hoxc13,0.115589045
Zfp735,0.0006425143
Zfp809,0.27964526
Grm1,0.2690151
Hoxc12,0.061984375
Nfic,0.3945063
Astn2,0.53580296
Mx1,0.012210064
Hoxd11,0.15997958
Pnliprp1,0.0071470276
Igf1,0.2747351
Ppl,0.027537292
Adpgk,0.46265605
Nfib,0.4788034
Fcer1a,0.0012851204
Zfp969,0.0067369314
Atp8b1,0.064669326
Esrp1,0.033433482
Mybl2,0.07635215
Cdsn,0.004515399
Pacrg,0.6884743
Clca1,0.004662451
Zfp955b,0.27526945
Bbx,0.51489353
Pla2g7,0.115831114
Zfp623,0.22997874
Fam169b,0.015650554
Zeb1,0.7868786
Dpp10,0.87886035
Zfp763,0.48169234
Col4a2,0.19282669
Tmem178b,1.012667
