,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
1700112E06Rik,0.00073105097,0.0015826523,0.0010037422,0.0023228526,0.001753211,0.0025939345,0.00335297
Pax4,2.1792948e-07,9.164214e-07,4.3399632e-07,1.2405217e-06,5.9604645e-07,1.475215e-06,1.5944242e-06
Lnx1,-8.7082386e-05,-3.284216e-05,-1.168251e-05,-0.0001205802,-9.649992e-05,-4.4226646e-05,-0.00012934208
Galnt14,-0.0001847744,-0.0008690953,0.0011844635,-0.0010552406,0.0009926558,0.00029587746,0.00011074543
Elf2,0.00014716387,0.00017783046,-0.000159204,0.00032562017,-9.834766e-06,2.0682812e-05,0.0001706779
Zfp983,3.9070845e-05,8.0019236e-05,2.9325485e-05,0.000120192766,6.878376e-05,0.000111073256,0.00015106797
Gm15446,2.3305416e-05,-2.8431416e-05,9.655952e-06,-6.377697e-06,3.439188e-05,-1.9133091e-05,4.053116e-06
Zfp260,-8.279085e-05,-0.00025641918,-9.5009804e-05,-0.0003402233,-0.0001770854,-0.00034946203,-0.00043308735
Nkx2-5,5.760696e-06,-1.7136335e-07,7.8231096e-08,5.666632e-06,5.4189004e-06,-7.497147e-08,5.2871183e-06
Gabrp,4.1844323e-05,-3.043376e-05,1.1214986e-05,1.1937693e-05,5.256757e-05,-1.7596409e-05,2.3851171e-05
Aldh1a3,5.1409006e-07,4.425645e-06,8.866191e-06,3.993511e-06,9.469688e-06,1.2286007e-05,1.2986362e-05
Lefty2,-1.2610108e-06,2.7931295e-05,-9.73139e-06,2.6708469e-05,-1.1018477e-05,1.8289313e-05,1.6987324e-05
Plxdc2,-0.00066435337,-0.00028336048,0.0011461973,-0.0009251833,0.0004911423,0.00084495544,0.00020432472
Plcxd3,0.0023280382,-0.0009971857,0.0011155605,0.0013365746,0.0034326315,0.000108361244,0.0024262667
Gp1bb,0.0,7.748604e-07,-4.4703484e-07,7.748604e-07,-4.4703484e-07,2.9802322e-07,2.9802322e-07
Nfat5,-5.364418e-06,-4.9591064e-05,5.686283e-05,-5.376339e-05,5.2571297e-05,1.0430813e-05,1.7285347e-06
Klf9,-5.3346157e-06,-3.181398e-06,-2.476573e-05,-9.134412e-06,-2.9973686e-05,-2.7269125e-05,-3.30247e-05
Zbtb1,7.69794e-05,-1.9401312e-05,-5.662441e-07,5.6147575e-05,7.659197e-05,-2.2917986e-05,5.5611134e-05
