gene,gli2_effect,gli1_gli3_compensation,compensation_ratio,same_sign,gli2_positive
Hmgb2,5.8859587e-07,9.590387e-05,60.370212343558464,0,1
Itga2,6.2063336e-06,0.00032237172,44.734498552773076,0,1
Heyl,3.3918768e-06,0.0001755599,39.97377613142518,0,1
Lama3,1.3023615e-05,0.00051906705,37.01378353584293,1,1
Tacr1,9.5665455e-05,0.0028306842,29.28330705110735,1,0
Abi3bp,1.40964985e-05,0.000429295,28.436726569409455,1,1
Postn,1.0579824e-05,0.0003077984,26.58057669961132,1,0
Prrx1,1.2755394e-05,0.00030127913,21.902617256910272,1,0
Nabp1,1.1622906e-06,3.9190054e-05,18.1243233448825,0,1
Slit2,0.0006225109,0.011229515,18.01013422540007,0,1
Rara,1.6987324e-06,4.5105815e-05,16.71370418200782,0,0
Slit1,0.00067842007,0.010157943,14.950902171612325,0,1
Xbp1,2.9802322e-08,1.4454126e-05,14.035825799973288,0,0
Cd44,9.641051e-06,0.00014465302,13.593865869076277,0,0
Nfya,2.2947788e-06,4.4494867e-05,13.504659857590443,0,0
Lyn,1.848489e-05,0.00023265928,11.940497482921382,1,0
Zbtb17,4.61936e-06,6.0915947e-05,10.840370967512316,1,0
Tgfb2,2.5883317e-05,0.00027675927,10.294833409136231,1,1
Ssrp1,5.543232e-06,6.720424e-05,10.270801952307362,1,0
Has2,3.9577484e-05,0.00041094422,10.127395281580297,1,1
Igfbp2,3.4689903e-05,0.00035911798,10.062173046533637,0,1
Ros1,5.3718686e-06,6.161071e-05,9.669174596601067,1,1
Slc4a4,9.661913e-05,0.0009160936,9.384365543925663,1,1
Ppard,5.750358e-05,0.00054457784,9.308453260467138,0,1
Ncor2,2.7894974e-05,0.00025755167,8.913372616289601,1,0
Matn2,3.9964914e-05,0.00035893917,8.76211213332463,1,1
Tcf7,7.8976154e-07,1.4685094e-05,8.205056188658517,0,0
Col3a1,5.929172e-05,0.00047759712,7.921437968596684,0,1
Ly6e,1.1920929e-07,8.5532665e-06,7.642240442804044,1,1
Tpm2,4.246831e-07,1.07213855e-05,7.525452853339806,1,1
Ptpre,3.927946e-05,0.00028330088,7.033383267799519,1,1
Csf1,1.5035272e-05,8.945167e-05,5.5784317222682605,1,1
Itpr2,5.0917268e-05,0.00028692186,5.526520771470487,0,0
Dapp1,2.835691e-05,0.00015755743,5.366962326757141,1,0
Klf6,2.05338e-05,0.00011232495,5.216215902441743,0,0
Olr1,4.868023e-06,3.0297786e-05,5.163201643892671,1,0
Ptch1,0.0002706051,0.001355052,4.9890521201553275,1,1
Lama2,0.0003247261,0.0015979111,4.90568947345638,1,1
P2rx7,4.246831e-06,2.482161e-05,4.7307813039909234,0,0
Lef1,0.00015132129,0.00071564317,4.698247828652187,1,1
Pmp22,2.0608306e-05,0.000100046396,4.62999718719274,1,0
Vcan,0.00037956238,0.0017439127,4.582462144576666,1,1
Shh,3.0994415e-05,0.00014632195,4.573359131585936,1,0
Acta2,1.6324222e-05,7.8462064e-05,4.529038244834314,1,1
Eln,1.5854836e-05,7.608533e-05,4.51415427595973,0,0
Ifitm1,6.761402e-07,7.0454553e-06,4.203380659923316,1,1
Cdkn1a,5.2154064e-07,6.1392784e-06,4.034909248299803,1,0
Tpm1,1.1384487e-05,4.8696995e-05,3.9320962588115274,0,1
Cxcl10,2.301298e-06,1.2232922e-05,3.7054885684358094,1,0
