,0
1700112E06Rik,0.20603089
Pax4,0.011254329
Lnx1,0.16916919
Galnt14,0.16050112
Elf2,0.83166146
Zfp983,0.3267328
Gm15446,0.67825204
Zfp260,0.84311223
Nkx2-5,0.04673579
Gabrp,0.08079862
Aldh1a3,0.107241616
Lefty2,0.0141207855
Plxdc2,0.53441334
Plcxd3,0.2972315
Gp1bb,0.11234405
Nfat5,0.8902903
Klf9,0.24037872
Zbtb1,0.85255706
Hand1,0.0315418
Kmt2c,1.1155474
Zfp948,0.7108799
Zfp7,0.33688894
Gm28845,0.029102532
Clca3b,0.005638604
Myh7,0.1132623
Nfrkb,0.92803365
Scgb3a2,0.0
Hapln1,0.135358
Cd300c,0.004606147
Slc25a37,0.21383087
Stard13,0.922994
Hmx3,0.009487632
Col11a1,0.32131425
Dsp,0.19549951
Fmod,0.16830218
Agmo,0.13067569
Lin28a,0.0323862
Dll3,0.072654456
Mme,0.26671007
Vmn2r8,0.029032284
Slpi,0.056305338
Ocstamp,0.009835447
Nkx3-1,0.01160712
Zfp964,0.23144417
Lypd6,0.7035534
Ldha,0.65260386
Gm14410,0.505611
F5,0.03848196
A1cf,0.079669625
Vwf,0.31212574
Gorab,0.7028636
Lhx3,0.017311985
Pitx3,0.8468891
Ntn1,0.64871716
Pilra,0.038387302
Fam19a1,0.26922294
Lrp1b,0.364691
Gramd1b,0.7863981
Pde1c,0.87693363
Ttc29,0.03131244
A330033J07Rik,0.08414813
Gm14409,0.0067183403
Gbx1,0.079753615
Slc22a27,0.02042792
Slc7a1,0.7482502
Gm44511,0.06293079
Ank1,0.61808157
Nupr1,0.05513923
Smyd1,0.36409852
Pitx2,0.96352035
Cpa1,0.034363262
Prkg2,0.22086582
Itga2,0.15877405
Sohlh2,0.0500296
Zfp647,0.32140794
Hoxc9,0.4915166
Olfr869,0.0016024383
Hsf5,0.44464272
Zfp57,0.6959606
Ly6a,0.014249702
Ntrk2,0.38920066
S100a14,0.01450373
Kcnj1,0.01748443
Pkhd1,0.2640704
Ednrb,0.28051546
Cela3b,0.013675669
Dnah8,0.12373752
Onecut3,0.04110778
Slc7a13,0.04733479
Sbsn,0.12347931
Otx2,0.04007021
Lhx5,0.05763716
Hoxd12,0.03395064
Slc24a5,0.4783499
Gm14295,0.28251007
Runx3,0.073434785
Gm2824,0.16703957
Lmo3,0.5418961
Pou2f3,0.067161255
Tmem232,0.29032996
Emb,0.2781908
Sned1,0.37774774
Esr2,0.05876399
Tgfb2,0.89796674
Egr4,0.0037102585
Nefm,0.19192514
Sox21,0.06422616
Hoxc13,0.19136718
Zfp735,0.028014122
Zfp809,0.6569149
Grm1,0.09548165
Hoxc12,0.030091232
Nfic,0.5194716
Astn2,0.35181206
Mx1,0.022231162
Hoxd11,0.21895665
Pnliprp1,0.030815233
Igf1,0.5745857
Ppl,0.10922818
Adpgk,0.749362
Nfib,1.0872991
Fcer1a,0.02324318
Zfp969,0.048047554
Atp8b1,0.16650362
Esrp1,0.17353061
Mybl2,0.4812127
Cdsn,0.03353128
Pacrg,0.4176665
Clca1,0.011826271
Zfp955b,0.43340892
Bbx,1.0613341
Pla2g7,0.15187624
Zfp623,0.48505467
Fam169b,0.3749908
Zeb1,1.0235153
Dpp10,0.26387525
Zfp763,0.6804166
Col4a2,0.8160323
Tmem178b,0.5375872
Mical2,0.34130645
Cubn,0.3817788
Stat5b,0.73933154
Gpr141,0.020565756
Foxa2,0.037552036
Col9a1,0.3057799
BC048546,0.029909004
Padi2,0.06622815
Shroom3,0.5604881
6530403H02Rik,0.08106848
Krt78,0.019358624
Bhlha9,0.008045907
Col9a2,0.21943374
Ryr2,0.12807253
H19,0.48928326
Scarb1,0.3238396
Cela1,0.04721985
9330185C12Rik,0.02070196
Ebf1,0.48610076
Barhl1,0.033311468
C3ar1,0.037505355
Gkn1,0.0032491165
Zfp72,0.22814032
Chrm2,0.18318802
Skint10,0.018325677
Sgms2,0.08042428
Trps1,0.8899779
Atf6b,0.5804542
Cacna2d4,0.072217
Dgkb,0.17137189
Timp3,0.74462265
Pde10a,0.589315
5430401F13Rik,0.026147854
Nell2,0.26670745
Zfp114,0.2376808
Tfcp2,0.8758626
Try5,0.03785276
Dbx2,0.15386888
Crybb3,0.069063194
Tpsab1,0.0
Zfp367,0.58067447
Dlx3,0.08665186
Gm7145,0.022512473
Ptgs1,0.08914993
Lgals3,0.06617704
Ascl2,0.014672986
Nr5a1,0.030529553
Ppp1r14c,0.23656239
Mctp2,0.18697278
Cryba4,0.047840487
2610021A01Rik,0.7235256
Dnah3,0.07393964
Actb,0.5003106
Nrp1,0.37377977
Nr2e1,0.08092575
Zfp281,0.41306254
Ell2,0.28754026
Ferd3l,0.0041365055
Gm11007,0.022656841
L3mbtl4,0.14222427
Cpeb1,0.09262494
1700007G11Rik,0.34027213
Scrg1,0.037454944
Gm973,0.09286071
Gria2,0.4502661
Cnfn,0.0
Stmn2,0.20112817
Lbx1,0.3421402
Olfm5,0.00806212
Comp,0.060152393
Slc4a5,0.04426868
Tub,0.23748806
Bpifb5,0.024994073
Cfap46,0.17043811
Pdzd2,0.43815932
Foxf2,0.16237469
Zfp954,0.16392276
Arid2,1.1503384
Sox10,0.103150405
Acacb,0.108483694
Cpa2,0.39775345
Phyhipl,0.15129906
Serpinb1a,0.031752314
Hinfp,0.49621207
Xbp1,0.46046194
Emx2,0.3699263
Lrriq1,0.14009786
Lrrk2,0.31659922
Colec12,0.5349281
Lrrc4c,0.30768892
Zmat4,0.112885244
Zfp3,0.3517565
Fgb,0.11299237
Aldh1a2,0.2660669
Zfp967,0.02564626
Zfp408,0.62699795
Kcnd3,0.26783493
Ltf,0.019200014
RP23-122B15.1,0.0029849587
Klf14,0.04734954
Chsy3,0.46598026
Sgcd,0.6703863
Chga,0.051769923
Nrf1,1.0016418
Zfp619,0.54104596
Zfp366,0.0866888
Pbx3,0.9491187
Gm14618,0.02172035
B4galnt2,0.054919355
Msgn1,0.0
Foxg1,0.07314847
Ppbp,0.09057867
Hmg20a,0.9406648
Gm4924,0.8758099
Nfkb2,0.23533648
Clec4f,0.028761962
Caln1,0.25175837
Cfap69,0.40198907
Trpm1,0.015237709
Samd5,0.3613703
Pakap,0.82593834
Zfp326,1.0544368
Zp2,0.048269685
Zfp646,0.36731222
Fmo6,0.02812867
Bank1,0.05877548
Cd38,0.09296885
Zbtb12,0.22736345
Klf2,0.070448264
Myrfl,0.24243152
Mag,0.010766906
Crocc2,0.057934895
Tmem132b,0.182103
Zic2,0.13729714
Irf2,0.7919721
Car6,0.021074455
Gm10130,0.25747913
Zfp936,0.042414512
Col8a1,0.2670221
Ccdc162,0.41789094
Relb,0.33366978
Smoc1,0.64589876
Pax3,0.4507127
Ube2o,0.7166684
Pip5k1b,0.36451378
Mptx1,0.0
Zfp335,0.537645
Keg1,0.026416766
Panx3,0.0646446
Lcor,1.0749115
A430033K04Rik,0.78671014
Zfp11,0.41908327
Ebf4,0.48858014
Gm21994,0.018622346
Cntnap5a,0.22945751
Cxcl13,0.045873497
Crygd,0.0047044307
Xcr1,0.0468063
Rgs22,0.23713475
Hsf1,0.71144795
Zfp574,0.4927087
Ptprb,0.0951793
Jhy,0.04297169
A2m,0.10328443
Dgkg,0.062995784
Ckm,0.13969685
Zfp36l2,0.22660592
Fev,0.018341843
Gabrg3,0.16078843
Prg2,0.007951545
Nkx6-1,0.059603315
Cadm2,0.43682364
Olfr1437,0.0010854205
Zfp219,0.44080836
Nts,0.020104002
S100a3,0.3675401
Trim9,0.19275966
Tnnc1,0.17035925
Msc,0.36863622
Zfp395,0.6041715
Sdk1,0.6875964
Nccrp1,0.013158212
Cx3cr1,0.22816709
Snai1,0.33696997
Ubtf,0.59980375
Etv5,0.5787567
E2f1,0.70583886
Irf3,0.46977273
Zfp592,0.8909584
Kcnq3,0.31139788
Eya4,1.2217557
Klk7,0.032460116
Alb,0.26888436
Sox17,0.058961574
Cldn6,0.08280883
Tchh,0.08674446
Foxb1,0.04041304
Myo16,0.46133286
Cxcr2,0.023718126
Pdzrn3,1.0038968
Ly6g,0.0023393973
Usp53,0.5277568
Zfp296,0.051053554
Hey2,0.12122705
Kcnh1,0.21085383
Zfp683,0.04023165
Rimbp2,0.16046193
2210017I01Rik,0.0
Alx1,0.16103683
Ncf2,0.06353648
Nxph1,0.22381341
Gm12606,0.036356054
Zfp113,0.6260375
Il15,0.17897236
Rab27b,0.24462993
Ifng,0.011723946
Hoxa9,0.43320248
Hpse2,0.37731865
Tubb1,0.05399282
Elf5,0.087066405
Serpina1a,0.08302586
Cd300lf,0.017770039
Tbx4,0.23421091
Ereg,0.03243734
Ovol2,0.062036645
Etv1,0.7888665
Trpm2,0.044657167
Ins1,0.0
Krt17,0.06690207
Mier1,0.99331063
Lyar,0.6881445
Ccser1,0.32702264
Pou5f2,0.16844805
D930020B18Rik,0.09902015
Slfn1,0.0030788118
Tbr1,0.08109856
Zfp583,0.5389249
Susd1,0.19055945
Zbtb4,0.49018577
Dlgap2,0.20887302
Iqca,0.17676087
Stat5a,0.40901202
Nfe2l3,0.14437152
Atp6v0d2,0.023104843
Sctr,0.079497546
Ptprz1,0.28167546
Myo1g,0.03445529
H2-Eb1,0.054999232
Gm43020,0.03151494
D5Ertd615e,0.09591968
Zbtb48,0.31739727
Qrfpr,0.040046312
4930544I03Rik,0.2808848
Negr1,0.46722904
Zfp663,0.061272494
Ptprn2,0.16776417
Slc46a2,0.026997775
Gfi1b,0.07409047
Zfp641,0.15013495
Sntb1,0.59409773
Fam65b,0.38667223
Epb41,0.80180895
Krt16,0.0029175403
Otof,0.061237596
Plin1,0.030512678
Clec12a,0.018413981
Chn2,0.71777505
Prg3,0.008672
Tpm2,0.46274996
Ifi207,0.025504712
Bmp5,0.36766225
Nfia,0.95346326
Tmeff2,0.5220873
Mef2a,0.81932926
Duxbl1,0.12694235
Veph1,0.16643928
Hlx,0.1540416
Sox13,0.3090124
Junb,0.06666223
Aox3,0.040653083
Tulp3,0.83380187
Zfp14,0.46996123
Pard3b,0.8843226
Gm31784,0.03614242
Ptch1,0.5819369
Zfp30,0.42761463
Hopx,0.07760532
Msr1,0.06514216
Usp32,0.7363266
Nfil3,0.39266956
Lcn3,0.0051350123
Zfp707,0.22586036
Hspa1b,0.0937274
Myb,0.15785325
Fbn2,1.0880395
Zfp977,0.22559011
Kcnq5,0.47792324
Crtam,0.07575589
Rbpjl,0.012071307
Cntnap5c,0.22638601
Dcpp3,0.011908894
Zfp979,0.19315182
RP23-384F19.1,0.011773486
Gm5141,0.5729498
Nkx3-2,0.016257836
Pbx1,1.0201584
Grxcr1,0.04824989
2310057N15Rik,0.0
Cldn5,0.07759767
Gp6,0.041429047
Ccdc175,0.09498159
Slc39a8,0.2790219
Fam198b,0.28704643
Themis,0.043257847
Cntn2,0.16294956
Lce1c,0.0
Gfra1,1.1189774
Gm2007,0.0
Zbtb45,0.3513598
Onecut2,0.21765137
Rhag,0.06007711
Selenop,0.34152246
Cdh16,0.028235892
Zfp940,0.35011533
Limch1,0.62136066
Sele,0.007802016
Obox8,0.0
Mmp8,0.05101926
Tspear,0.19384554
Figla,0.046915043
Zfp787,0.74704427
Zfp616,0.04175664
Foxj3,0.9627851
Ccl3,0.0054241004
Vwc2,0.46613047
9130023H24Rik,0.14795321
Crygc,0.003924225
Lama1,0.2560168
Lrrfip2,0.73084944
Adarb2,0.32204953
Nfya,0.61845535
Tax1bp1,0.92591447
Cldn11,0.24097522
Etv3,0.47735503
Ccdc180,0.089860685
Fcrlb,0.014711828
Trf,0.18769884
Zfp988,0.030033704
Gm30978,0.0038381312
BC049730,0.0
Zfp41,0.3335879
Rerg,0.27957726
Ppm1h,0.30562636
Hey1,0.22876869
Rap1b,0.7066006
Srgn,0.03743397
Gm45455,0.18535249
1700027J07Rik,0.113238186
Usf3,0.8703816
Vav3,0.3253638
Slc12a1,0.017998874
Prkg1,0.8093222
Nr6a1,0.540776
Gm13371,0.0
Apob,0.21720853
Rhoh,0.27677432
Hsf2,0.9174753
Pbx2,0.39575616
Shisa9,0.34089905
Has2,0.3475917
Prdm4,0.6310354
