,0
1700112E06Rik,0.22493587
Pax4,0.009679426
Lnx1,0.254151
Galnt14,0.39813757
Elf2,0.681144
Zfp983,0.31927553
Gm15446,0.6290344
Zfp260,0.86280274
Nkx2-5,0.027931908
Gabrp,0.123605065
Aldh1a3,0.27716312
Lefty2,0.015630888
Plxdc2,0.72636575
Plcxd3,0.2839592
Gp1bb,0.099801876
Nfat5,1.1019447
Klf9,0.27560905
Zbtb1,0.7651721
Hand1,0.099886596
Kmt2c,1.0065283
Zfp948,0.8268356
Zfp7,0.5254413
Gm28845,0.03806912
Clca3b,0.015541912
Myh7,0.042670846
Nfrkb,0.69811076
Scgb3a2,0.02487483
Hapln1,0.38210425
Cd300c,0.0047946614
Slc25a37,0.4406429
Stard13,0.6015159
Hmx3,0.0041574524
Col11a1,0.8398381
Dsp,0.19202366
Fmod,0.31741422
Agmo,0.18273106
Lin28a,0.054361083
Dll3,0.06951851
Mme,0.78729427
Vmn2r8,0.022806287
Slpi,0.19483364
Ocstamp,0.027940014
Nkx3-1,0.031175427
Zfp964,0.27855018
Lypd6,0.4912321
Ldha,0.4340443
Gm14410,0.48906758
F5,0.058587324
A1cf,0.05109961
Vwf,0.09947604
Gorab,0.69280094
Lhx3,0.021734884
Pitx3,0.15554354
Ntn1,0.5980835
Pilra,0.0723925
Fam19a1,0.52671564
Lrp1b,0.4432512
Gramd1b,0.48943323
Pde1c,0.37203258
Ttc29,0.06728253
A330033J07Rik,0.13624477
Gm14409,0.01600705
Gbx1,0.06786168
Slc22a27,0.018609075
Slc7a1,0.5638682
Gm44511,0.077576384
Ank1,0.24247497
Nupr1,0.1205056
Smyd1,0.2046143
Pitx2,0.3446457
Cpa1,0.033740364
Prkg2,0.45587724
Itga2,0.22993499
Sohlh2,0.027664058
Zfp647,0.29003742
Hoxc9,0.43848836
Olfr869,0.004383177
Hsf5,0.42969716
Zfp57,0.69620925
Ly6a,0.025456827
Ntrk2,0.5153189
S100a14,0.0195314
Kcnj1,0.026424838
Pkhd1,0.16116089
Ednrb,0.3339571
Cela3b,0.03297944
Dnah8,0.27044302
Onecut3,0.05430751
Slc7a13,0.03878496
Sbsn,0.13711186
Otx2,0.08088637
Lhx5,0.090306535
Hoxd12,0.11187259
Slc24a5,0.33464772
Gm14295,0.1750769
Runx3,0.30641982
Gm2824,0.06365327
Lmo3,0.36057368
Pou2f3,0.07658663
Tmem232,0.3550798
Emb,0.3145363
Sned1,0.6020912
Esr2,0.23956943
Tgfb2,0.92380935
Egr4,0.004738993
Nefm,0.28658357
Sox21,0.097292915
Hoxc13,0.19690406
Zfp735,0.006667229
Zfp809,0.6091304
Grm1,0.13101879
Hoxc12,0.060563337
Nfic,0.6721572
Astn2,0.50197417
Mx1,0.029988332
Hoxd11,0.33820024
Pnliprp1,0.04479274
Igf1,0.76703304
Ppl,0.10214054
Adpgk,0.64419025
Nfib,1.082364
Fcer1a,0.013160694
Zfp969,0.0
Atp8b1,0.29652748
Esrp1,0.20517717
Mybl2,0.4189592
Cdsn,0.021871915
Pacrg,0.3598913
Clca1,0.024798622
Zfp955b,0.38196743
Bbx,0.61646277
Pla2g7,0.1410713
Zfp623,0.34967875
Fam169b,0.161785
Zeb1,0.93498814
Dpp10,0.41817454
Zfp763,0.81917924
Col4a2,0.64602727
Tmem178b,0.15705374
Mical2,0.18762115
Cubn,0.09986483
Stat5b,0.8213826
Gpr141,0.037746083
Foxa2,0.04368634
Col9a1,0.40713134
BC048546,0.030901838
Padi2,0.10259278
Shroom3,0.55137336
6530403H02Rik,0.18202618
Krt78,0.0072076255
Bhlha9,0.012373014
Col9a2,0.37912035
Ryr2,0.51147723
H19,0.4184321
Scarb1,0.42664903
Cela1,0.0586802
9330185C12Rik,0.016021134
Ebf1,0.66889584
