gene,gli2_effect,gli1_gli3_compensation,compensation_ratio,same_sign,gli2_positive
Smad1,7.0929527e-06,0.001300633,160.71180052738973,1,0
Tpm1,0.00012648106,0.011888504,93.25702186662082,0,0
Ahr,2.1785498e-05,0.0010204315,44.78425268563364,1,1
Tgfb1,4.8190355e-05,0.0020714402,42.11069832693828,0,1
Col3a1,0.0012578964,0.049668312,39.45385180226109,1,1
Itga2,5.1900744e-05,0.001817286,34.352749367759365,1,0
Mep1a,4.451722e-06,0.00017296523,31.726714971893283,0,1
Col5a2,0.00022339821,0.006470442,28.83464177365764,1,1
Has2,0.00017887354,0.003980577,22.12986412565183,0,0
Tfdp1,4.1425228e-05,0.00091326237,21.526398632436344,1,0
Tcf7,5.5506825e-05,0.0011396557,20.168461066428705,1,0
Slc1a2,0.00031781197,0.0050111413,15.718171748695632,0,0
Spp1,1.295656e-05,0.00021298975,15.260905982563038,1,0
Fap,0.0010182858,0.015142679,14.856165954632157,0,0
Atf6,0.00014203787,0.002065599,14.440923931543445,1,0
Smad2,7.736683e-05,0.0010383725,13.250153157911328,1,0
Dcn,0.001995802,0.024322867,12.180910776331354,0,0
Cd38,0.00011560321,0.0012649149,10.848028111747524,0,0
Rasgrp1,3.034249e-05,0.00033780932,10.777998812474696,1,0
Nedd9,0.00042307377,0.004544735,10.716850042387673,1,0
Vegfc,0.0014946461,0.014449596,9.661106327225406,1,1
Col12a1,0.0022411346,0.020711422,9.23736781904173,0,0
Ccl22,5.694106e-06,5.6915917e-05,8.502392552493195,1,0
Gpx3,1.2099743e-05,0.00010482967,8.002421879574278,0,1
Abi3bp,0.0061457157,0.04705143,7.65472689748771,1,1
Sgms2,0.00091043115,0.0068632364,7.530175373093184,0,1
Hey2,0.00014728308,0.0010675192,7.199197642778932,1,1
Klf10,7.107854e-06,5.77271e-05,7.119898804295193,1,0
Spock1,0.0009999275,0.007078171,7.07161207979599,0,0
E2f2,0.00022572279,0.0015168786,6.690454894278603,1,0
Tgfb2,0.0015506744,0.009747744,6.282080828297483,1,1
Msx1,9.581447e-06,6.610155e-05,6.246929177077576,1,0
Scg2,2.2873282e-06,1.963228e-05,5.972108291469042,0,0
Tgfbr3,0.0110731125,0.06613541,5.972073157104013,1,1
Adgre1,3.2000244e-06,2.4989247e-05,5.9497861488614205,1,1
Sparc,0.00083470345,0.0049284697,5.897390635398239,0,1
Eln,0.0030694008,0.017200708,5.602105106277981,1,1
Cxcl10,1.7904676e-05,0.00010329811,5.4641565927921745,1,0
Slc7a1,0.00014802814,0.0008075237,5.418598796173662,0,1
Tfrc,4.169345e-05,0.00021848083,5.117432065106006,1,0
Igfbp2,0.0008326173,0.0041864514,5.022030372930121,0,0
Adam12,0.0034036636,0.016996622,4.992158990391884,1,1
Slc7a5,3.0636787e-05,0.00015670061,4.953113917668062,1,0
Ptpre,0.0001796186,0.00087197125,4.827693548726432,1,0
Krt18,2.6158988e-05,0.00012998283,4.785996812546918,1,0
Plg,3.0882657e-05,0.00014773756,4.633790715748692,1,0
Il1b,6.5844506e-06,3.462378e-05,4.565100602013282,1,0
Vav3,0.0033626556,0.015191555,4.516382414418408,1,1
Preb,0.00018423796,0.00080543756,4.348123678321658,0,1
Nrp2,0.0028324127,0.012312055,4.345309456684513,1,0
Mylk,0.0027086735,0.011698246,4.317216077878017,1,1
Prkcb,0.0006131828,0.0025992393,4.232028803151113,1,1
Ros1,3.1501055e-05,0.00013556331,4.1710433707459655,1,0
Lama3,0.0003976673,0.0016491413,4.136635485278075,0,1
Aqp9,1.2695789e-05,5.6117773e-05,4.097447251852376,1,0
Csf1,0.0003925562,0.0015966296,4.056929099325585,1,0
Satb1,0.0005761385,0.0023180842,4.0165128474361005,1,0
Lama2,0.025799751,0.10129833,3.926177575218644,1,1
Postn,0.0028842688,0.011163831,3.8692516274393567,0,0
Nkx6-1,3.7014484e-05,0.0001424402,3.746998117875282,0,0
Lta,3.235042e-05,0.000120417215,3.610665622801752,1,0
Atf5,2.5212765e-05,9.319186e-05,3.555209074662669,0,1
Calcrl,0.005979061,0.021104693,3.529176876289389,1,1
Col4a2,0.0046161413,0.016247869,3.5190322202181683,1,1
Junb,3.5054982e-06,1.5776604e-05,3.5016336262214027,1,0
Dab2,0.003722906,0.012923241,3.4703456531931796,1,1
Cd2,4.659407e-06,1.9609928e-05,3.4650146207897756,1,0
Col6a2,0.002662301,0.009064078,3.4033246711505756,1,1
Hmgb2,0.00014662743,0.00050222874,3.4020015115077196,0,1
Cdkn1a,2.3245811e-06,1.1228025e-05,3.377275109937911,0,0
Rela,9.095669e-05,0.00030827522,3.352395785450738,0,1
Slit3,0.029132843,0.095290184,3.270772894602336,1,1
Sell,5.7211146e-06,2.1249056e-05,3.1615375223627344,0,0
Wnt2,0.00042295456,0.0013326406,3.143357156012191,1,1
Matn2,0.0032875538,0.010052085,3.0566886270797817,0,0
Il15,0.001085341,0.0032770336,3.016579140435646,0,0
Cdh11,0.023171425,0.0693779,2.993985307968415,1,1
Col6a3,0.004958749,0.014680982,2.960025194823367,0,0
Vcam1,0.000502944,0.0014899969,2.9566715746194023,0,1
Slc4a4,0.0043115616,0.0127437115,2.9550213265359497,1,1
Snai2,0.0004800558,0.0014178157,2.9472998766463263,1,1
Fn1,7.343292e-05,0.0002193451,2.9468829114859396,0,0
Fbn1,0.017449856,0.050323486,2.8837259329857514,1,1
Lgals3,0.000675492,0.0019344315,2.8595038817901766,0,1
Nrp1,0.017696857,0.050403833,2.8480190002665293,1,1
Col4a1,0.004389882,0.012500167,2.846846487789924,1,1
Ntm,0.02160263,0.06135559,2.8400592863328984,1,1
Ccnd2,0.0008196831,0.0023280382,2.8367078595867268,0,1
Il18r1,1.8434599e-05,5.4260716e-05,2.7919647840431385,0,1
Hif1a,0.0007184148,0.0019843578,2.7582943803769395,1,0
Egfr,0.008650541,0.023810863,2.752210617738505,0,0
Fbn2,0.037586212,0.1028204,2.7355154726559663,1,1
Mapk10,0.0040609837,0.010816336,2.6628211235805797,1,1
Id3,3.2484531e-06,1.1086464e-05,2.60952957206942,0,1
Ccl5,5.6624413e-06,1.7091632e-05,2.5653707448049112,1,0
Smad7,0.001085639,0.002763629,2.543281623427836,0,1
Wnt6,0.00062276423,0.0015817732,2.535851085914304,0,1
Dpyd,0.028377056,0.06956291,2.451292294299511,1,1
Col1a1,0.0012312531,0.0029367208,2.383212344931411,1,0
Thy1,4.5523047e-06,1.28000975e-05,2.305366544454954,0,0
Col1a2,0.0028077364,0.006370187,2.2679903318802004,1,0
Hgf,0.0015820265,0.0035489798,2.2418953820419305,1,1
Fbln5,0.0026361942,0.005895138,2.2353825895719015,1,1
Il2rb,1.831539e-05,4.3028966e-05,2.227703711910554,1,0
Tgif1,7.125735e-05,0.00015807152,2.1876185606031777,1,0
Myl9,0.0005478859,0.0011960268,2.17900805978073,1,1
E2f4,7.8737736e-05,0.00017303228,2.1700174682662174,1,0
Hmox1,4.3213367e-07,3.0249357e-06,2.112188103223633,0,1
Lyar,0.00017294288,0.00036627054,2.1056943520769575,1,0
Lama1,0.002493918,0.005163014,2.0694123013261354,0,0
Prrx1,0.012323856,0.025081158,2.0350061696461204,0,0
Tpm2,0.0002541542,0.0005158484,2.0217123606039014,1,1
Myc,3.6358833e-06,9.119511e-06,1.9671571542795308,0,0
Sgcd,0.052912712,0.103764534,1.9610140751418084,1,1
Ncl,0.0007095933,0.0013473034,1.8960260390859298,0,1
Egr3,3.7844293e-05,7.3589385e-05,1.8944709587068556,1,0
Ccr7,8.34465e-07,3.4719706e-06,1.8926338741813007,0,1
Ets2,0.00080263615,0.0015146732,1.8847748449344894,1,0
Stat2,0.0005713105,0.0010733604,1.8754861216070646,1,0
Vip,8.340925e-06,1.748465e-05,1.871832821695924,1,1
Cdkn1c,1.9311905e-05,3.7401915e-05,1.841378984393635,1,0
Jun,8.144975e-05,0.00014710426,1.7841686603052163,1,0
Itgb3,5.0365925e-05,9.1418624e-05,1.7797523163459044,0,0
P2rx7,0.00012532622,0.00022304803,1.765651105526628,1,0
F2,5.9604645e-08,1.8626451e-06,1.757868001796085,0,0
Col11a1,0.0147378445,0.025262356,1.7139984074056824,0,1
Ssrp1,0.00015622377,0.00026106834,1.6604889960341238,1,0
Camk4,0.0043752193,0.0072647333,1.660047817987549,1,1
Tcf7l2,0.013783932,0.022717476,1.6479933306889,1,1
Abca1,0.0031782389,0.0052223206,1.6426323293917924,1,0
Cap2,0.006254196,0.010268211,1.6415490417886185,1,1
Gp1ba,6.6310167e-06,1.2429431e-05,1.628804062242453,0,1
Acta2,0.0014272928,0.0023043454,1.613356449041821,1,1
Nrcam,0.014984846,0.023188472,1.5473582205502447,1,1
Cdh1,0.0004485622,0.00069024414,1.5353696107012553,1,0
Cxcl12,0.0018369555,0.0028158426,1.532051564904591,0,0
Timp3,0.00084006786,0.0012834072,1.5259258628667607,0,0
Cxcr6,3.5874546e-06,6.8955123e-06,1.5031238238303217,1,1
Mybl2,8.299947e-05,0.0001257062,1.4965118232293608,1,0
Edil3,0.0332942,0.049786568,1.4953076719767413,1,1
Arid4a,0.00073480606,0.0011002421,1.4952881741691553,1,0
