,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
1700112E06Rik,0.0009989738,0.0025541782,-0.0006276369,0.0035977364,-0.00029456615,0.0019435883,0.0023117065
Pax4,-2.430752e-05,1.8589199e-06,1.730118e-05,-2.241414e-05,-6.5993518e-06,1.9177794e-05,-4.7255307e-06
Lnx1,-0.00017423928,5.9589744e-05,-3.9875507e-05,-0.00011447072,-0.00023300946,2.4348497e-05,-0.00017090142
Galnt14,-0.008308589,-0.0007145405,0.0044088364,-0.0090456605,-0.0038562417,0.0036679506,-0.0046237707
Elf2,-5.3048134e-05,-3.027916e-05,-0.00036627054,-8.34465e-05,-0.00039720535,-0.0004017949,-0.00043672323
Zfp983,0.00075274706,7.3611736e-05,-0.00018173456,0.0008252859,0.0005860925,-0.00010764599,0.00066024065
Gm15446,5.108118e-05,-6.92606e-05,-0.00027656555,-1.0728836e-05,-0.0002220273,-0.0003412962,-0.00028049946
Zfp260,-0.00036001205,0.000179708,-0.0004503131,-0.00018024445,-0.00077301264,-0.0002796054,-0.00059974194
Nkx2-5,-1.4061108e-05,3.7550926e-06,-5.5301934e-06,-1.030229e-05,-1.9749627e-05,-1.7918646e-06,-1.6003847e-05
Gabrp,8.2990155e-05,-9.052455e-06,-5.5762008e-05,7.3449686e-05,3.1626783e-05,-6.534718e-05,2.1788292e-05
Aldh1a3,4.1671097e-05,-7.7188015e-06,-1.8849969e-05,3.4749508e-05,2.2821128e-05,-2.7365983e-05,1.4156103e-05
Lefty2,3.9115548e-08,-4.438497e-05,4.954636e-07,-4.436262e-05,5.532056e-07,-4.477892e-05,-4.475657e-05
Plxdc2,0.00014841557,9.8884106e-05,-0.002930224,0.00026661158,-0.002533555,-0.0028313994,-0.0024148822
Plcxd3,0.003888011,-0.0016671419,0.0076622963,0.0022517443,0.011593938,0.005993843,0.00998497
Gp1bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nfat5,-0.0008072853,0.00018852949,-0.0008761883,-0.0006004572,-0.0016614199,-0.0007004142,-0.0014684796
Klf9,9.736419e-05,3.9622188e-05,8.9637935e-05,0.00013650209,0.00019168109,0.00013066828,0.00023140758
Zbtb1,5.1528215e-05,-0.000121206045,-0.000120431185,-6.7323446e-05,-6.684661e-05,-0.0002425611,-0.00018373132
Hand1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kmt2c,0.0014846325,-9.393692e-05,0.002197504,0.0014190674,0.0037617683,0.0021169186,0.0037109852
