gene,gli2_effect,gli1_gli3_compensation,compensation_ratio,same_sign,gli2_positive
Fbn2,1.1742115e-05,0.0022079647,173.28086428351963,0,0
Dpyd,0.0002772808,0.020949364,75.28138484581042,0,0
Meis1,8.583069e-05,0.006164551,70.99507098239113,1,0
Lama2,0.00010210276,0.0040670633,39.44669667426943,1,1
Eln,5.891919e-05,0.0016999245,28.37028504557555,0,0
Tfdp1,5.4836273e-06,0.00018119812,27.947028972501244,0,0
Abi3bp,4.87715e-05,0.0008155927,16.386741408235636,1,1
Ctcf,2.8252602e-05,0.00047540665,16.251773090133998,1,1
Ifitm1,2.3767352e-06,5.4540113e-05,16.151729339037303,0,0
Cd2,2.2351742e-08,1.4912337e-05,14.586307615446897,0,0
Sntb1,5.221367e-05,0.0007529557,14.149666805540758,0,0
Fbn1,0.0005887747,0.0076580048,12.984627519627407,1,1
Comp,4.8801303e-07,1.9060448e-05,12.809328692504796,0,0
Wnt2,4.5634806e-06,6.535277e-05,11.746741778878494,0,0
Ahr,1.1362135e-05,0.0001436919,11.623550462763916,0,0
Ccl22,4.656613e-07,1.6146805e-05,11.016736950071616,1,0
Shh,8.188188e-06,0.00010083616,10.974542532216363,1,1
Cxcl12,1.0728836e-05,0.00011947751,10.186646824970525,0,0
Hmox1,1.6074628e-05,0.00016603991,9.724364712367379,1,0
Id3,1.21593475e-05,0.00010791421,8.200574534565638,1,0
Zbtb17,7.1525574e-06,6.54459e-05,8.027652770650839,0,0
Vip,2.9500574e-05,0.00020988472,6.881336725007208,0,0
Myc,1.8328428e-06,1.744926e-05,6.159628765846096,1,1
Ly6e,0.0,5.6624413e-06,5.6624413,0,0
Mapk10,0.0018630028,0.009968519,5.347909885113907,1,1
Stat2,2.69413e-05,0.00014638901,5.239162458439658,0,0
Sele,1.4825375e-05,6.4886175e-05,4.1001350678893855,0,0
Nkx6-1,0.00023113191,0.0009018034,3.884874767971366,1,0
Spock1,0.0013701916,0.005312562,3.8744125912089897,1,1
Tgif1,7.4505806e-07,6.735325e-06,3.8596566809931816,1,1
Ntm,0.0067563057,0.025025845,3.7035241723635504,0,0
Mybl2,4.7534704e-05,0.00017826259,3.6728891969754263,0,1
Vegfc,7.197261e-05,0.00025573373,3.5045166946885966,1,1
Fn1,1.8805265e-05,6.920099e-05,3.494070389868553,1,1
Lama3,0.00015785545,0.0005547926,3.4924366774951694,1,0
Tgfb1,6.3814223e-06,2.553314e-05,3.4591084160026995,1,1
Aplnr,7.0780516e-08,3.6489218e-06,3.40772151293048,1,1
Thy1,1.2204051e-05,4.4822693e-05,3.3946167732917725,0,1
Rela,7.1942806e-05,0.0002463758,3.377657283982193,0,1
E2f1,4.9859285e-05,0.00016975403,3.3377195530766905,0,1
Vcan,0.0028065443,0.009362698,3.3348353577181307,1,1
Abca1,0.0005004406,0.0016254485,3.2415574247478167,0,1
Col5a2,0.0003759563,0.0011442304,3.035445753261054,1,0
Msx1,1.6316772e-06,7.905066e-06,3.003812929640459,0,0
Thbs1,1.6987324e-05,5.1751733e-05,2.8771224113158795,0,1
Plcb1,0.0076334476,0.021304607,2.7905891973114074,1,1
Ets2,4.8592687e-05,0.0001359433,2.741196499395163,1,1
Cd38,3.9514154e-05,0.000109959394,2.714098238358871,1,1
Cdh1,6.006658e-05,0.00016153231,2.6451835029896875,1,0
Nedd9,0.00020086765,0.0005297065,2.6240286643253636,0,0
Sparc,0.000101581216,0.00025689602,2.504318334459985,1,1
Dab2,0.00021959841,0.0005466342,2.4779607432347315,0,0
Cap2,0.00031122565,0.0007724464,2.474000454478996,0,0
Nfya,0.0006812215,0.0016308427,2.3904885729927887,1,1
Lox,6.4074993e-07,3.8444996e-06,2.3431356172600903,1,1
Slc1a2,0.0010480881,0.0023612976,2.2508096317172983,1,0
Tfrc,2.7537346e-05,6.222725e-05,2.1805549121491534,1,1
Aqp9,2.4601817e-05,5.5141747e-05,2.15382162133258,0,1
Kcnmb2,0.004136026,0.008264005,1.9975714438342904,1,1
Foxc2,7.102266e-06,1.580827e-05,1.951092447470868,0,1
Vav3,0.0041787624,0.008082271,1.9336675692379068,1,1
Lta,2.2150576e-05,4.348159e-05,1.8782076955666245,1,1
Nrp2,0.0039167404,0.007154584,1.8262016544026245,1,0
Il15,0.00030857325,0.0005449094,1.7601953657171605,0,0
Il2rb,1.613237e-05,2.9411167e-05,1.7167016005374622,0,0
Fap,0.0002103895,0.0003626123,1.7153751723713808,0,0
Postn,0.00041763484,0.0007147938,1.7074398299004447,0,0
Igfbp2,0.00012910366,0.00022047758,1.694630112634802,1,0
E2f8,4.1514635e-05,7.0899725e-05,1.667654561776198,1,1
Itga2,0.00036382675,0.00060117245,1.6478299631263331,1,0
Slc7a1,0.0006496012,0.0010656714,1.637979456539582,0,0
Satb1,0.0001784563,0.0002849698,1.587962083248122,1,0
Col12a1,0.001134485,0.0017888844,1.5754363994240348,1,1
Atf5,0.00013649464,0.00021348894,1.5527073637197786,0,0
Cav1,5.77569e-05,9.063631e-05,1.542564532846355,0,0
Ereg,4.613027e-05,7.018726e-05,1.4892182879495492,0,0
Arid4b,0.000259161,0.00038266182,1.4708654256402764,1,0
Cdh6,0.0024237633,0.0035495758,1.4638854852347856,1,0
Junb,3.9488077e-07,2.0340085e-06,1.4581952405867635,1,1
Heyl,6.1169267e-06,1.0214746e-05,1.4352748637975996,0,0
Hmgb2,0.00012880564,0.00018531084,1.4276023753667406,1,1
Mxd3,1.4178455e-05,2.1249056e-05,1.3999485454876663,1,1
Cxcl15,9.757205e-06,1.4582009e-05,1.3555574147745626,1,1
