,Gli2_Gli1_Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2,Gli3,Gli1
Col11a1,2.925958052670931,0.9712191139040476,0.28174791404839994,5.264402295993353,2.276834946023288,2.0053198820860985,3.2832593091320654
Fmod,0.1399429150700488,0.14771482279738504,0.042918662681141966,0.08585555358774091,0.05265329356508163,0.014680941419743875,0.09682372559726901
Slc7a1,0.0037945085038130003,0.023265886218750725,0.025535865378846733,0.00442225583638616,0.00025221991712560157,0.025603124424627005,0.022251401723801027
Pitx2,0.1711998617436578,0.1444249888572396,0.08717810669381554,0.1091643690205097,0.05988209344464534,0.026047235537977154,0.08241900230219376
Itga2,0.2458169748057538,0.19293956239212495,0.04686809683459193,0.2518186603765473,0.0064598252907461014,0.05668764073432347,0.197246115318889
Tgfb2,0.018795837036856854,0.019681504498518746,0.1348511088612204,0.19383001557612425,0.16466858924274985,0.040084662946660625,0.18682667575966422
Mybl2,0.009913053312073004,0.003970344380334506,0.03898622033010725,0.017629608931573046,0.025691970797681145,0.01271790944095844,0.03162187209065638
Col4a2,0.039253676391264765,0.042665786039706194,0.003681233605759427,0.03148752348565215,0.007429748160534481,0.0036139524954883133,0.03489002069456157
C3ar1,0.2673936194644731,0.02298454617285021,0.8130242516294282,0.2827166562674342,0.5855435702035927,0.23052799199852606,0.5254819128188217
Sgms2,0.23387363723470014,0.12810538204667474,0.10891517604640243,0.2291306721312428,0.002228443381438882,0.10749228449444209,0.12266979101381377
Timp3,0.4356288265873312,0.6680050306906499,0.485808406795011,0.6762415907867284,0.2413730546953851,0.24040155172606226,0.9038870571327792
Lgals3,0.10511478102995184,0.08696703674369188,0.0829252522590462,0.04055049969747103,0.06390091677025492,0.018849017502671376,0.021938398564141672
Nrp1,1.9657154650250825,1.0415326466396686,1.6780463442278026,1.170191872557834,0.7625719645654303,0.8966920711015572,0.25806590205031654
Comp,0.039191724188759394,0.18989146608021878,0.12650311116654442,0.14199739829889566,0.10861843641268298,0.23915832031537895,0.08920257319990166
Xbp1,0.012694214039075792,0.009705681642898692,0.005011430330491937,0.021434260747100406,0.008408771228356338,0.00351716425065634,0.01833295405669359
Sgcd,2.2721549228320144,0.017000980998361805,0.11558345673995327,4.614866940248124,2.4217984849904135,2.298845870966481,2.383270649852458
Cd38,0.05508946105285017,0.2517798284647876,0.15858879689963143,0.014651584033051918,0.03293810292154444,0.20318354459542323,0.22267548979605878
Nkx6-1,0.03453454786564311,0.003049830481363758,0.09980896730349186,0.027669913116970563,0.06160053665590581,0.03717169611582387,0.06455977706975392
E2f1,0.02373329464931412,0.07118284487613015,0.0528078595255586,0.027038577304676667,0.003245651620869933,0.04853995506555798,0.07463294963740878
Hey2,0.049682100952337487,0.0327073818953844,0.16409187315582074,0.045859045089808724,0.09048484806924921,0.06806623787498532,0.12378242642998113
Il15,0.41949896445238843,0.49781600598650033,0.19822858538111787,0.13805204841669078,0.2689582750566173,0.06481285963647973,0.2084579368541162
Ereg,0.030384001997682628,0.11747138232162214,0.12670864132928603,0.0804393947466991,0.03380872029818912,0.08105560985385585,0.15351387124967297
Lyar,0.07885139304691739,0.08030916869503434,0.0357698228380932,0.04026892040710198,0.03723331672786138,0.0008575153443960177,0.04102353456390303
Sntb1,1.3121957348219833,1.5570994190299292,0.6609268482259418,0.39446602263636954,0.8992062172447657,0.24298453940067608,0.6386144632024175
Tpm2,0.06133295220440199,0.11885032244476465,0.020573222834009836,0.02506770699908891,0.03822460105166671,0.058815012750498656,0.08142493007670137
Junb,0.05890001189977983,0.041305184828565496,0.06091664500522358,0.02116868330297528,0.042957868853535496,0.021514733064555265,0.003233772856426033
Ptch1,1.464275007011182,3.140728009484875,0.7355653967622996,0.5099739993145537,0.9206884885841984,1.6511865661590606,2.185269706311967
Msr1,0.011909638545264889,0.059772623186839444,0.03616280984044833,0.06257048945881695,0.04389809001565189,0.08534243377162738,0.014004298879522493
Fbn2,0.29854730722935974,1.3852295162215904,0.13933315546444083,2.1336441624178826,1.8451307693607994,1.7077088389628372,0.4483714627427696
Sele,0.713489679586179,0.25339335260936985,0.5609641963259258,1.1487316085082926,0.4159258551291789,0.9900061199534229,0.17230384322952905
Lama1,0.2444913392305011,0.16096199162749988,0.44379152358933877,0.21018002700605434,0.03183017884276431,0.4129033823458048,0.19983753627853368
Nfya,0.3787869912303124,0.19268165218529487,0.33923929795899344,0.22901879140451373,0.14667202108507837,0.19001027253395797,0.046499785160814155
Hey1,0.007309005861402092,0.004320640313661132,0.004255876862127037,0.014821553945835491,0.007660578538094146,0.0036637550474840383,0.01159263876343564
Vav3,1.3578386264103914,0.3766493034568261,1.3012145063607128,1.0069108307983121,0.3291558428634813,0.9646338618644187,0.037025078100244475
Has2,0.46413035393359114,0.5658043536318164,0.3426430366188762,0.019823893899970885,0.45085637435368137,0.10264512814446083,0.11598772782752653
E2f2,0.11294683077724148,0.13518825207025228,0.02598131227264557,0.12243719961495905,0.006135923595279705,0.016772219221105132,0.14054285978548697
Ccr7,0.13282810498014722,0.21969611852887214,0.010601524850131595,0.05247015824050527,0.07724736060533191,0.09284060533046505,0.14203894106014672
Vcan,0.9384512245588804,2.1818022785854767,0.6530752197005334,1.0372105668250848,1.957183027425233,1.3111857542681384,0.21024956012074938
Igfbp1,0.09587949128937392,0.20738051718617645,0.11172156780908994,0.1524478356512829,0.22347069842383374,0.11680315854853977,0.036793316451299865
Atf4,0.0048061460366220585,0.0025562743529714362,0.0051125487059428725,0.002328660991832727,0.0026525724942210276,0.0024599765054695685,3.5017457574089716e-05
Egfr,1.0276809330021275,1.1972196055945008,1.3014040490563883,0.5257449547863211,1.5004137576400578,0.20624349266286268,0.3398632674462561
Arid4b,0.6282556095458264,0.626473311857243,0.18907244237039528,0.4197382199348662,0.19526038198860826,0.0065784351168601315,0.4214404043527931
Prkcb,0.8859826856144807,0.6291356411997724,0.5158627289631615,0.609264373402024,0.26413178089007594,0.24710609443277573,0.3560417264018971
Postn,1.4001829135981723,0.7393131279552538,0.4042442992288676,2.4895820118705556,1.0786364495007532,0.6539016448951334,1.8446492988260625
Cap2,0.0827279541665301,0.1250182743939636,0.021803680041105493,0.05449029506512071,0.02227000218848687,0.045031532183972454,0.09785189124383233
Cdh1,0.054813831542907025,0.055418190011263885,0.005908411103533783,0.04864299967868544,0.004612218534241026,0.0011689588367826131,0.04989943510862871
Thbs1,0.258533230756493,0.2180327570091635,0.20615505293317807,0.517500266524722,0.2580733991908013,0.05193569729359357,0.47975014741102456
Lama2,0.8695069903948651,0.15670500692608214,0.10719255204141795,1.9983369913972326,1.1572902148254607,1.048467278595515,0.9718717399237466
Klf10,0.03155150512237924,0.06926607039206076,0.12688437437184227,0.007777445622714634,0.024788965117907322,0.10260549238531676,0.09441787635258592
Slc1a2,0.6303044275584282,0.0893169985000611,0.4798914966946571,0.8680488259607403,0.23622976557134612,0.719213332603026,0.14644974256666513
Vcam1,0.830353722729767,0.6050816366201173,0.5303043954587088,0.5153312588785582,0.3163887464675892,0.21733944594884247,0.2857191495957974
Sell,0.00352539724384051,0.9809280621771789,0.40841891435573086,0.632210248920861,0.6167138785978743,1.0724016658206588,0.38127006590605955
Mxd3,0.046270362932984484,0.06094774925628013,0.0038630372597948754,0.03733910621899723,0.011443844131220519,0.015301500813549668,0.051989593265605406
Unc5c,2.8774758947312526,2.187330898443093,1.6674562807585336,1.8584652381435467,1.003936741063948,0.6443077019709222,1.1976059713420704
Vip,2.528718460629497,1.3786973851221473,2.34993540706028,1.2628100171485417,1.245837698691239,1.13939777220451,0.06701770728778865
Igfbp2,0.03204985947682377,0.07221534681550673,0.33413926621785917,0.19899339481454673,0.22555260205382688,0.11086774744060122,0.30607843989465855
Ecm1,0.017271157757761824,0.023112060070871136,0.06696791339990536,0.0052334980937884966,0.02303843521719834,0.0440828636376419,0.04537743555972474
Thy1,0.03282698053355475,0.03543426728040564,0.01428627514848183,0.012639132769675245,0.020146462154158034,0.006083668742705332,0.015006383424515058
Smad2,0.16947138212076562,0.22317573603607346,0.009109093800451764,0.1051856959511841,0.06424463099248627,0.05388618938087967,0.1585615887684372
Adgre1,0.13611343886055377,0.08436862791951853,0.05655066869680218,0.1226789029425298,0.010901909381655885,0.04580576851434286,0.06946639309069806
Il2rb,4.095747625060169,2.6490841869168724,3.4026328364235963,2.2365553313796376,1.9068941068719265,1.5551915679943118,0.7520007725046856
Pmp22,0.29881833716752665,0.32860675259198485,0.19501322846981434,0.06723854117618656,0.22512982556970512,0.028930118716873895,0.09706483723746222
Shh,0.0055266975236793895,0.002829000687340808,0.004004766814720558,0.0032288804515641025,0.0016651713028179565,0.002178449963969961,0.0005669938117538514
Il18r1,0.016742831321595597,0.1111406477249543,0.10490892628397365,0.044889128823880096,0.018902243066309898,0.1255712375588278,0.08494176535663645
Olr1,0.523978000666943,0.17432449046220508,0.5804739490229005,0.6133074612430488,0.10538344281432786,0.632914528122815,0.026862080912235863
Ctcf,0.2845083345361877,0.2093435401745051,0.17703598110606186,0.18208533131585625,0.10382329489176799,0.07565726117534628,0.10499811359258578
Dapp1,0.764637812868965,0.035050441802107486,0.7472441280114834,0.8235838881228715,0.05639791073804656,0.8029730477661611,0.02287336371598233
Slc7a5,0.02650068360022869,0.0065115968139792795,0.03594628541852178,0.01128172049717431,0.015446113180671775,0.019487467032735482,0.0077419857634706685
Tgfbr3,1.5222854217026938,0.8410105608537851,2.2223697134776277,0.019847592111404466,1.5350742603570904,0.6754409644093654,0.691302447247978
Foxn3,1.145411705842902,0.7715703326964702,0.7939152900885548,0.713496458558619,0.43485961417715707,0.3563417819938064,0.3419657321629332
Eng,0.2698309654701455,0.09927152917927218,0.24939396309338058,0.40838474406857905,0.1412540773154383,0.39937426799073716,0.027201963024709966
Aplnr,0.007402212581865895,0.003168998439536166,0.05599352219969694,0.07019883336323204,0.05824808322487889,0.003949423450485653,0.06476739079728926
Zbtb17,0.24762330415144476,0.34956747532384785,0.026105288240411046,0.106618134901213,0.13129107090872247,0.1066612095773796,0.2099300173830891
Cdkn1c,0.02394783729609192,0.029046996266214146,0.007584999349975092,0.01116351617187117,0.012447411762746866,0.004998997082602661,0.0165904780440529
Heyl,0.06261764610000849,0.12134090591159317,0.12102320315411148,0.1108465567345708,0.05789313979650351,0.06741389240141991,0.1743148180268977
Cxcl12,0.14548237949984522,0.2521416193918583,0.16358359606771075,0.12220936870463486,0.2686194173634196,0.10152225405036092,0.01859985077840379
Atf1,0.4396555209309143,0.4143734745508887,0.22855644560001528,0.23801442764193448,0.20229441566138373,0.028525874803244946,0.2113117810872987
Ccl22,0.021762515506862846,0.0282625264587403,0.09481113487336644,0.10383325667019118,0.08656789566644167,0.003950077509423593,0.10594738220260176
Tnc,0.30243152614383506,0.6961449263553275,1.2007313777614546,2.4755560980059292,2.1702906380769673,0.9684914274226523,1.4812716663728076
Prkca,0.9111307869740966,1.5180123876569325,0.40187721565353074,0.0838382615131938,0.9974909793973464,0.5888886191707488,0.5124383081910069
Atf5,0.019723782388847436,0.021750160383551678,0.017658435636844116,0.00110782743462082,0.01885533478357224,0.002154418239954714,0.0022546237386186704
Spp1,0.24543423461103422,0.2127382404938822,0.2979599514379185,0.021725910835948603,0.2683814342895952,0.034152961526913224,0.060892544647261904
Smad6,0.35203171189499244,0.34556744420680796,0.15241173588005813,0.1938323868906751,0.1542029493430018,0.001679753294941379,0.1861978622331915
Ntm,0.5814445645309102,0.7186425238088158,1.1569183499858742,0.6699617697214629,1.2511264432223625,0.08021404886432204,0.5465899921974232
Trp53,0.022262051479796603,0.07464959899402905,0.036882038273753734,0.0071815924490969745,0.01483251212169586,0.05043054091663368,0.05768297608256235
Cav1,0.7551400254921952,0.5242654607328961,0.43730474510905043,0.5300135609974729,0.20423922449872584,0.22886830331637692,0.2991786517480932
Cdh6,5.303628107776195,2.533798838772202,5.761434010892479,2.416416371664683,2.936017538917508,2.832627395669287,0.35212344543088236
Ifitm1,0.29385350758229817,0.37330153237474506,0.07264137426788186,0.14187570408694172,0.15670897819618157,0.08396345672079973,0.22134604399862576
Vegfc,0.6403799833696583,1.10072195353585,0.26478613119507644,0.08628684294711683,0.7300061078982443,0.4501167835050973,0.36145095804071087
Slc2a1,0.02099175418306772,0.040770309073219525,0.023272909380640916,0.020889230888664987,8.543652397451621e-05,0.021222433172199608,0.03983905185002391
Krt18,0.02858831419977086,0.01715969136193989,0.07044857599242846,0.0331731691989904,0.06102415367667136,0.011160502857101729,0.04606974989845065
Meis1,0.22692870096725307,1.6939988081040975,0.11143524109532027,2.067876140318389,1.8339047757565354,1.936781433340261,0.1609076291272442
Wnt2,0.36693581924345503,0.5829817660505717,0.22940002272326931,0.08503903102055385,0.45292508609849497,0.20959879167609755,0.11977803466210518
Fbln2,0.0025724215900264644,0.011328241395694513,0.09210387558144445,0.07364954439417526,0.07915388734268917,0.013357418664793804,0.08810942849732842
Tfdp1,0.04649703447865108,0.21868366983932483,0.16385407200584748,0.04254109623559139,0.008118529967187895,0.1659353666296722,0.20994517942893146
Egr3,1.4552692017884976,2.977807055392584,6.677456719031685,0.8327076486939502,2.4805159885627344,4.135063848417335,5.203612091805676
Ly6e,0.08053048533242223,0.08712127370675055,0.05025383416835291,0.023700497477268913,0.05693240023209715,0.006524951916421462,0.030093781386868843
E2f8,0.05755874726287888,0.048199369661813485,0.04730254792362952,0.12033623372133224,0.059714934437145456,0.11100547424224962,0.01217387121765075
Jun,0.09820271130585587,0.05661451532977705,0.06808320051813857,0.0710256034665596,0.027130296036744325,0.0418289372603369,0.02854800119302556
Col3a1,3.171962368842113,2.8863314967814535,2.5872679033826467,0.8765503089624597,2.3072959713453933,0.3056459104323675,0.5588715149904009
Nrcam,1.694499490572314,3.0250515694974975,0.13988968074991945,0.23175186624894714,1.461554429813287,1.2956382288903678,1.5304120658218734
Ros1,1.1095287817534252,0.11018592361031038,0.38339530037581704,1.6401057914881823,0.6004289087173433,0.9438131667974421,0.6791109024844523
Spock1,1.204923785438168,0.5108222254941186,0.6706080285520701,1.2598670469431896,0.07006016500331368,0.7243202908076742,0.5832542545748861
Ssrp1,0.020192171342628865,0.01945791031766759,0.003703937625002122,0.024124544407816393,0.0043729307751732985,0.00021211977865487997,0.024083752584905627
Slamf1,0.49922270838687594,0.12261052338681667,0.3886842985022738,0.5176888883858658,0.002098201161121923,0.41506595895595344,0.12183488142827414
Atf3,0.9421501123921174,0.28989153426930936,0.9667061786244755,0.6278907987037307,0.31720977703993414,0.6677015794438208,0.0416626871510961
Cxcr6,0.13830639235461353,0.43222176997905265,0.5078920070592221,0.7591511848688631,0.8520192089163778,0.3682326721710975,0.4495243680094947
Id3,0.045076179046624136,0.03789849891704598,0.006332232904677176,0.046145930132487384,0.0016305068303596266,0.007479626621558008,0.03934783825748236
Col1a2,1.0880337022151865,1.4567637346182467,0.7024104500593495,0.005502638337384737,1.0848172564190102,0.37840607315987035,0.3690888052567392
Myc,0.09188908711755447,0.1085915061293445,0.043544971132429514,0.027651013207570036,0.06250075177467884,0.020546896021914302,0.045058678827427735
Fap,1.7017985638532116,2.143141522979704,0.7482481582349164,0.4660315882870275,1.2170026387509922,0.46020974869696246,0.9038426607041711
Lamp3,0.002491918943201644,0.0031507993575743236,0.00043925353399767086,0.0020695598195024116,0.0010896866298449577,0.00010981338123189424,0.002061112682378896
Clu,0.13074330136100196,0.03239420066744004,0.3719596389286592,0.12603906120014083,0.26397257912143,0.10890494545873139,0.2231069334313616
Cdkn1a,0.00270233824748302,0.0367400928097335,0.060856264067784625,0.08972348251240975,0.09702077220107552,0.03163784432109968,0.05955387691449536
Plg,0.04084209184073737,0.0828696832661183,0.13174682416399985,0.12828089057550793,0.08977686109856976,0.038355837056513895,0.16589578762920634
Col5a2,3.6559676270192276,2.9498752563621853,2.76473745850984,1.6046475362076766,2.0605279800704435,0.7037710528553431,0.8925455426245473
Cebpb,0.05531335730364457,0.0134920471397946,0.11273190467274105,0.01760826500000009,0.03796067439759125,0.0775221018001421,0.051567060496103434
Gli1,0.0,0.0,0.1485709209518523,0.0,0.06081263797871228,0.21443016970159623,0.0
Acta2,0.34682929112524946,0.513638983966674,0.1950637381021233,0.018771917154315684,0.35764274498673776,0.16077429600992957,0.1449757086310377
Irf7,0.46981396715283497,0.7265995114259408,0.32059835377806545,0.1326225244159455,0.5807106849878294,0.27963161574255313,0.14738929263195033
Gpx1,0.058580891719745225,0.05028859221865079,0.031024128887223685,0.03740643647334898,0.02317259766125693,0.008903496282857764,0.027644913332413087
Ncor2,0.17960069984688828,0.23757266609711153,0.0013649910592781844,0.11885056964939492,0.059626019992623264,0.05916031575013827,0.17780212890750763
Nedd9,0.307709020514743,0.41653203966937347,0.011277422910996364,0.20809726940846035,0.09721632920770604,0.10453430834684438,0.31426146463658666
Col6a2,1.1040986289752963,1.138687083698898,0.9897187300819565,0.05765583995447861,1.0298347838041755,0.042546208170682956,0.09156437405999933
Khsrp,0.051590978298022686,0.3710164539143926,0.2001317041399313,0.06855435646812155,0.11812570481849148,0.3187472441790582,0.2495447913237859
Prf1,2.8557533112987934,3.1697531401960166,2.39184611086716,4.654642944330322,2.019247202596847,0.3414579092062887,4.867817231694107
Rela,0.03723453985294763,0.031748763358739954,0.008323014817262744,0.09812396140021261,0.06263489783929636,0.06989311018063987,0.030191988123142343
Lox,0.33846634357479033,0.29720199726648017,0.20710240181831355,0.16578650670821413,0.17033051134533278,0.03632264241826846,0.12442641208379038
Col1a1,0.04734868322870202,0.11315763592230728,0.02016199029834257,0.0014975144704673009,0.04542914309700319,0.06421614036729001,0.06512826481703174
Hmox1,0.12715709614054546,0.12491311102236896,0.029046822286711706,0.09725682541112045,0.02907625236058758,0.0006253748500501051,0.0954616284291966
Ncl,0.07820719421665048,0.066516559303589,0.01618637748395268,0.07373699222054578,0.005798486593448162,0.010362346458704095,0.062276256765130995
Col4a1,0.0842474500463566,0.11522346299724757,0.005147440047707354,0.04297655529670353,0.037615908106451726,0.031798387372881314,0.0737596675610944
Col6a3,1.452854045875342,0.5600268032542561,1.8468349706580254,0.4673978077034712,0.960163197864502,0.8840604348448565,0.4254107211452328
Mylk,1.0192072097640104,1.8183156084291723,0.3740022946879346,0.1796921628238693,1.1745321239417676,0.8026147040884042,0.6244980891843802
Il7r,0.21683534635400167,0.2601587719959896,0.0094994886789741,0.16952362169532642,0.05767480321755604,0.04753923048441466,0.21129165728384813
Smarcc1,0.3697052644557845,0.3469781497865449,0.03329279647875795,0.35449566650270303,0.016855218903459347,0.019049389931406664,0.3298860535633433
Tacr1,1.2592327098878717,0.8659537096099396,4.020254853416853,0.6326750745125723,1.7965338616904414,2.192259864992276,2.733508290273273
Slit1,0.8018178288936368,1.0606576336379914,0.02401272611824529,0.5659455476929303,0.23487332077059647,0.25938554324339474,0.8173761807206623
Gp1ba,0.0074773982278843265,0.004925112751047045,0.004027825306262852,0.013977749532278073,0.0072580611779919655,0.0027250961938871964,0.011658094649147003
Tcf7,0.28106991041411467,0.1408528597613769,0.35643974775857507,0.05954350133427677,0.22017531383505456,0.13330792903532054,0.07775412683540839
Plcb1,4.238591343411708,3.1563243647421553,3.7203636772242206,1.6182638321086555,2.6264710575354755,1.0871024168239911,0.5407734328945364
E2f3,0.18407911466231966,0.27055745975073786,0.0499483571669045,0.14946131025777945,0.038303225775512796,0.08423533417692988,0.23234024245956023
Lta,0.07556072692694292,0.02294711728635437,0.006184498616559586,0.12351327716158783,0.03745561724804939,0.044108130387887384,0.07008302796181316
Slc4a4,0.02119715777320457,0.1554102790905524,0.07020328123079668,0.12741263857534685,0.10838113524194148,0.17508983286936833,0.04694711101428256
Lama3,0.2686345551459608,0.33122153152326833,0.06631894646179395,0.2974747340793517,0.01708752953955371,0.029672222321215445,0.34119384836612876
Cdh11,0.571642400338304,2.305640837423214,0.11099513179359934,1.0849409700451615,1.6664272702307086,1.7881293271724668,0.6490369177921489
Stab1,0.01556160976664652,0.01808004812134856,0.06874752430455902,0.018941003317854414,0.03475445621248921,0.03627137686123756,0.05490782178656009
Kcnmb2,0.20628125212603599,0.7403012384538783,0.14106664801055074,0.45016113063771734,0.6711004622206908,0.5133309704822857,0.06643228186461712
Id2,0.11544698244635411,0.08787793024525503,0.05209646450984007,0.08877352413481018,0.025456803772105782,0.027028315117731454,0.06133120964611079
Ccl5,3.468263225084916,2.3536280975770048,2.631201887170771,2.074689720610884,1.4467259240914945,1.2495071506023696,0.8396115621937237
Ddit3,0.09089285024859188,0.05810553415989407,0.041392264695662616,0.08347292118810654,0.008290254082783886,0.033574054049059734,0.05012505820056236
Smad7,0.41152394084618465,0.2905269617310059,0.232270089522972,0.29741633322316974,0.11220350924474394,0.11909722242389853,0.1770122049322726
Emp1,0.9372578057890093,0.558516791261347,0.4555854486859518,0.8470509911951803,0.07946069390917745,0.370081424268103,0.4741262834316161
Id1,0.09855015269564925,0.07813329719878713,0.03645320092862158,0.0860389225862667,0.015185457537074166,0.02308207436465437,0.0628983169035957
Gna14,0.6626908578867954,0.6480802295172404,0.5267859663092779,0.12752037270058122,0.5128394439054973,0.017101104973880454,0.11399814125105417
Dcn,1.2043682234778323,1.4722965246070359,1.0856870088271084,0.16203583637776503,1.3593286180438984,0.27063460542874074,0.103849396225424
Ppard,0.6751913022635457,0.3189343705507319,0.5411182852117236,0.4984678063935686,0.18081979949728919,0.36119255613252443,0.1412437945577311
Adam12,0.11787923237675244,0.3778011218366034,0.25486474592863206,0.3683932322954519,0.24270380321460538,0.4966112408953648,0.1270230458214904
Mep1a,0.012535542915944069,0.01260872199195751,0.009227857323411796,0.004895667416824387,0.007888683964689235,0.0009952328408002196,0.004398050878561432
Msx1,0.09781713334841438,0.16766170397947955,0.008839696180788535,0.019471099983513093,0.0786888383631184,0.07112435959863964,0.09009268709765235
Myl9,0.3055344186697687,0.27163594921147893,0.156773392516335,0.17754203308751598,0.12167960762141163,0.033076682379474524,0.1455859602224351
Calcrl,0.1152295008328483,0.2845986794963694,0.03857060495710949,0.037683147488822046,0.1343001734056786,0.1802935810509224,0.14071494383816868
Hmgb2,0.1019606912385329,0.0986481104094725,0.03227400456716124,0.06921902723437166,0.030960106468086446,0.0014085429240244707,0.06597882209264727
Cxcl10,0.05993955096702422,0.526815483915593,0.21314357127173172,0.42936546978457996,0.3811102040683988,0.5719756705206176,0.15378277940182858
E2f4,0.03447139917869444,0.048118220148001496,0.005069857799931319,0.01458568352484989,0.019158853245288616,0.013634707557858207,0.027463243926059085
Irf1,0.023444435718966608,0.02351597419712363,0.012253652041127404,0.011650678352558154,0.012233212133016976,0.00041901561292804893,0.011246992482105436
Tgif1,0.05350194819210149,0.048370833854960764,0.046270619483358075,0.013243708482256237,0.03997820910033293,0.006144158477461412,0.008244373401781907
Ahr,0.07541633844187136,0.03296991955271113,0.055172804862807456,0.0640558438469048,0.012566249360487135,0.045931806830164915,0.018576194816748624
Il18rap,0.3267766444428665,0.23296084585262616,0.0073402709771043535,0.40275460764420296,0.08757401261252015,0.09412860808678866,0.30783306349354767
Ptpre,1.3067098145933103,1.1279189536533591,2.94776930659726,0.9103873181432891,0.4476550290594407,2.523243692782829,1.5444643698765512
Cxcl15,0.9294217499071954,0.9267307398164377,0.10684013481485294,0.8277582775680741,0.11769898719224971,0.0050133975158036526,0.807894262904796
Sparc,0.1619482930484159,0.20854498879543248,0.2983804805883273,0.1988850444818683,0.34726708117045085,0.04994495860321342,0.15141280020951178
Dab2,0.8822661264625605,1.721462844654602,0.3250470050086344,0.3319661392113284,1.1882626344354499,0.8719940739963439,0.5174111962409699
Cebpg,0.011984267377334922,0.015477050881944086,0.004919857356637376,0.013679410643065791,0.0016399523640270891,0.0016241836294531903,0.0158949230756817
Mxd1,0.042717468039153335,0.017431289244117472,0.10931988380081929,0.007038173167558243,0.046993218311290295,0.06153397287088086,0.0668506383141984
Mest,1.0221429263699409,0.8072548727573023,0.7016638607949065,0.5285825924892639,0.4869456395761993,0.21355918201277765,0.31611602530022104
Rara,0.07888346793510019,0.1508385859370355,0.013043976660710827,0.004803981502497117,0.08727635696784942,0.06995144551297472,0.06353808753977692
Nfyb,0.12121958991397697,0.08615285485132033,0.07395539251144877,0.08085198062154246,0.040243065209473385,0.033611134581603676,0.04584751760036639
Tcf19,0.011384745676863968,0.043026788334809274,0.04958318296410821,0.017040815508636648,0.007863316268573254,0.055732979533519154,0.03609283853820575
Prrx1,3.1103322009434393,0.14801136766839149,5.0539551740238995,1.0303343737597308,2.129610840229489,2.9188911571175917,1.9336906091349568
Nabp1,0.1684505285290452,0.01013838640661317,0.21083392940874102,0.1360670393664661,0.026730721540651814,0.17747122044381997,0.03540027791186156
Itgb3,0.5082111595891711,0.21296697658559594,0.38306632874488294,0.4149270011288777,0.08578045856460631,0.2949880418238878,0.12222924428290784
Dpyd,0.27619265160645456,0.6880988463285375,0.20668741249660105,0.06800663407290113,0.23315275225649867,0.4415485780654459,0.4831797991901885
Cd44,1.302764746321184,0.760813971512528,1.4189992528848971,0.42344672168145797,0.8674971770980108,0.5429083085577442,0.1192488002765706
Pura,0.3162782668017012,0.2015888292825394,0.19214864745088409,0.2365564413362607,0.0771669156184296,0.11523073324043653,0.12062202402142341
Atf6,0.267804346982433,0.2807026962512908,0.031248417323928915,0.22331028190929703,0.04508365662563489,0.012647976689566328,0.23404410484600238
Col12a1,1.142342523751112,0.6874276619535628,0.061421071185830456,2.9666102578955926,1.7933509002516759,1.8577982577709669,1.1329883416744462
Hoxc10,0.01689634002899003,0.09816409138508296,0.12445211963032494,0.001783714082615377,0.01173009515733393,0.11087849391408666,0.11479395788774674
Rasgrp1,0.017605766773168864,0.022725810813367418,0.0046847367993474096,0.007566057515638685,0.0109379621911631,0.00567972514939428,0.011926040881857494
Slit3,1.8497291254930794,1.1619946700891266,3.3045179781953524,0.7737207024783974,2.6406989177835674,0.6651419533683606,1.472790253839959
Slit2,5.57128647504956,9.542809385365777,3.4141834594232265,1.835010172283489,7.533944672225439,4.028645641726087,2.04928830282827
Nfkb1,0.7388320351103794,0.8653182887418356,0.29401402083164874,0.31426937422768286,0.41883709810271963,0.1208243819652508,0.4372381899232441
Gpx3,0.0020201810911543057,0.0007710614919674071,0.003508329816394036,0.0013493576057684567,0.0006862447553793647,0.0026293197035463373,0.001364778875761972
Cd2,0.5798326430881876,0.8067184379379265,0.029014412427032,0.3075639989046802,0.2638776457369164,0.2392725201040704,0.529626954500724
Smad3,0.31482317077242744,0.4422260495262125,0.0608290191305786,0.1254408907846905,0.1851477605464372,0.12482688445925078,0.25165809888504614
Scg2,0.09123615438236996,0.027993922063059236,0.03302939495680945,0.11442984703882593,0.027498003683312663,0.05906507831971746,0.05193149143578946
Eln,0.6529316331931947,0.64804211366477,0.9140580268434428,0.3393090432416104,0.9475577898917228,0.06070594152973813,0.3117559923842886
Adcy2,0.983821663078208,2.4230150318353076,1.4009599701576578,1.8960285163895745,2.8169766666655454,1.4450276273757072,0.4323955408705878
Matn2,0.3624593797958086,0.06560472680096395,0.6966460860833894,0.0653689800268352,0.28865405155054435,0.40740265912217927,0.3691107731395109
