,Gli2,Gli1,Gli3,Gli2_Gli1,Gli2_Gli3,Gli1_Gli3,Gli2_Gli1_Gli3
Col11a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fmod,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc7a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pitx2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itga2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tgfb2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mybl2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col4a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3ar1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sgms2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timp3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lgals3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nrp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sgcd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nkx6-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hey2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Il15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ereg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lyar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sntb1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tpm2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ptch1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Msr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fbn2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sele,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lama1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nfya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hey1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vav3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Has2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2f2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ccr7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vcan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igfbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atf4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egfr,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arid4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prkcb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Postn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cap2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdh1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
