,gene_short_name
ENSMUSG00000063458,1700112E06Rik
ENSMUSG00000029706,Pax4
ENSMUSG00000029228,Lnx1
ENSMUSG00000024064,Galnt14
ENSMUSG00000037174,Elf2
ENSMUSG00000035868,Zfp983
ENSMUSG00000090015,Gm15446
ENSMUSG00000049421,Zfp260
ENSMUSG00000015579,Nkx2-5
ENSMUSG00000020159,Gabrp
ENSMUSG00000015134,Aldh1a3
ENSMUSG00000066652,Lefty2
ENSMUSG00000026748,Plxdc2
ENSMUSG00000049148,Plcxd3
ENSMUSG00000050761,Gp1bb
ENSMUSG00000003847,Nfat5
ENSMUSG00000033863,Klf9
ENSMUSG00000033454,Zbtb1
ENSMUSG00000037335,Hand1
ENSMUSG00000038056,Kmt2c
ENSMUSG00000067931,Zfp948
ENSMUSG00000033669,Zfp7
ENSMUSG00000100846,Gm28845
ENSMUSG00000037033,Clca3b
ENSMUSG00000053093,Myh7
ENSMUSG00000042185,Nfrkb
ENSMUSG00000038791,Scgb3a2
ENSMUSG00000021613,Hapln1
ENSMUSG00000058728,Cd300c
ENSMUSG00000034248,Slc25a37
ENSMUSG00000016128,Stard13
ENSMUSG00000040148,Hmx3
ENSMUSG00000027966,Col11a1
ENSMUSG00000054889,Dsp
ENSMUSG00000041559,Fmod
ENSMUSG00000050103,Agmo
ENSMUSG00000050966,Lin28a
ENSMUSG00000003436,Dll3
ENSMUSG00000027820,Mme
ENSMUSG00000090961,Vmn2r8
ENSMUSG00000017002,Slpi
ENSMUSG00000027670,Ocstamp
ENSMUSG00000022061,Nkx3-1
ENSMUSG00000091764,Zfp964
ENSMUSG00000050447,Lypd6
ENSMUSG00000063229,Ldha
ENSMUSG00000078870,Gm14410
ENSMUSG00000026579,F5
ENSMUSG00000052595,A1cf
ENSMUSG00000001930,Vwf
ENSMUSG00000040124,Gorab
ENSMUSG00000026934,Lhx3
ENSMUSG00000025229,Pitx3
ENSMUSG00000020902,Ntn1
ENSMUSG00000046245,Pilra
ENSMUSG00000059187,Fam19a1
ENSMUSG00000049252,Lrp1b
ENSMUSG00000040111,Gramd1b
ENSMUSG00000004347,Pde1c
ENSMUSG00000037101,Ttc29
ENSMUSG00000097622,A330033J07Rik
ENSMUSG00000078869,Gm14409
ENSMUSG00000067724,Gbx1
ENSMUSG00000067656,Slc22a27
ENSMUSG00000041313,Slc7a1
ENSMUSG00000107872,Gm44511
ENSMUSG00000031543,Ank1
ENSMUSG00000030717,Nupr1
ENSMUSG00000055027,Smyd1
ENSMUSG00000028023,Pitx2
ENSMUSG00000054446,Cpa1
ENSMUSG00000029334,Prkg2
ENSMUSG00000015533,Itga2
ENSMUSG00000027794,Sohlh2
ENSMUSG00000054967,Zfp647
ENSMUSG00000036139,Hoxc9
ENSMUSG00000058491,Olfr869
ENSMUSG00000070345,Hsf5
ENSMUSG00000036036,Zfp57
ENSMUSG00000075602,Ly6a
ENSMUSG00000055254,Ntrk2
ENSMUSG00000042306,S100a14
ENSMUSG00000041248,Kcnj1
ENSMUSG00000043760,Pkhd1
ENSMUSG00000022122,Ednrb
ENSMUSG00000023433,Cela3b
ENSMUSG00000033826,Dnah8
ENSMUSG00000045518,Onecut3
ENSMUSG00000041052,Slc7a13
ENSMUSG00000046056,Sbsn
ENSMUSG00000021848,Otx2
ENSMUSG00000029595,Lhx5
ENSMUSG00000001823,Hoxd12
ENSMUSG00000035183,Slc24a5
ENSMUSG00000078877,Gm14295
ENSMUSG00000070691,Runx3
ENSMUSG00000097452,Gm2824
ENSMUSG00000030226,Lmo3
ENSMUSG00000032015,Pou2f3
ENSMUSG00000045036,Tmem232
ENSMUSG00000021728,Emb
ENSMUSG00000047793,Sned1
ENSMUSG00000021055,Esr2
ENSMUSG00000039239,Tgfb2
ENSMUSG00000071341,Egr4
ENSMUSG00000022054,Nefm
ENSMUSG00000061517,Sox21
ENSMUSG00000001655,Hoxc13
ENSMUSG00000060630,Zfp735
ENSMUSG00000057982,Zfp809
ENSMUSG00000019828,Grm1
ENSMUSG00000050328,Hoxc12
ENSMUSG00000055053,Nfic
ENSMUSG00000028373,Astn2
ENSMUSG00000000386,Mx1
ENSMUSG00000042499,Hoxd11
ENSMUSG00000042179,Pnliprp1
ENSMUSG00000020053,Igf1
ENSMUSG00000039457,Ppl
ENSMUSG00000025236,Adpgk
ENSMUSG00000008575,Nfib
ENSMUSG00000005339,Fcer1a
ENSMUSG00000095545,Zfp969
ENSMUSG00000039529,Atp8b1
ENSMUSG00000040728,Esrp1
ENSMUSG00000017861,Mybl2
ENSMUSG00000039518,Cdsn
ENSMUSG00000037196,Pacrg
ENSMUSG00000028255,Clca1
ENSMUSG00000096910,Zfp955b
ENSMUSG00000022641,Bbx
ENSMUSG00000023913,Pla2g7
ENSMUSG00000050846,Zfp623
ENSMUSG00000074071,Fam169b
ENSMUSG00000024238,Zeb1
ENSMUSG00000036815,Dpp10
ENSMUSG00000067430,Zfp763
ENSMUSG00000031503,Col4a2
ENSMUSG00000057716,Tmem178b
ENSMUSG00000038244,Mical2
ENSMUSG00000026726,Cubn
ENSMUSG00000020919,Stat5b
ENSMUSG00000053101,Gpr141
ENSMUSG00000037025,Foxa2
ENSMUSG00000026147,Col9a1
ENSMUSG00000047228,BC048546
ENSMUSG00000028927,Padi2
ENSMUSG00000029381,Shroom3
ENSMUSG00000098097,6530403H02Rik
ENSMUSG00000050463,Krt78
ENSMUSG00000044243,Bhlha9
ENSMUSG00000028626,Col9a2
ENSMUSG00000021313,Ryr2
ENSMUSG00000000031,H19
ENSMUSG00000037936,Scarb1
ENSMUSG00000023031,Cela1
ENSMUSG00000097648,9330185C12Rik
ENSMUSG00000057098,Ebf1
ENSMUSG00000026805,Barhl1
ENSMUSG00000040552,C3ar1
ENSMUSG00000030050,Gkn1
ENSMUSG00000069184,Zfp72
ENSMUSG00000045613,Chrm2
ENSMUSG00000048766,Skint10
ENSMUSG00000050931,Sgms2
ENSMUSG00000038679,Trps1
ENSMUSG00000015461,Atf6b
ENSMUSG00000041460,Cacna2d4
ENSMUSG00000036095,Dgkb
ENSMUSG00000020044,Timp3
ENSMUSG00000023868,Pde10a
ENSMUSG00000094113,5430401F13Rik
ENSMUSG00000022454,Nell2
ENSMUSG00000068962,Zfp114
ENSMUSG00000009733,Tfcp2
ENSMUSG00000036938,Try5
ENSMUSG00000045608,Dbx2
ENSMUSG00000029352,Crybb3
ENSMUSG00000024173,Tpsab1
ENSMUSG00000044934,Zfp367
ENSMUSG00000001510,Dlx3
ENSMUSG00000100617,Gm7145
ENSMUSG00000047250,Ptgs1
ENSMUSG00000050335,Lgals3
ENSMUSG00000009248,Ascl2
ENSMUSG00000026751,Nr5a1
ENSMUSG00000040653,Ppp1r14c
ENSMUSG00000032776,Mctp2
ENSMUSG00000066975,Cryba4
ENSMUSG00000091474,2610021A01Rik
ENSMUSG00000052273,Dnah3
ENSMUSG00000029580,Actb
ENSMUSG00000025810,Nrp1
ENSMUSG00000019803,Nr2e1
ENSMUSG00000041483,Zfp281
ENSMUSG00000001542,Ell2
ENSMUSG00000046518,Ferd3l
ENSMUSG00000094475,Gm11007
ENSMUSG00000041565,L3mbtl4
ENSMUSG00000025586,Cpeb1
ENSMUSG00000057816,1700007G11Rik
ENSMUSG00000031610,Scrg1
ENSMUSG00000047361,Gm973
ENSMUSG00000033981,Gria2
ENSMUSG00000063651,Cnfn
ENSMUSG00000027500,Stmn2
ENSMUSG00000025216,Lbx1
ENSMUSG00000044265,Olfm5
ENSMUSG00000031849,Comp
ENSMUSG00000068323,Slc4a5
ENSMUSG00000031028,Tub
ENSMUSG00000038572,Bpifb5
ENSMUSG00000049571,Cfap46
ENSMUSG00000022197,Pdzd2
ENSMUSG00000038402,Foxf2
ENSMUSG00000062116,Zfp954
ENSMUSG00000033237,Arid2
ENSMUSG00000033006,Sox10
ENSMUSG00000042010,Acacb
ENSMUSG00000071553,Cpa2
ENSMUSG00000037747,Phyhipl
ENSMUSG00000044734,Serpinb1a
ENSMUSG00000032119,Hinfp
ENSMUSG00000020484,Xbp1
ENSMUSG00000043969,Emx2
ENSMUSG00000019892,Lrriq1
ENSMUSG00000036273,Lrrk2
ENSMUSG00000036103,Colec12
ENSMUSG00000050587,Lrrc4c
ENSMUSG00000037492,Zmat4
ENSMUSG00000043602,Zfp3
ENSMUSG00000033831,Fgb
ENSMUSG00000013584,Aldh1a2
ENSMUSG00000095199,Zfp967
ENSMUSG00000075040,Zfp408
ENSMUSG00000040896,Kcnd3
ENSMUSG00000032496,Ltf
ENSMUSG00000111449,RP23-122B15.1
ENSMUSG00000073209,Klf14
ENSMUSG00000058152,Chsy3
ENSMUSG00000020354,Sgcd
ENSMUSG00000021194,Chga
ENSMUSG00000058440,Nrf1
ENSMUSG00000068959,Zfp619
ENSMUSG00000050919,Zfp366
ENSMUSG00000038718,Pbx3
ENSMUSG00000087215,Gm14618
ENSMUSG00000013418,B4galnt2
ENSMUSG00000047002,Msgn1
ENSMUSG00000020950,Foxg1
ENSMUSG00000029372,Ppbp
ENSMUSG00000032329,Hmg20a
ENSMUSG00000073427,Gm4924
ENSMUSG00000025225,Nfkb2
ENSMUSG00000014542,Clec4f
ENSMUSG00000060371,Caln1
ENSMUSG00000040473,Cfap69
ENSMUSG00000030523,Trpm1
ENSMUSG00000060487,Samd5
ENSMUSG00000089945,Pakap
ENSMUSG00000029290,Zfp326
ENSMUSG00000030911,Zp2
ENSMUSG00000049739,Zfp646
ENSMUSG00000095576,Fmo6
ENSMUSG00000037922,Bank1
ENSMUSG00000029084,Cd38
ENSMUSG00000049823,Zbtb12
ENSMUSG00000055148,Klf2
ENSMUSG00000034057,Myrfl
ENSMUSG00000036634,Mag
ENSMUSG00000084989,Crocc2
ENSMUSG00000070498,Tmem132b
ENSMUSG00000061524,Zic2
ENSMUSG00000031627,Irf2
ENSMUSG00000028972,Car6
ENSMUSG00000095315,Gm10130
ENSMUSG00000064194,Zfp936
ENSMUSG00000068196,Col8a1
ENSMUSG00000075225,Ccdc162
ENSMUSG00000002983,Relb
ENSMUSG00000021136,Smoc1
ENSMUSG00000004872,Pax3
ENSMUSG00000020802,Ube2o
ENSMUSG00000024867,Pip5k1b
ENSMUSG00000026531,Mptx1
ENSMUSG00000039834,Zfp335
ENSMUSG00000024694,Keg1
ENSMUSG00000011118,Panx3
ENSMUSG00000025019,Lcor
ENSMUSG00000056014,A430033K04Rik
ENSMUSG00000051034,Zfp11
ENSMUSG00000053552,Ebf4
ENSMUSG00000074735,Gm21994
ENSMUSG00000070695,Cntnap5a
ENSMUSG00000023078,Cxcl13
ENSMUSG00000067299,Crygd
ENSMUSG00000060509,Xcr1
ENSMUSG00000037627,Rgs22
ENSMUSG00000022556,Hsf1
ENSMUSG00000045252,Zfp574
ENSMUSG00000020154,Ptprb
ENSMUSG00000032023,Jhy
ENSMUSG00000030111,A2m
ENSMUSG00000022861,Dgkg
ENSMUSG00000030399,Ckm
ENSMUSG00000045817,Zfp36l2
ENSMUSG00000055197,Fev
ENSMUSG00000055026,Gabrg3
ENSMUSG00000027073,Prg2
ENSMUSG00000035187,Nkx6-1
ENSMUSG00000064115,Cadm2
ENSMUSG00000096436,Olfr1437
ENSMUSG00000049295,Zfp219
ENSMUSG00000019890,Nts
ENSMUSG00000001021,S100a3
ENSMUSG00000021071,Trim9
ENSMUSG00000091898,Tnnc1
ENSMUSG00000025930,Msc
ENSMUSG00000034522,Zfp395
ENSMUSG00000039683,Sdk1
ENSMUSG00000047586,Nccrp1
ENSMUSG00000052336,Cx3cr1
ENSMUSG00000042821,Snai1
ENSMUSG00000020923,Ubtf
ENSMUSG00000013089,Etv5
ENSMUSG00000027490,E2f1
ENSMUSG00000003184,Irf3
ENSMUSG00000005621,Zfp592
ENSMUSG00000056258,Kcnq3
ENSMUSG00000010461,Eya4
ENSMUSG00000030713,Klk7
ENSMUSG00000029368,Alb
ENSMUSG00000025902,Sox17
ENSMUSG00000023906,Cldn6
ENSMUSG00000052415,Tchh
ENSMUSG00000059246,Foxb1
ENSMUSG00000039057,Myo16
ENSMUSG00000026180,Cxcr2
ENSMUSG00000035357,Pdzrn3
