,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
1700112E06Rik,0.0001103878,-3.2484531e-06,-0.0003555417,-0.00024345517,0.00010615587,-0.00026205182,-0.00012391806,-0.0003606081,-0.00024554133,-0.00060480833,-0.00026774406,-0.00012746453,-0.0004968047,-0.00060647726
Pax4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lnx1,-1.9818544e-05,4.0084124e-06,4.6536326e-05,3.3199787e-05,-1.5601516e-05,2.6121736e-05,1.3440847e-05,5.070865e-05,3.7118793e-05,8.0898404e-05,3.0636787e-05,1.7464161e-05,6.0305e-05,8.523464e-05
Galnt14,-0.00012417138,-7.6279044e-05,0.00011098385,1.655519e-05,-0.00019975007,-1.3515353e-05,-0.00010854006,3.3915043e-05,-5.9232116e-05,0.00012907386,-8.98242e-05,-0.00018376112,3.5762787e-06,5.221367e-05
Elf2,3.194809e-05,1.7374754e-05,-4.10676e-05,-0.00012874603,4.965067e-05,-7.56979e-06,-9.4890594e-05,-2.2619963e-05,-0.00011083484,-0.0001681447,1.1473894e-05,-7.671118e-05,-0.00013232231,-0.00014960766
Zfp983,3.33786e-06,-0.000119805336,-0.00011488795,-0.0001270771,-0.000115931034,-0.0001128912,-0.00012415648,-0.0002348423,-0.00024789572,-0.00024271011,-0.0002322197,-0.00024461746,-0.00024098158,-0.00036406517
Gm15446,-5.5134296e-05,-3.3318996e-05,-0.00016909838,-7.683039e-05,-8.8751316e-05,-0.00022602081,-0.00013369322,-0.0002014041,-0.0001103878,-0.00024718046,-0.00025874376,-0.00016736984,-0.00030589104,-0.00027948618
Zfp260,7.492304e-05,-0.00026744604,3.993511e-06,4.8220158e-05,-0.00019198656,8.3982944e-05,0.00012344122,-0.00026351213,-0.000220716,4.6551228e-05,-0.00018316507,-0.0001462102,0.00012683868,-0.00022190809
Nkx2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabrp,-1.1272728e-05,-1.3634562e-06,-7.748604e-07,4.224479e-06,-1.2628734e-05,-1.1608005e-05,-6.9364905e-06,-2.1532178e-06,2.8163195e-06,3.542751e-06,-1.2960285e-05,-8.340925e-06,-7.174909e-06,2.1345913e-06
Aldh1a3,0.00010146201,0.00018703938,3.1858683e-05,-4.2244792e-05,0.00028775632,0.00013524294,5.978346e-05,0.00021792948,0.0001437664,-1.0117888e-05,0.0003208518,0.000245139,9.344518e-05,0.00017556548
Lefty2,0.0,0.0,0.0,-3.3248216e-07,0.0,0.0,-3.3248216e-07,0.0,-3.3248216e-07,-3.3248216e-07,0.0,-3.3248216e-07,-3.3248216e-07,-3.3248216e-07
Plxdc2,0.0010435581,0.00016987324,0.0006965399,-4.4465065e-05,0.0012177229,0.0017461777,0.0009949207,0.0008636713,0.00012660027,0.000628829,0.0019131899,0.0011708736,0.0016516447,0.00079751015
Plcxd3,-0.00016957521,0.00014334917,0.0007636547,-0.0005287528,-2.4139881e-05,0.0006117821,-0.00070619583,0.00090521574,-0.00038450956,0.00023245811,0.00075417757,-0.0005591512,7.44462e-05,0.0003733039
