,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
1700112E06Rik,-0.003733158,0.0008832216,-0.006657958,-0.0032497644,-0.0028276443,-0.010426402,-0.007032275,-0.0057936907,-0.00233984,-0.009897113,-0.009551406,-0.0061047077,-0.01373291,-0.008985996
Pax4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lnx1,-9.903312e-05,0.0001257956,-6.996095e-05,-0.0004969686,2.6717782e-05,-0.00017665327,-0.00057956576,4.8428774e-05,-0.00035962462,-0.00056374073,-5.699694e-05,-0.00044424832,-0.00065766275,-0.0004338026
Galnt14,-0.0010435581,-0.00010406971,-0.0028131604,-0.00087982416,-0.0011369586,-0.003846407,-0.0019323826,-0.002893865,-0.00095802546,-0.00365901,-0.003916204,-0.0020050406,-0.0047107935,-0.0037115812
Elf2,-0.00039184093,7.504225e-05,0.0016810894,-0.001113534,-0.0003170967,0.001304388,-0.0015232563,0.0017108321,-0.0010226369,0.0005338192,0.001337409,-0.0014314651,0.00015175343,0.00056636333
Zfp983,1.6212463e-05,-0.00015634298,-0.00040018559,-0.00012868643,-0.00014096498,-0.00038132071,-0.00011494756,-0.00053316355,-0.00028774142,-0.00052657723,-0.00051522255,-0.000274539,-0.0005109012,-0.0006617904
Gm15446,-6.741285e-05,0.00011199713,1.1503696e-05,0.00012743473,4.4822693e-05,-5.4359436e-05,5.6564808e-05,0.00013917685,0.00023847818,0.00013327599,7.44462e-05,0.00016784668,6.508827e-05,0.00025451183
Zfp260,-0.0004582405,0.00027871132,-0.0017764568,-0.00093996525,-0.00018370152,-0.002212286,-0.0014123917,-0.001501143,-0.00064718723,-0.0027201176,-0.0019413233,-0.0011252165,-0.0031737685,-0.0024266243
Nkx2-5,-2.0861626e-07,1.1660159e-06,4.8056245e-07,2.3581088e-06,9.49949e-07,2.719462e-07,2.156943e-06,1.6130507e-06,3.5464764e-06,2.8461218e-06,1.3969839e-06,3.3527613e-06,2.6263297e-06,4.000962e-06
Gabrp,0.0004594326,0.00017887354,0.0009430796,-0.000608325,0.00063830614,0.0014022887,-0.00014433265,0.0011183769,-0.0004312098,0.00032013655,0.0015766025,3.2156706e-05,0.0007816404,0.00049225986
Aldh1a3,0.0011966825,7.793307e-05,0.000665009,0.0007650256,0.0012753755,0.0018734038,0.0019797385,0.0007457733,0.0008134842,0.0014485717,0.0019530356,0.0020291805,0.0026749969,0.0014989674
Lefty2,5.029142e-08,-1.4137477e-06,-3.5045668e-06,-8.57003e-06,-1.3625249e-06,-3.4496188e-06,-8.476898e-06,-4.671514e-06,-9.836629e-06,-1.2122095e-05,-4.608184e-06,-9.750947e-06,-1.20177865e-05,-1.31437555e-05
Plxdc2,-0.0036804676,0.00060629845,-0.010097265,-0.008249998,-0.0030448437,-0.013770819,-0.012006044,-0.009506226,-0.007626772,-0.018328428,-0.013153315,-0.011359453,-0.022093058,-0.017726421
Plcxd3,0.0008484125,-0.000295043,0.0020421743,-0.001052916,0.0005504489,0.002893269,-0.00020980835,0.0016959012,-0.0013566911,0.00095647573,0.002547443,-0.0005168915,0.0018072426,0.0006273985
Gp1bb,-2.2351742e-07,8.940697e-08,-3.7252903e-07,8.940697e-07,-1.3411045e-07,-5.811453e-07,5.9604645e-07,-2.8312206e-07,9.0897083e-07,5.364418e-07,-5.066395e-07,6.556511e-07,2.5331974e-07,5.5134296e-07
Nfat5,-0.0006687641,-0.002189517,-0.0021470785,-0.00082314014,-0.0028287172,-0.0028073788,-0.0014915466,-0.004346609,-0.0029851198,-0.0029451847,-0.0049898624,-0.0036289692,-0.00359869,-0.005145192
Klf9,0.00037139654,9.101629e-05,-0.000338614,0.0005902052,0.00046378374,2.0623207e-05,0.00095558167,-0.00028014183,0.00066643953,0.0002617836,8.198619e-05,0.0010333657,0.0006175935,0.00031077862
Zbtb1,-0.0006160736,-8.46982e-05,0.0003466606,0.0011894703,-0.00069749355,-0.0002669096,0.0005760193,0.00026798248,0.001111865,0.0015540123,-0.0003437996,0.0005015135,0.0009417534,0.0014802217
Hand1,-9.059906e-06,-3.0398369e-06,-2.539903e-05,-4.336238e-06,-1.1734664e-05,-3.4108758e-05,-1.3247132e-05,-2.8215349e-05,-7.1004033e-06,-2.8163195e-05,-3.6753714e-05,-1.5892088e-05,-3.708899e-05,-3.0845404e-05
Kmt2c,0.00056028366,-0.000633955,-0.00039482117,-0.00029206276,-6.9618225e-05,5.710125e-05,0.00023984909,-0.0009499788,-0.0009239912,-0.000726223,-0.0004938841,-0.00039231777,-0.00030481815,-0.001275301
Zfp948,-0.0006171465,7.390976e-06,-0.0014715791,0.0008366108,-0.0006016493,-0.0020948052,0.00022941828,-0.0014330149,0.0008288622,-0.0006426573,-0.0020496845,0.00022983551,-0.0012536049,-0.00063818693
Zfp7,-0.0001488328,5.0216913e-05,-0.0003913045,-0.00043696165,-0.000100016594,-0.0005315542,-0.00058087707,-0.00034418702,-0.00037404895,-0.00081911683,-0.0004850328,-0.00051888824,-0.0009614825,-0.0007606745
Gm28845,-1.5832484e-07,-1.3737008e-07,1.4244579e-06,-7.0687383e-07,-3.511086e-07,1.2554228e-06,-8.6193904e-07,1.2763776e-06,-8.6613e-07,7.4040145e-08,1.0533258e-06,-1.0761432e-06,-9.1735274e-08,-9.732321e-08
Clca3b,2.1627173e-05,6.6384673e-06,-1.4489517e-05,-3.861077e-05,2.7909875e-05,6.8694353e-06,-1.6536564e-05,-8.05594e-06,-3.123097e-05,-5.1211566e-05,1.3003126e-05,-9.795651e-06,-2.9612333e-05,-4.4107437e-05
Myh7,-1.8194318e-05,-3.6664307e-05,-7.740781e-05,-2.1114945e-05,-5.526468e-05,-9.892881e-05,-4.188344e-05,-0.00011508912,-5.481392e-05,-9.702891e-05,-0.00013682991,-7.582456e-05,-0.00011921674,-0.00013208762
Nfrkb,-0.00044238567,0.00043785572,-0.0006918907,-0.00019216537,-6.914139e-06,-0.0011429787,-0.00066292286,-0.00028210878,0.00025463104,-0.00093507767,-0.0007352829,-0.00021970272,-0.0014107227,-0.00050640106
Scgb3a2,-1.3876706e-07,1.3783574e-07,1.7220154e-06,-3.3387914e-06,9.313226e-10,1.586508e-06,-3.4887344e-06,1.84495e-06,-3.236346e-06,-1.7392449e-06,1.7089769e-06,-3.3876859e-06,-1.8840656e-06,-1.6354024e-06
Hapln1,-0.00012773275,0.00044718385,-0.0014342964,0.00047290325,0.00031766295,-0.0015818477,0.000346601,-0.0009821057,0.0009353459,-0.000973016,-0.0011278093,0.00080800056,-0.001121521,-0.0005107522
Cd300c,1.13621354e-07,-5.5879354e-09,1.1175871e-08,-5.3085387e-08,1.0756776e-07,1.238659e-07,4.4703484e-08,5.5879354e-09,-5.9138983e-08,-4.284084e-08,1.1827797e-07,3.7718564e-08,5.448237e-08,-4.9360096e-08
Slc25a37,-4.2185187e-05,2.3543835e-06,-0.00017401576,-8.33869e-05,-3.8966537e-05,-0.0002117306,-0.00012178719,-0.0001733005,-8.1151724e-05,-0.00025494397,-0.00020988286,-0.00011827052,-0.0002875328,-0.00025372207
Stard13,-1.8060207e-05,-0.002330184,-0.0062046647,0.001761198,-0.0023279786,-0.0062512755,0.001707375,-0.008537471,-0.000613153,-0.004412234,-0.008562624,-0.00064486265,-0.004502356,-0.006770909
Hmx3,-5.288981e-06,-3.891997e-06,-5.207956e-06,-1.3050158e-05,-8.904375e-06,-8.573756e-06,-1.7373357e-05,-8.903444e-06,-1.6592443e-05,-1.8123537e-05,-1.1989847e-05,-2.0762905e-05,-2.018176e-05,-2.1522865e-05
Col11a1,0.00011783838,-0.00044357777,-6.842613e-05,5.722046e-05,-0.00034052134,4.7504902e-05,0.00019216537,-0.0005340576,-0.00043332577,1.013279e-06,-0.0004323721,-0.00030195713,0.00014001131,-0.0005042553
Dsp,0.0011743307,0.002664268,-0.0026432872,0.0014035106,0.003847599,-0.0014926791,0.0025789142,-1.6093254e-06,0.0041128993,-0.0012431741,0.0011590123,0.0052993894,-8.505583e-05,0.0014389157
Fmod,2.4721026e-05,-1.3798475e-05,-0.00020703673,-0.00014600158,1.1518598e-05,-0.00018206239,-0.000120297074,-0.00022017956,-0.00015595555,-0.00034579635,-0.00019478798,-0.00012983382,-0.00031992793,-0.0003566742
Agmo,-0.00039999187,-0.00020816922,0.00092850626,-0.0013989806,-0.0006118268,0.0004989803,-0.0017952919,0.0007197112,-0.0015964508,-0.00050522387,0.00028847158,-0.0019980967,-0.00093749166,-0.0007054508
Lin28a,7.8231096e-08,2.30968e-07,-3.3527613e-07,-2.719462e-07,2.8312206e-07,-2.7567148e-07,-1.4901161e-07,-1.7136335e-07,-1.1175871e-07,-8.1956387e-07,-1.1920929e-07,0.0,-6.631017e-07,-7.301569e-07
Dll3,1.1116266e-05,4.9062073e-06,1.4748424e-05,3.322959e-06,1.6070902e-05,2.7552247e-05,1.5255064e-05,1.9971281e-05,7.2419643e-06,1.822412e-05,3.2626092e-05,1.8972903e-05,3.181398e-05,2.2571534e-05
Mme,-0.0010080338,-6.0856342e-05,0.001772821,0.0024679303,-0.0010668039,0.00074625015,0.0014356375,0.0017046928,0.0024262667,0.004232228,0.00067698956,0.0013957024,0.003181398,0.004196763
Vmn2r8,1.3364479e-07,9.056646e-06,3.8775615e-06,4.5662746e-06,9.1912225e-06,4.0163286e-06,4.6822242e-06,1.2916047e-05,1.36015005e-05,8.491334e-06,1.3051555e-05,1.37169845e-05,8.61194e-06,1.750607e-05
Slpi,0.00016637146,-3.3400953e-05,-1.4856458e-05,0.0001924485,0.00013253838,0.00015501678,0.0003578961,-5.222112e-05,0.00016212463,0.00017154217,0.00011707842,0.00032688677,0.00034031272,0.00013634562
Ocstamp,3.3527613e-08,2.656132e-06,-7.7299774e-07,-6.603077e-06,2.687797e-06,-7.376075e-07,-6.5788627e-06,1.8458813e-06,-4.1536987e-06,-7.3034316e-06,1.879409e-06,-4.1294843e-06,-7.284805e-06,-4.9304217e-06
Nkx3-1,-2.2854656e-06,-3.2484531e-06,1.09896064e-07,2.577901e-06,-5.5879354e-06,-2.026558e-06,3.1664968e-07,-3.2149255e-06,-8.2328916e-07,2.503395e-06,-5.1632524e-06,-3.1627715e-06,3.7252903e-07,-9.369105e-07
Zfp964,4.082918e-05,4.2259693e-05,9.226799e-05,-0.0002129674,8.383393e-05,0.00013056397,-0.0001732707,0.00013658404,-0.00016924739,-0.00011694431,0.00017502904,-0.00012922287,-8.201599e-05,-7.215142e-05
Lypd6,-0.00054448843,-0.0019004941,-0.0035734773,-0.0017607212,-0.002442062,-0.0041369796,-0.0022607446,-0.005460322,-0.0036492944,-0.005289018,-0.006017983,-0.0041455626,-0.005814731,-0.0071647763
Ldha,-7.516146e-05,0.0006287694,4.6610832e-05,0.00066512823,0.00056037307,-3.159046e-05,0.00058305264,0.00067684054,0.0012910962,0.0006955862,0.00060513616,0.0012164712,0.0006123781,0.0013181567
Gm14410,0.00042277575,0.0005335212,-0.00091421604,0.00016599894,0.00095915794,-0.0005261898,0.00057148933,-0.00038522482,0.0007212758,-0.00073593855,4.6491623e-06,0.0011302233,-0.00036728382,-0.00018697977
F5,0.00040904433,-3.388524e-05,0.00022102892,3.478676e-05,0.0003735274,0.0006325543,0.00045278668,0.00018680841,2.0638108e-06,0.00025485456,0.0005963817,0.00041798502,0.00067370385,0.0002206415
A1cf,0.00024219975,2.9057264e-05,0.0002301149,0.000102419406,0.00027115643,0.00046718866,0.00034255907,0.00025726855,0.0001360029,0.000312306,0.00049340725,0.00037492812,0.0005501881,0.00034191832
Vwf,1.1742115e-05,-0.00011459738,0.000104390085,2.4527311e-05,-0.00010135025,0.00011686981,3.2640994e-05,-7.56979e-06,-9.3877316e-05,0.00012731552,6.1392784e-06,-8.380413e-05,0.00013764948,1.0922551e-05
Gorab,-0.00020897388,0.000287354,0.00078862906,0.0005014539,8.517504e-05,0.00055605173,0.0002965331,0.0010704994,0.00079119205,0.001298964,0.0008431673,0.0005918145,0.0010678172,0.0015900135
Lhx3,0.0,5.6810677e-08,0.0,1.3969839e-08,5.6810677e-08,0.0,1.3969839e-08,5.6810677e-08,7.171184e-08,1.3969839e-08,5.6810677e-08,7.171184e-08,1.3969839e-08,7.171184e-08
Pitx3,1.7255545e-05,-7.0258975e-06,9.387732e-06,4.61936e-07,1.0237098e-05,2.3968518e-05,1.6018748e-05,1.9744039e-06,-6.273389e-06,9.164214e-06,1.6584992e-05,9.119511e-06,2.272427e-05,2.0861626e-06
Ntn1,0.0017263889,0.0016297102,0.0010942817,-0.001259625,0.0033230782,0.0027721524,0.00045913458,0.0027772188,0.00038588047,-0.00015044212,0.00443089,0.0020723343,0.0015293956,0.0015496612
Pilra,5.2154064e-08,-2.3171306e-06,-2.9988587e-06,3.6261976e-05,-2.0861626e-06,-1.3262033e-06,3.620237e-05,-1.3336539e-06,3.534928e-05,3.002584e-05,5.438924e-07,3.5598874e-05,3.245473e-05,3.407523e-05
Fam19a1,0.0023794174,-0.0023183823,-0.00042152405,-0.00026392937,7.9870224e-05,0.0019693375,0.002115965,-0.002745986,-0.0025917292,-0.00068330765,-0.00032782555,-0.0001951456,0.0017054081,-0.0029888153
Lrp1b,-2.1457672e-05,-1.168251e-05,-0.0014565587,-0.002141416,-4.798174e-05,-0.0015441775,-0.002260983,-0.0014677644,-0.0021423101,-0.0036153793,-0.0015674233,-0.0022838116,-0.0038026571,-0.003595829
Gramd1b,-0.0021252036,0.001006484,0.0023481846,-0.0016124249,-0.0011596084,0.00022089481,-0.003734231,0.003328085,-0.0005737543,0.00051534176,0.0011529922,-0.0027412772,-0.0016120076,0.0015560985
Pde1c,0.00017783046,0.00044602156,-0.000674814,-1.1384487e-05,0.0006148219,-0.00049579144,0.00015872717,-0.00022155046,0.00041782856,-0.00071555376,-4.8071146e-05,0.00057831407,-0.00054210424,-0.00027048588
Ttc29,2.9154122e-05,-2.1226704e-05,-0.00010288507,-0.00035694242,7.368624e-06,-8.101761e-05,-0.00032457337,-0.0001234226,-0.0003767684,-0.0004541315,-0.00010246411,-0.00034536794,-0.00043017417,-0.0004738383
A330033J07Rik,0.0002862811,-6.592274e-05,-0.0005976856,-0.0015503317,0.00021621585,-0.00031372905,-0.0012490451,-0.0006635189,-0.001608789,-0.00213553,-0.00038433075,-0.0013146847,-0.0018330663,-0.002205506
Gm14409,-1.5078112e-06,-8.666888e-06,-7.602386e-06,6.73905e-06,-1.0096468e-05,-9.872951e-06,5.2424148e-06,-1.614727e-05,-1.9669533e-06,-3.7811697e-07,-1.836475e-05,-3.398396e-06,-1.6354024e-06,-8.987263e-06
