,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
1700112E06Rik,2.1502376e-05,3.695488e-05,-2.6732683e-05,-0.00031720102,5.811453e-05,-4.5597553e-06,-0.00029295683,5.275011e-06,-0.00028395653,-0.00034308434,2.6494265e-05,-0.00026100874,-0.00031882524,-0.0003145635
Pax4,9.3039125e-05,0.0005746819,0.00022078678,-0.00088817254,0.00066543743,0.00030963495,-0.0007965751,0.0007981807,-0.00033162907,-0.00067080185,0.00088478625,-0.00024244189,-0.0005836077,-0.00011156127
Lnx1,-5.275011e-05,-0.0001912862,2.9340386e-05,0.0004900098,-0.00024436414,-1.6734004e-05,0.00043594837,-0.00016331673,0.00029590726,0.00051905215,-0.00020991266,0.0002413392,0.00047278404,0.00032314658
Galnt14,-9.101629e-05,0.0004898906,-0.0006406009,0.0006914437,0.00040370226,-0.00073713064,0.0005989671,-0.0001527965,0.0011897683,5.1558018e-05,-0.00024437904,0.0011015832,-4.7892332e-05,0.0005477965
Elf2,4.9084425e-05,4.6551228e-05,-4.976988e-06,-9.6708536e-05,9.545684e-05,4.4494867e-05,-4.518032e-05,4.1633844e-05,-5.4866076e-05,-0.000102967024,9.098649e-05,-3.9339066e-06,-5.0723553e-05,-6.0766935e-05
Zfp983,-1.2636185e-05,0.00032675266,-8.624792e-05,-0.00019350648,0.00031262636,-9.742379e-05,-0.00020822883,0.00024145842,0.00013801455,-0.00027951598,0.00022870302,0.00012126565,-0.00029325485,5.3346157e-05
Gm15446,0.00011795759,0.00011199713,0.00026530027,0.00013303757,0.00023001432,0.00038456917,0.00025618076,0.00038015842,0.00024026632,0.0003978014,0.00049960613,0.0003633499,0.00052189827,0.0005081892
Zfp260,0.00019353628,-0.0005912781,-9.971857e-05,-0.0002785325,-0.0003991723,9.679794e-05,-7.18236e-05,-0.0006893277,-0.0008639693,-0.00037693977,-0.0004941821,-0.00065881014,-0.00016832352,-0.0009614825
Nkx2-5,1.8345192e-05,0.0001040604,6.654486e-05,-6.49374e-05,0.0001224149,8.802675e-05,-5.3381547e-05,0.00017118268,3.7128106e-05,4.6491623e-06,0.00019284151,4.820712e-05,1.905486e-05,0.00010834448
Gabrp,-1.4901161e-07,-3.8944185e-05,-3.1292439e-07,3.0398369e-06,-3.9078295e-05,-4.5448542e-07,2.8982759e-06,-3.925711e-05,-3.594905e-05,2.7418137e-06,-3.939122e-05,-3.6090612e-05,2.5853515e-06,-3.6247075e-05
Aldh1a3,-8.456409e-06,0.00020370632,-6.479025e-05,-0.0003241226,0.00019845366,-6.86571e-05,-0.00033514202,0.00013682991,-0.00011854619,-0.00038781017,0.00013608485,-0.00012650341,-0.00039557368,-0.00018465519
Lefty2,-9.6242875e-06,1.8117018e-05,2.5708228e-05,-5.5661425e-05,8.374453e-06,1.0771677e-05,-6.3315034e-05,4.2853877e-05,-3.591366e-05,-3.046263e-05,2.7775764e-05,-4.3837354e-05,-4.3153763e-05,-1.1665747e-05
Plxdc2,-0.0014351606,0.0048214197,-0.0012837648,-0.0016176701,0.0034223795,-0.0027432442,-0.003082633,0.0035352707,0.003273487,-0.0029075146,0.0021102428,0.0018416643,-0.0044008493,0.0019789934
Plcxd3,-8.6426735e-05,0.00037792325,1.2606382e-05,-0.00012126565,0.00029230118,-5.4717064e-05,-0.00021845102,0.0003887117,0.00025638938,-0.00011345744,0.0003220141,0.00016051531,-0.00018951297,0.00026246905
Gp1bb,-1.706183e-06,-1.527369e-06,-1.0877848e-06,2.348423e-05,-3.5613775e-06,-2.8684735e-06,2.1271408e-05,-2.5853515e-06,2.1576881e-05,2.208352e-05,-4.6268106e-06,1.9013882e-05,1.975894e-05,2.0034611e-05
Nfat5,0.00044953823,-0.0015295744,-0.0022000074,0.0028787851,-0.0010794401,-0.0017021894,0.0032843351,-0.0037195683,0.0013417006,0.00067424774,-0.0032213926,0.0017479658,0.0011181831,-0.0008493662
Klf9,1.6182661e-05,-3.796816e-05,2.3245811e-06,-4.3272972e-05,-2.193451e-05,2.0503998e-05,-2.6762486e-05,-3.540516e-05,-8.1181526e-05,-4.1246414e-05,-1.7374754e-05,-6.4730644e-05,-2.2888184e-05,-7.879734e-05
Zbtb1,8.952618e-05,-0.000105023384,2.1100044e-05,0.00015985966,-1.5497208e-05,0.00011575222,0.00025212765,-8.571148e-05,5.507469e-05,0.00017952919,8.46386e-06,0.00014734268,0.00027686357,7.301569e-05
Hand1,6.3329935e-07,3.7178397e-06,2.8312206e-07,-1.3262033e-06,4.351139e-06,9.164214e-07,-7.1525574e-07,3.9860606e-06,2.4810433e-06,-9.909272e-07,4.6268106e-06,3.0994415e-06,-3.5762787e-07,2.861023e-06
Kmt2c,-0.00045752525,-0.0012421608,-0.00028955936,0.00067198277,-0.001701951,-0.00073993206,0.0002411604,-0.0015206337,-0.0005788803,0.00036609173,-0.0019721985,-0.0010164976,-6.3061714e-05,-0.00087559223
Zfp948,1.6450882e-05,0.00017011166,-0.00033342838,0.00038444996,0.00018978119,-0.00031781197,0.0004002452,-0.00015866756,0.00056034327,4.7802925e-05,-0.00013971329,0.0005800128,6.264448e-05,0.00022876263
Zfp7,1.692772e-05,1.9073486e-06,-8.016825e-06,6.788969e-05,1.8775463e-05,9.000301e-06,8.46982e-05,-5.90086e-06,6.866455e-05,5.9604645e-05,1.1086464e-05,8.5413456e-05,7.6681376e-05,6.055832e-05
