,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
1700112E06Rik,0.000772655,0.0005955398,0.0005720258,0.00049623847,0.0013541877,0.0013470352,0.0012777448,0.0011580586,0.0010978878,0.0010715127,0.0019273758,0.0018663108,0.0018544197,0.001658678
Pax4,-5.271286e-07,-5.271286e-07,-4.377216e-07,-5.1930547e-06,-5.271286e-07,-5.0105155e-07,-6.7949295e-06,-5.0105155e-07,-6.7949295e-06,-5.574897e-06,-5.0105155e-07,-6.7949295e-06,-6.7595392e-06,-6.7595392e-06
Lnx1,1.3887882e-05,-3.0875206e-05,-6.7174435e-05,-0.00022563338,-1.6838312e-05,-5.1528215e-05,-0.0002078712,-9.688735e-05,-0.00025361776,-0.00028920174,-8.1300735e-05,-0.00023642182,-0.00027024746,-0.00031745434
Galnt14,0.0013154149,0.00034374,0.00085765123,0.0005249977,0.0015920401,0.002169907,0.0018011928,0.0012049675,0.0008815527,0.0013819933,0.0024514794,0.0020909905,0.0026489496,0.0017478466
Elf2,-0.00034564734,-0.00026261806,-7.241964e-05,-0.00013846159,-0.0006043315,-0.0004710555,-0.00050002337,-0.00034368038,-0.0003862083,-0.00022989511,-0.00073456764,-0.0007466376,-0.0006251335,-0.00048851967
Zfp983,9.930134e-05,3.7938356e-05,-4.1037798e-05,7.173419e-05,0.00013265014,4.8547983e-05,0.00017553568,-7.748604e-06,0.00011408329,3.415346e-05,8.991361e-05,0.00021281838,0.00012877584,7.033348e-05
Gm15446,9.000301e-06,-6.41942e-05,-4.4703484e-06,-6.67572e-06,-5.799532e-05,9.357929e-06,2.2053719e-06,-7.1525574e-05,-7.092953e-05,-1.0609627e-05,-6.145239e-05,-6.651878e-05,4.053116e-06,-7.83205e-05
Zfp260,-0.000100553036,-0.0002399087,7.6293945e-06,-0.0002219677,-0.00033086538,-8.4638596e-05,-0.00031542778,-0.0002387762,-0.00046217442,-0.00022161007,-0.0003297329,-0.0005494952,-0.00030505657,-0.0004682541
Nkx2-5,1.5087426e-07,5.727634e-08,-3.199093e-07,1.7718412e-06,2.0535663e-07,-1.7229468e-07,1.9213185e-06,-2.6496127e-07,1.8253922e-06,1.2326054e-06,-1.1501834e-07,1.9734725e-06,1.38022e-06,1.2842938e-06
Gabrp,1.5592203e-05,-2.0619482e-06,-4.256144e-06,3.8774684e-05,5.0310045e-06,5.448237e-06,5.681999e-05,-1.8402934e-06,3.4699216e-05,3.246218e-05,3.8873404e-06,4.4498593e-05,4.2317435e-05,3.474392e-05
Aldh1a3,3.1754375e-05,9.4771385e-06,-1.9788742e-05,-2.990663e-05,2.785027e-05,1.4983118e-05,6.623566e-06,-1.3142824e-05,-2.169609e-05,-4.3854117e-05,6.712973e-06,-7.003546e-07,-8.150935e-06,-4.272163e-05
Lefty2,1.8412247e-06,1.0766089e-06,7.472001e-06,5.0600618e-05,3.2056123e-06,9.261072e-06,5.364325e-05,8.510426e-06,5.1645562e-05,5.8507547e-05,1.0635704e-05,5.477015e-05,6.144494e-05,5.9472397e-05
Plxdc2,0.0011044145,9.000301e-06,-0.00013846159,0.0012261868,0.0011731982,0.0010442734,0.002437234,-9.262562e-05,0.0013670921,0.0011398196,0.00109905,0.002579689,0.002375245,0.0012627244
Plcxd3,0.0012918711,0.0013980865,0.0008639097,-0.005905032,0.002675891,0.0021773577,-0.004600525,0.0022687912,-0.004515767,-0.0050008297,0.0036127567,-0.0032203197,-0.0037039518,-0.0036242008
Gp1bb,0.0,-2.0861626e-07,0.0,-8.940697e-07,-2.0861626e-07,0.0,-8.940697e-07,-1.7881393e-07,-1.0430813e-06,-8.34465e-07,-1.7881393e-07,-1.0430813e-06,-8.34465e-07,-1.013279e-06
Nfat5,-2.7298927e-05,-4.2676926e-05,1.9073486e-06,0.0007740259,-6.80089e-05,-2.0623207e-05,0.00075656176,-3.838539e-05,0.0007326603,0.0007686615,-5.966425e-05,0.0007161498,0.0007545352,0.0007305145
Klf9,-2.0861626e-07,-2.76044e-06,-2.1234155e-06,-2.8092414e-05,-2.9839575e-06,-2.3320317e-06,-2.8282404e-05,-4.8838556e-06,-3.0696392e-05,-3.0670315e-05,-5.1036477e-06,-3.0890107e-05,-3.085658e-05,-3.3281744e-05
Zbtb1,2.0086765e-05,-5.427003e-05,-3.1799078e-05,4.902482e-05,-3.0070543e-05,-1.2785196e-05,6.67572e-05,-8.547306e-05,-4.5895576e-06,1.4364719e-05,-6.195903e-05,1.8805265e-05,2.771616e-05,-3.874302e-05
Hand1,-6.7055225e-08,1.0319054e-06,7.450581e-09,-1.8179417e-06,9.648502e-07,-5.5879354e-08,-1.8551946e-06,1.0356307e-06,-7.599592e-07,-1.8328428e-06,9.760261e-07,-7.972121e-07,-1.8663704e-06,-7.748604e-07
Kmt2c,0.00022959709,-4.6014786e-05,7.867813e-05,0.0025184155,0.00014567375,0.00031757355,0.002734661,1.347065e-05,0.0024950504,0.0026339293,0.0002411604,0.002668023,0.0028523207,0.0026038885
Zfp948,4.2676926e-05,-0.00015503168,-1.1265278e-05,-0.0006095767,-0.00011211634,2.7954578e-05,-0.00057804585,-0.00016790628,-0.0007610917,-0.0006213188,-0.000120937824,-0.0007325411,-0.00059115887,-0.0007789731
Zfp7,4.5895576e-05,-7.677078e-05,-0.00015455484,8.0645084e-05,-3.415346e-05,-8.6545944e-05,0.00013259053,-0.00022637844,2.9802322e-06,-8.08239e-05,-0.00016492605,5.4210424e-05,-1.1265278e-05,-0.000156492
Gm28845,6.0070306e-08,1.8626451e-09,2.0989683e-07,2.6359921e-06,6.1816536e-08,2.697343e-07,2.6674243e-06,2.1175947e-07,2.6324997e-06,2.6529888e-06,2.7159695e-07,2.6645139e-06,2.714689e-06,2.649962e-06
Clca3b,-3.918074e-06,-5.2787364e-06,4.0233135e-07,4.7367997e-05,-6.190501e-06,-3.5287812e-06,4.3508597e-05,-4.939735e-06,4.159659e-05,4.7093257e-05,-5.9055164e-06,4.0682033e-05,4.317239e-05,4.1216612e-05
Myh7,1.1589378e-05,2.110377e-06,6.178394e-06,1.0244548e-06,1.6972423e-05,1.5905127e-05,1.270324e-05,9.3039125e-06,3.181398e-06,7.4300915e-06,2.1766871e-05,1.7782673e-05,1.6853213e-05,1.000613e-05
Nfrkb,-2.2768974e-05,-5.352497e-05,-4.005432e-05,-2.9087067e-05,-7.867813e-05,-6.133318e-05,-5.4836273e-05,-9.351969e-05,-8.4519386e-05,-7.0631504e-05,-0.00011962652,-0.00011205673,-9.4771385e-05,-0.00012803078
Scgb3a2,7.050985e-07,1.4672696e-06,1.909808e-06,-3.72059e-06,2.1279557e-06,2.6058115e-06,-3.1768286e-06,3.3404067e-06,-2.2702588e-06,-1.8341525e-06,4.0071754e-06,-1.7399434e-06,-1.3113167e-06,-3.7660357e-07
Hapln1,4.5027584e-05,3.2395124e-05,-8.711964e-05,0.00040329993,6.997585e-05,-3.887713e-05,0.00044444948,-5.374849e-05,0.00044990703,0.00031846762,-1.2978911e-05,0.00047989935,0.00036086142,0.0003638342
Cd300c,-4.656613e-08,-1.0058284e-07,-2.7939677e-08,-3.8556755e-06,-1.4714897e-07,-7.4505806e-08,-3.958121e-06,-1.322478e-07,-3.958121e-06,-3.8873404e-06,-1.7695129e-07,-4.058704e-06,-3.9916486e-06,-3.989786e-06
Slc25a37,7.5399876e-06,-2.0563602e-06,-1.424551e-05,1.2606382e-05,1.1116266e-05,-6.4373016e-06,2.2232533e-05,-1.5974045e-05,1.090765e-05,-6.2584877e-07,-4.887581e-06,2.4557114e-05,8.195639e-06,-2.1457672e-06
Stard13,-0.00015002489,-2.3454428e-05,-0.00019311905,0.0006566644,-0.0001707375,-0.00034683943,0.00050216913,-0.00021204352,0.00063565373,0.000487566,-0.00036218762,0.00048604608,0.00032761693,0.0004684031
Hmx3,-1.3783574e-07,4.483387e-06,1.013279e-06,5.4351985e-06,3.9273873e-06,5.4202974e-07,5.4724514e-06,5.80959e-06,1.046434e-05,6.70366e-06,5.0794333e-06,9.922311e-06,6.271526e-06,1.1853874e-05
Col11a1,8.34465e-06,-0.0008171797,0.0001386404,0.00091052055,-0.0007857084,0.00012934208,0.0009377003,-0.00068974495,0.00012350082,0.0010559559,-0.00069367886,0.00016140938,0.0010763407,0.00024461746
Dsp,-4.876405e-06,-2.8543174e-05,-1.34296715e-05,6.9942325e-05,-3.1881034e-05,-1.4651567e-05,6.696209e-05,-4.0084124e-05,4.5146793e-05,5.7958066e-05,-4.0646642e-05,4.156679e-05,5.754456e-05,3.4231693e-05
Fmod,3.1664968e-08,-3.837049e-07,6.519258e-08,-6.949529e-06,-3.7066638e-07,9.685755e-08,-6.912276e-06,-2.9802322e-07,-7.364899e-06,-6.9271773e-06,-2.8312206e-07,-7.3462725e-06,-6.886199e-06,-7.34441e-06
Agmo,-2.5063753e-05,-0.0002667606,-0.00018167496,-0.0056029856,-0.00029358268,-0.00020706654,-0.0056262314,-0.00044441223,-0.005879611,-0.0057819486,-0.00047197938,-0.005901158,-0.0058101118,-0.0060529113
Lin28a,-1.8507242e-05,-5.1178038e-05,5.7592988e-05,2.9236078e-05,-7.137656e-05,3.747642e-05,1.0356307e-05,5.982816e-06,-8.910894e-06,8.393824e-05,-1.6137958e-05,-2.8550625e-05,6.6779554e-05,4.4852495e-05
Dll3,-6.722659e-05,-4.7646463e-05,2.7559698e-05,0.000148803,-0.00010101497,-2.8148293e-05,8.91611e-05,-2.6240945e-05,9.997934e-05,0.00017674267,-6.3337386e-05,5.083531e-05,0.00012756139,0.00012189895
Mme,0.00012518466,-0.00013959408,-0.00015415251,-1.5974045e-05,-3.2126904e-05,2.2217631e-05,0.000120565295,-0.00027753413,-0.00015042722,-0.00016926229,-0.00012002885,-3.5598874e-05,1.7151237e-05,-0.00028836727
Vmn2r8,2.3283064e-09,2.4936162e-07,2.1071173e-07,-2.3662578e-06,2.5192276e-07,2.135057e-07,-2.3636967e-06,4.5634806e-07,-2.141809e-06,-2.2083987e-06,4.589092e-07,-2.1394808e-06,-2.2060703e-06,-1.9830186e-06
Slpi,1.1455268e-06,8.195639e-08,3.9450824e-06,3.2177195e-05,1.3001263e-06,5.066395e-06,3.3339486e-05,3.5967678e-06,3.2296404e-05,3.5712495e-05,4.8112124e-06,3.3551827e-05,3.6817044e-05,3.536977e-05
Ocstamp,-9.2200935e-08,1.7741695e-07,-3.5390258e-08,-3.035739e-05,9.313226e-08,-1.1920929e-07,-3.04766e-05,1.44355e-07,-3.0338299e-05,-3.037043e-05,6.519258e-08,-3.0459836e-05,-3.0517578e-05,-3.0353665e-05
