,0
1700112E06Rik,0.16975072
Pax4,0.006303071
Lnx1,0.1906139
Galnt14,0.31981862
Elf2,0.6007615
Zfp983,0.29681072
Gm15446,0.71402425
Zfp260,0.79783356
Nkx2-5,0.069232084
Gabrp,0.10181948
Aldh1a3,0.22130042
Lefty2,0.015617404
Plxdc2,0.6678441
Plcxd3,0.22991444
Gp1bb,0.08587472
Nfat5,0.93407774
Klf9,0.19940612
Zbtb1,0.65522325
Hand1,0.08696663
Kmt2c,1.1322734
Zfp948,0.79299843
Zfp7,0.35061502
Gm28845,0.019570928
Clca3b,0.015041916
Myh7,0.33512238
Nfrkb,0.68168366
Scgb3a2,0.0054434766
Hapln1,0.18397397
Cd300c,0.0029013758
Slc25a37,0.16161196
Stard13,0.6502729
Hmx3,0.00845202
Col11a1,0.5463614
Dsp,0.24919902
Fmod,0.18668951
Agmo,0.07564718
Lin28a,0.05732988
Dll3,0.028910404
Mme,0.47327068
Vmn2r8,0.00766656
Slpi,0.08775506
Ocstamp,0.014757283
Nkx3-1,0.016544592
Zfp964,0.2675152
Lypd6,0.31692144
Ldha,0.55033594
Gm14410,0.4858797
F5,0.036058508
A1cf,0.08129924
Vwf,0.34437674
Gorab,0.4524784
Lhx3,0.025431804
Pitx3,0.608218
Ntn1,0.57555807
Pilra,0.032385223
Fam19a1,0.44470644
Lrp1b,0.314824
Gramd1b,0.778247
Pde1c,0.5310645
Ttc29,0.049293373
A330033J07Rik,0.114732794
Gm14409,0.024826095
Gbx1,0.09757801
Slc22a27,0.013868793
Slc7a1,0.576426
Gm44511,0.039794005
Ank1,0.5548603
Nupr1,0.0920312
Smyd1,0.52113414
Pitx2,0.75861585
Cpa1,0.03642925
Prkg2,0.40988263
Itga2,0.20343673
Sohlh2,0.02813865
Zfp647,0.38355032
Hoxc9,0.3976697
Olfr869,0.0026595579
Hsf5,0.3757945
Zfp57,0.6213332
Ly6a,0.012218927
Ntrk2,0.47011602
S100a14,0.021947045
Kcnj1,0.013967307
Pkhd1,0.28921807
Ednrb,0.07547094
Cela3b,0.020281678
Dnah8,0.24159095
Onecut3,0.07112969
Slc7a13,0.044222713
Sbsn,0.14223652
Otx2,0.07814592
Lhx5,0.049068138
Hoxd12,0.03689844
Slc24a5,0.34213093
Gm14295,0.23408765
Runx3,0.12580733
Gm2824,0.14452058
Lmo3,0.37545854
Pou2f3,0.06524082
Tmem232,0.1933842
Emb,0.19258451
Sned1,0.3386942
Esr2,0.20361596
Tgfb2,1.0032651
Egr4,0.006950849
Nefm,0.251823
Sox21,0.04163478
Hoxc13,0.17372519
Zfp735,0.010459097
Zfp809,0.6236035
Grm1,0.07567486
Hoxc12,0.050172884
Nfic,0.4657674
Astn2,0.56996864
Mx1,0.029777125
Hoxd11,0.098257706
Pnliprp1,0.027324405
Igf1,0.4889123
Ppl,0.13040097
Adpgk,0.4473497
Nfib,0.88905275
Fcer1a,0.0025475686
Zfp969,0.013367533
Atp8b1,0.19477698
Esrp1,0.18535843
Mybl2,0.41363308
Cdsn,0.017652037
Pacrg,0.38560236
Clca1,0.010623052
Zfp955b,0.4088087
Bbx,0.57019377
Pla2g7,0.078704186
Zfp623,0.40968576
Fam169b,0.20542593
Zeb1,1.0435977
Dpp10,0.3270484
Zfp763,0.63965464
Col4a2,0.64534044
Tmem178b,0.55483854
Mical2,0.4334031
Cubn,0.29864576
Stat5b,0.7504807
Gpr141,0.016228076
Foxa2,0.032614537
Col9a1,0.29800665
BC048546,0.029006427
Padi2,0.117307864
Shroom3,0.48676717
6530403H02Rik,0.1766624
Krt78,0.014480157
Bhlha9,0.022993445
Col9a2,0.2821355
Ryr2,0.2624763
H19,0.52372044
Scarb1,0.47186294
Cela1,0.038777784
9330185C12Rik,0.034734208
Ebf1,0.61821675
Barhl1,0.036800493
C3ar1,0.060607046
Gkn1,0.0049956013
Zfp72,0.24434811
Chrm2,0.28344005
Skint10,0.022096805
Sgms2,0.117459536
Trps1,0.5496464
Atf6b,0.50223994
Cacna2d4,0.036759615
Dgkb,0.24411543
Timp3,0.40720528
Pde10a,0.6797334
5430401F13Rik,0.015642
Nell2,0.13142918
Zfp114,0.26392505
Tfcp2,0.8344797
Try5,0.030681439
Dbx2,0.046046596
Crybb3,0.084161334
Tpsab1,0.0
Zfp367,0.50555235
Dlx3,0.07548769
Gm7145,0.010724712
Ptgs1,0.11447458
Lgals3,0.070485294
Ascl2,0.06862656
Nr5a1,0.023157958
Ppp1r14c,0.34124148
Mctp2,0.31702328
Cryba4,0.0067742243
2610021A01Rik,0.66283125
Dnah3,0.042785313
Actb,0.4149695
Nrp1,0.5917787
Nr2e1,0.074938424
Zfp281,0.41870177
Ell2,0.22200969
Ferd3l,0.0024490429
Gm11007,0.010593931
L3mbtl4,0.18839912
Cpeb1,0.12004415
1700007G11Rik,0.26495174
Scrg1,0.06728287
Gm973,0.06702969
Gria2,0.18798901
Cnfn,0.0
Stmn2,0.139502
Lbx1,0.22761077
Olfm5,0.011040317
Comp,0.070652895
Slc4a5,0.035244834
Tub,0.185254
Bpifb5,0.031134786
Cfap46,0.11979741
Pdzd2,0.58620083
Foxf2,0.13034377
Zfp954,0.16493672
Arid2,1.0305117
Sox10,0.024613464
Acacb,0.20924634
Cpa2,0.28682673
Phyhipl,0.1673273
Serpinb1a,0.030188875
Hinfp,0.53453135
Xbp1,0.42241684
Emx2,0.28406727
Lrriq1,0.15136753
Lrrk2,0.37892517
Colec12,0.633931
Lrrc4c,0.5078687
Zmat4,0.11150197
Zfp3,0.2668466
Fgb,0.11386156
Aldh1a2,0.23297252
Zfp967,0.0022127565
Zfp408,0.51502585
Kcnd3,0.430822
Ltf,0.015954988
RP23-122B15.1,0.004073993
Klf14,0.08554653
Chsy3,0.37458837
Sgcd,0.7702442
Chga,0.059729386
Nrf1,0.84694797
Zfp619,0.46563405
Zfp366,0.11010041
Pbx3,0.82494885
Gm14618,0.014536674
B4galnt2,0.04224
Msgn1,0.006748292
Foxg1,0.043250173
Ppbp,0.032817844
Hmg20a,0.9522399
Gm4924,0.83241665
Nfkb2,0.25559863
Clec4f,0.028216239
Caln1,0.23807031
Cfap69,0.4511697
Trpm1,0.012393801
Samd5,0.5346594
Pakap,0.8218614
Zfp326,0.91179013
Zp2,0.036649883
Zfp646,0.36041418
Fmo6,0.027537888
Bank1,0.05784162
Cd38,0.19250613
Zbtb12,0.24710819
Klf2,0.09831965
Myrfl,0.14897627
Mag,0.014534773
Crocc2,0.08371125
Tmem132b,0.22300968
Zic2,0.13199972
Irf2,0.6772926
Car6,0.015504362
Gm10130,0.41233167
Zfp936,0.057497375
Col8a1,0.3212416
Ccdc162,0.46866456
Relb,0.33016774
Smoc1,0.44964215
Pax3,0.27558416
Ube2o,0.616571
Pip5k1b,0.3018522
Mptx1,0.0036028917
Zfp335,0.51127154
Keg1,0.03541956
Panx3,0.07586249
Lcor,0.99010307
A430033K04Rik,0.72143924
Zfp11,0.3821681
Ebf4,0.4361993
Gm21994,0.009511205
Cntnap5a,0.118785195
Cxcl13,0.1052906
Crygd,0.0033960335
Xcr1,0.014420992
Rgs22,0.42053106
Hsf1,0.5848242
Zfp574,0.41394317
Ptprb,0.16893244
Jhy,0.030235242
A2m,0.20427
Dgkg,0.042464204
Ckm,0.18416418
Zfp36l2,0.19653991
Fev,0.013881965
Gabrg3,0.2360156
Prg2,0.035074074
Nkx6-1,0.05021494
Cadm2,0.41672057
Olfr1437,0.0012264284
Zfp219,0.30387205
Nts,0.0425961
S100a3,0.36336005
Trim9,0.15694983
Tnnc1,0.30005074
Msc,0.11731314
Zfp395,0.70790565
Sdk1,0.76226085
Nccrp1,0.0016728
Cx3cr1,0.25000858
Snai1,0.27855706
Ubtf,0.5678151
Etv5,0.57485026
E2f1,0.6392226
Irf3,0.54628503
Zfp592,0.8034265
Kcnq3,0.30868068
Eya4,0.888445
Klk7,0.03903622
Alb,0.3103275
Sox17,0.05152315
Cldn6,0.07551577
Tchh,0.12457355
Foxb1,0.039192185
Myo16,0.5883506
Cxcr2,0.012747556
Pdzrn3,1.0975989
Ly6g,0.0033844563
Usp53,0.5817187
Zfp296,0.04160847
Hey2,0.13103612
Kcnh1,0.2842682
Zfp683,0.005692772
Rimbp2,0.12112117
2210017I01Rik,0.0046984814
Alx1,0.20508146
Ncf2,0.048514254
Nxph1,0.14103346
Gm12606,0.013894858
Zfp113,0.65579724
Il15,0.17894012
Rab27b,0.30510807
Ifng,0.013209876
Hoxa9,0.36909437
Hpse2,0.36760214
Tubb1,0.018291352
Elf5,0.06712501
Serpina1a,0.086913794
Cd300lf,0.024101716
Tbx4,0.2330897
Ereg,0.048274867
Ovol2,0.07084153
Etv1,0.7303003
Trpm2,0.056073908
Ins1,0.0012265543
Krt17,0.049538057
Mier1,0.8954278
Lyar,0.548061
Ccser1,0.39821222
Pou5f2,0.23260842
D930020B18Rik,0.07890266
Slfn1,0.008436481
Tbr1,0.088989444
Zfp583,0.50292873
Susd1,0.20460816
Zbtb4,0.46157372
Dlgap2,0.19481692
Iqca,0.15677257
Stat5a,0.44674715
Nfe2l3,0.19639096
Atp6v0d2,0.02196235
Sctr,0.107658856
Ptprz1,0.11683185
Myo1g,0.034695175
H2-Eb1,0.037422094
Gm43020,0.015789067
D5Ertd615e,0.08530002
Zbtb48,0.28135964
Qrfpr,0.036540944
4930544I03Rik,0.2680038
Negr1,0.48545033
Zfp663,0.12210525
Ptprn2,0.10274611
Slc46a2,0.014496704
Gfi1b,0.042668827
Zfp641,0.2592341
Sntb1,0.41570008
Fam65b,0.5137727
Epb41,0.6672468
Krt16,0.005693646
Otof,0.13705641
Plin1,0.01819432
Clec12a,0.015025139
Chn2,0.64360064
Prg3,0.0073590213
Tpm2,0.54687244
Ifi207,0.04978357
Bmp5,0.47839835
Nfia,0.9337984
Tmeff2,0.432879
Mef2a,0.94071597
Duxbl1,0.105181724
Veph1,0.29658225
