,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
1700112E06Rik,0.0071765184,-0.0051465034,-0.0028258562,-0.0011759996,0.0019360781,0.00439775,0.0059996843,-0.007926345,-0.006340146,-0.004034877,-0.0008023977,0.00076293945,0.0032097101,-0.009141922
Pax4,-6.2696636e-06,2.3562461e-06,8.137897e-06,1.7881393e-07,-3.885478e-06,2.4158508e-06,-6.334856e-06,1.0322779e-05,1.6130507e-06,8.016825e-06,4.9322844e-06,-4.677102e-06,2.0693988e-06,9.360723e-06
Lnx1,0.00049714744,0.00014433265,8.881092e-06,1.1071563e-05,0.000632599,0.0005122274,0.0005030781,0.00015255809,0.00015443563,2.0861626e-05,0.00064890087,0.0006376654,0.0005183816,0.00016318262
Galnt14,0.0039866567,-0.00023752451,0.00029414892,-0.0031585693,0.0037251115,0.0042948127,0.00079882145,2.6524067e-05,-0.0034228563,-0.0028572679,0.004003942,0.0005143881,0.001115799,-0.0031445622
Elf2,-6.15716e-05,1.4126301e-05,-0.00017726421,0.00024163723,-4.5627356e-05,-0.00024044514,0.0001835227,-0.00017750263,0.00027310848,8.5651875e-05,-0.00023624301,0.00021240115,2.1576881e-05,9.018183e-05
Zfp983,-0.00024530292,-4.6104193e-05,3.1650066e-05,-3.951788e-05,-0.00029718876,-0.0002142787,-0.00028127432,-1.8179417e-05,-8.371472e-05,-8.523464e-06,-0.00026920438,-0.00033161044,-0.0002501011,-5.7280064e-05
Gm15446,-0.00027644634,3.4570694e-06,1.50203705e-05,0.00031369925,-0.00027507544,-0.00026130676,3.772974e-05,1.8715858e-05,0.0003080368,0.00033175945,-0.000259161,3.1769276e-05,5.5372715e-05,0.0003273487
Zfp260,-1.180172e-05,-0.00022733212,0.00049579144,-5.286932e-05,-0.00024068356,0.00048553944,-6.771088e-05,0.00026488304,-0.0002759099,0.00043994188,0.0002541542,-0.00029158592,0.00042808056,0.00021290779
Nkx2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabrp,-0.0010046363,0.0005413741,7.273257e-05,-6.0379505e-05,-0.00047299266,-0.000952065,-0.0011036247,0.0006098747,0.00048851967,4.172325e-06,-0.00042060018,-0.0005617589,-0.0010566413,0.00054854155
Aldh1a3,-0.00042560697,0.00018626451,-0.0006611347,-0.00060632825,-0.00023958087,-0.0010874271,-0.0010273159,-0.00048187375,-0.0004313588,-0.0012912154,-0.0009049475,-0.0008535385,-0.0017153323,-0.0011184812
Lefty2,-0.00021255948,1.270324e-06,5.6810677e-08,-4.142523e-06,-0.00021129008,-0.00021215249,-0.00021448266,1.3550743e-06,-2.7902424e-06,-3.8677827e-06,-0.00021085422,-0.00021313038,-0.00021399744,-2.5164336e-06
Plxdc2,-0.003668785,-0.0035452843,0.011916637,-0.023992538,-0.006822109,0.00833416,-0.027511597,0.008265495,-0.027555466,-0.012075424,0.005083084,-0.030722618,-0.01550293,-0.015721798
Plcxd3,0.00018262863,0.0003208518,0.0026059747,-0.01027894,0.00052165985,0.0027808547,-0.010068715,0.0028757453,-0.009936452,-0.007725477,0.0030711293,-0.009728253,-0.007508576,-0.0074307323
Gp1bb,3.874302e-06,-2.026558e-06,4.3585896e-05,-5.2303076e-06,2.026558e-06,4.697591e-05,-2.771616e-06,4.1350722e-05,-7.353723e-06,2.5488436e-05,4.4986606e-05,-4.6640635e-06,2.7917325e-05,2.3327768e-05
Nfat5,-0.001509428,0.00041759014,0.0031217337,-0.0023614168,-0.0010408163,0.0015128851,-0.0038713217,0.0034731627,-0.0019360781,0.00077855587,0.0019243956,-0.003394246,-0.0008223057,0.001131773
Klf9,0.0001949668,-0.00021398067,-0.00018578768,-0.0003862083,-2.8282404e-05,1.1146069e-05,-0.00019103289,-0.00038605928,-0.0006019175,-0.0005827546,-0.00020501018,-0.00041654706,-0.0003861487,-0.0007868409
Zbtb1,0.00020289421,5.2690506e-05,-0.000112235546,0.00020259619,0.00025248528,0.00010287762,0.0004156828,-6.902218e-05,0.0002568364,8.165836e-05,0.00014454126,0.00046783686,0.00031226873,0.00012677908
Hand1,1.0095537e-05,2.2351742e-07,1.1920929e-06,1.0609627e-05,1.0281801e-05,1.2174249e-05,1.7426908e-05,1.3411045e-06,1.1250377e-05,8.389354e-06,1.2300909e-05,1.846999e-05,1.911074e-05,8.590519e-06
Kmt2c,0.009626865,-0.00111413,0.0053436756,-0.011972904,0.008428097,0.014986992,-0.0023403168,0.00425148,-0.013104677,-0.0067174435,0.013797522,-0.003549099,0.0029585361,-0.0078139305
Zfp948,0.0011476278,-0.0006850958,0.00020670891,-0.0011951923,0.0004711151,0.001388967,-6.246567e-05,-0.0004928112,-0.0018902421,-0.0009952784,0.0007019043,-0.00074470043,0.00017523766,-0.0017076135
Zfp7,-0.0003490746,-2.0563602e-06,-0.00032657385,0.00015425682,-0.00034964085,-0.00068205595,-0.00019341707,-0.0003362298,0.00015711784,-0.00017029047,-0.00068745017,-0.0001912117,-0.0005261302,-0.00017720461
Gm28845,-9.369105e-07,5.8617443e-06,-9.2200935e-07,3.054738e-06,4.924834e-06,-2.0358711e-06,1.7154962e-06,3.7383288e-06,9.501353e-06,1.925975e-06,2.624467e-06,8.160248e-06,6.4633787e-07,6.938353e-06
Clca3b,-4.7935173e-05,2.4657696e-05,-0.000116685405,4.800409e-05,-2.4206936e-05,-0.00016385876,1.4062971e-06,-9.2236325e-05,7.314235e-05,-7.142499e-05,-0.00014018267,2.6863068e-05,-0.00011752546,-4.6310946e-05
Myh7,-3.0994415e-06,6.1392784e-06,-4.7273934e-06,-2.4482608e-05,2.2798777e-06,-7.715076e-06,-2.7574599e-05,1.4305115e-06,-1.8503517e-05,-2.9109418e-05,-2.399087e-06,-2.2470951e-05,-3.1959265e-05,-2.3048371e-05
Nfrkb,-0.0004850626,5.9247017e-05,3.194809e-05,0.0003658533,-0.0004350543,-0.0004556179,-0.00012469292,9.286404e-05,0.00043034554,0.00040268898,-0.00040262938,-6.8068504e-05,-9.202957e-05,0.00046932697
Scgb3a2,3.2570213e-05,5.904585e-06,-1.911074e-06,7.352233e-05,3.8558617e-05,3.0895695e-05,0.00010520965,3.8817525e-06,7.968396e-05,7.08662e-05,3.6740676e-05,0.00011111051,0.00010130182,7.708743e-05
Hapln1,0.0046190917,-0.0013576448,-0.0011917949,-0.00034829974,0.0032743216,0.0034802258,0.0042159855,-0.0025544167,-0.0017090142,-0.0015828311,0.0021154583,0.0028701425,0.0030468404,-0.0029277503
Cd300c,-0.000109841116,-2.1327287e-06,5.4836273e-06,1.9145664e-05,-0.00011147931,-0.00010734983,-9.239372e-05,4.5099296e-06,1.7233193e-05,2.557505e-05,-0.00010875799,-9.340653e-05,-8.795643e-05,2.5063753e-05
Slc25a37,0.00048586726,-7.0512295e-05,8.3982944e-05,-6.3210726e-05,0.000415653,0.00056776404,0.00043031573,1.886487e-05,-0.00013417006,1.7166138e-05,0.00050362945,0.00036162138,0.0005090833,-4.7177076e-05
Stard13,0.013066471,-0.0026688576,-0.0011706352,-0.0041956306,0.010389209,0.01192528,0.008811235,-0.0038647652,-0.0068433285,-0.0054291487,0.009218514,0.006155193,0.007604897,-0.008104324
Hmx3,-6.0962513e-05,3.857352e-05,7.971749e-05,0.00015860237,-1.8527731e-05,1.853332e-05,0.000103749335,0.00011790916,0.00019788742,0.0002377741,5.991012e-05,0.00014697574,0.00018229336,0.00027715787
Col11a1,0.04078555,-0.016138315,0.008184195,-0.007126093,0.024767399,0.048883915,0.033304214,-0.007932186,-0.023112774,0.0010142326,0.032909393,0.017415762,0.04135275,-0.0149309635
Dsp,0.0014512539,0.0010613501,0.00018323958,-0.00014305115,0.0025372207,0.0016158521,0.001306355,0.0012424439,0.0009085238,3.2112002e-05,0.0026970506,0.0023807585,0.0014654994,0.0010797083
Fmod,0.00017017126,5.51939e-05,-0.00011765957,-0.00014442205,0.0002271533,5.3584576e-05,2.810359e-05,-6.425381e-05,-8.08835e-05,-0.00026327372,0.00010871887,9.191036e-05,-8.955598e-05,-0.0002028048
Agmo,0.0011755824,-0.00064715743,0.00020188093,0.00017660856,0.0005159974,0.00140962,0.0013765097,-0.00044631958,-0.0004695952,0.00035744905,0.00074988604,0.00072321296,0.0015977323,-0.0002860725
Lin28a,1.5713274e-05,7.454306e-06,-3.412366e-05,4.2639673e-05,2.1085143e-05,-1.8127263e-05,5.833432e-05,-2.5745481e-05,5.32344e-05,7.4990094e-06,-1.22487545e-05,6.7055225e-05,2.3882836e-05,1.8022954e-05
Dll3,-6.8455935e-05,2.3979694e-05,-4.7218055e-05,-1.1995435e-06,-4.3064356e-05,-0.0001167804,-6.4238906e-05,-2.3432076e-05,2.258271e-05,-4.7691166e-05,-9.117648e-05,-3.979355e-05,-0.0001119636,-2.4095178e-05
Mme,0.0045381784,0.0013625622,0.006695032,-0.0039908886,0.0058436394,0.011217833,0.0005123615,0.008046269,-0.0026016235,0.0026574135,0.012507558,0.0018478632,0.007160306,0.0040370226
Vmn2r8,5.0198287e-06,6.146729e-08,-1.3969839e-07,2.644956e-07,4.9844384e-06,5.0850213e-06,4.8540533e-06,-1.2293458e-07,2.9057264e-07,1.4901161e-07,5.044043e-06,4.7273934e-06,4.8801303e-06,1.527369e-07
Slpi,0.0,-4.068017e-06,5.9604645e-08,2.875924e-06,-4.068017e-06,5.9604645e-08,2.875924e-06,-4.0233135e-06,-1.0281801e-06,2.95043e-06,-4.0233135e-06,-1.0281801e-06,2.95043e-06,-1.0430813e-06
Ocstamp,-1.356937e-06,-1.2302771e-06,-5.961396e-06,-4.5169145e-07,-2.621673e-06,-6.6095963e-06,-1.8673018e-06,-6.6338107e-06,-1.6828999e-06,-6.429851e-06,-7.282011e-06,-3.1460077e-06,-7.0985407e-06,-7.0948154e-06
Nkx3-1,8.836389e-06,2.9545277e-05,-4.827976e-06,1.6786158e-05,3.3017248e-05,4.0344894e-06,2.5440007e-05,2.5372952e-05,4.6286732e-05,1.2103468e-05,2.8233975e-05,4.9605966e-05,2.0924956e-05,4.2140484e-05
Zfp964,0.00043410063,-0.00017043948,0.0002464652,-0.00023061037,0.00026506186,0.00068086386,0.00019916892,7.939339e-05,-0.00039950013,1.04904175e-05,0.0005155206,3.1858683e-05,0.0004402697,-0.00015544891
Lypd6,0.006716907,0.002246797,0.00015449524,-0.0042957067,0.00896734,0.0068413615,0.0023922324,0.002372563,-0.0020702481,-0.0041276813,0.0090658665,0.004621446,0.0025289655,-0.0019439459
Ldha,0.00011831522,9.62615e-06,-9.036064e-05,-8.639693e-05,0.00012853742,2.4706125e-05,3.6150217e-05,-8.121133e-05,-7.671118e-05,-0.0001783967,3.361702e-05,4.6253204e-05,-5.9843063e-05,-0.00017020106
Gm14410,0.00033569336,-0.00021791458,0.0006285906,-0.0013990998,0.00011754036,0.0009624958,-0.0010659695,0.00042545795,-0.0016248822,-0.00077301264,0.0007570982,-0.0012896061,-0.00043654442,-0.0009801984
F5,-2.8386712e-05,1.6763806e-07,1.4789402e-06,4.027784e-05,-2.8129667e-05,-2.880767e-05,9.81614e-06,2.0340085e-06,3.9942563e-05,4.1354448e-05,-2.8099865e-05,1.0091811e-05,9.637326e-06,4.1529536e-05
A1cf,-6.866455e-05,-2.3700297e-05,-1.6577542e-05,9.0215355e-05,-9.312108e-05,-7.985905e-05,2.354011e-05,-4.0058047e-05,6.2055886e-05,7.1026385e-05,-0.00010439381,-4.455447e-06,7.681549e-06,4.4006854e-05
Vwf,2.3633242e-05,-1.6123056e-05,-0.00012774765,8.7320805e-05,8.836389e-06,-0.00012764335,0.00011277199,-0.00014440715,7.249415e-05,-4.9889088e-05,-0.00014138222,9.892881e-05,-4.8294663e-05,-6.6146255e-05
Gorab,-9.2089176e-05,0.00018507242,9.161234e-05,1.8656254e-05,0.00010371208,9.894371e-06,-7.3730946e-05,0.0002682805,0.00020891428,9.769201e-05,0.00019794703,0.00012940168,2.0563602e-05,0.0002823472
Lhx3,-7.433817e-06,7.2456896e-07,-7.34441e-06,1.0728836e-05,-6.8098307e-06,-1.44429505e-05,1.9390136e-06,-6.7632645e-06,1.148507e-05,5.0626695e-06,-1.3783574e-05,2.6710331e-06,-3.5818666e-06,5.815178e-06
Pitx3,8.6039305e-05,-4.3213367e-07,-1.6264617e-05,3.989041e-05,8.609891e-05,7.081032e-05,0.00012425333,-1.6614795e-05,4.0255487e-05,2.4177134e-05,7.06166e-05,0.00012443215,0.00010856986,2.412498e-05
Ntn1,-0.007556796,0.00040507317,0.0011354685,-0.0037317276,-0.0070289373,-0.0063915253,-0.011276722,0.0016653538,-0.0033786297,-0.0026386976,-0.005783081,-0.010806918,-0.010150433,-0.0021158457
Pilra,-9.872019e-07,3.568828e-06,1.2218952e-05,-3.0174851e-06,2.3394823e-06,1.0922551e-05,-3.878027e-06,1.5556812e-05,-1.3411045e-07,9.085983e-06,1.4271587e-05,-7.003546e-07,8.326024e-06,1.1947006e-05
Fam19a1,-0.007229805,-0.0026333332,0.0031440258,-0.005390644,-0.009819746,-0.0041577816,-0.012706041,0.00050878525,-0.007917166,-0.0022611618,-0.006761074,-0.0152208805,-0.009638786,-0.004799366
Lrp1b,-0.010850906,-0.00421834,0.011951685,-0.015619755,-0.014861345,0.0010559559,-0.026393414,0.007660389,-0.019858837,-0.0037221909,-0.0030145645,-0.030431747,-0.014538288,-0.008015633
Gramd1b,-0.008374095,-0.0021026134,0.00095546246,-0.0043839216,-0.010446906,-0.0074192286,-0.012669206,-0.0011366606,-0.006432891,-0.0033874512,-0.009493291,-0.014690757,-0.011666775,-0.005429387
Pde1c,0.014111638,0.0008215904,-0.00045657158,-0.012881517,0.014911532,0.013593912,0.0010954142,0.00030636787,-0.0120328665,-0.013315439,0.0143224,0.0019317865,0.000605464,-0.012531042
Ttc29,-1.7847866e-05,-6.072223e-07,-3.8594007e-06,1.10939145e-05,-1.8458813e-05,-2.1740794e-05,-3.8594007e-06,-4.462898e-06,1.052767e-05,7.1898103e-06,-2.2344291e-05,-4.425645e-06,-7.8082085e-06,6.608665e-06
A330033J07Rik,-0.00042127073,-0.000120699406,-0.00024332106,0.00044697523,-0.000550881,-0.0006727427,2.7403235e-05,-0.00036410987,0.00032429397,0.00020255148,-0.00080125034,-0.0001039505,-0.00022479892,8.1941485e-05
Gm14409,-9.4249845e-06,-4.498288e-07,5.543232e-06,1.6707927e-06,-9.772368e-06,-4.2505562e-06,-7.3052943e-06,4.5169145e-06,1.0197982e-06,7.087365e-06,-5.2070245e-06,-7.890165e-06,-2.4316832e-06,6.06291e-06
Gbx1,-2.2277236e-06,4.388392e-06,-1.5892088e-05,-5.3979456e-06,4.1686e-06,-1.6584992e-05,-8.869916e-06,-1.1734664e-05,-5.662441e-07,-2.1189451e-05,-1.0408461e-05,-2.2798777e-06,-2.3495406e-05,-1.6346574e-05
Slc22a27,-0.00019725785,1.5085563e-05,2.8388575e-05,1.3364479e-05,-0.00018235482,-0.00016944855,-0.0001816675,4.305318e-05,2.8401613e-05,4.155375e-05,-0.00015549362,-0.00016700476,-0.00015247054,5.614385e-05
Slc7a1,0.00020670891,-0.00022828579,-7.70092e-05,-0.0002539158,-2.6792288e-05,0.00013524294,-5.5134296e-05,-0.00029960275,-0.00047835708,-0.00032293797,-9.274483e-05,-0.00028324127,-0.000118255615,-0.00054216385
Gm44511,-4.8093498e-05,-8.866191e-06,8.687377e-06,1.6205013e-05,-5.7831407e-05,-3.822893e-05,-3.0353665e-05,-5.289912e-07,7.338822e-06,2.451241e-05,-4.8175454e-05,-4.0099025e-05,-2.0831823e-05,1.5340745e-05
Ank1,-0.0008175075,-0.0007213056,-1.4320016e-05,-0.00048278272,-0.0015402585,-0.0008229017,-0.0012932718,-0.00073456764,-0.0012177527,-0.0005093813,-0.0015463233,-0.0020300448,-0.0013143718,-0.0012472719
Nupr1,0.00012588501,2.9578805e-05,3.244728e-05,-1.8715858e-05,0.00015577674,0.00015573204,0.00011792779,6.003678e-05,1.0102987e-05,9.097159e-06,0.00018377602,0.0001475066,0.00014425069,3.668666e-05
Smyd1,0.00020895898,2.4676323e-05,-2.0116568e-05,4.8846006e-05,0.00023053586,0.00018973649,0.00025841594,4.813075e-06,7.934868e-05,2.9355288e-05,0.0002118051,0.00028449297,0.00023946166,5.9828162e-05
Pitx2,0.003879875,0.0017984211,0.00019815564,-0.0012932718,0.005697787,0.0041041374,0.0025700629,0.0019898415,0.0005019307,-0.0010944307,0.0059162676,0.0043830574,0.0028004348,0.0006913245
Cpa1,1.8559396e-05,-1.9557774e-06,-6.6943467e-06,1.7434359e-06,1.873821e-05,1.1995435e-05,2.0015985e-05,-8.21054e-06,-2.0489097e-07,-5.1110983e-06,1.2319535e-05,2.0161271e-05,1.324527e-05,-6.623566e-06
Prkg2,0.0021952987,-0.0010672808,-0.0011895299,-0.0023946762,0.001088798,0.0010246634,-0.00024998188,-0.0022662878,-0.003443718,-0.003608346,-8.493662e-05,-0.001335144,-0.0014451742,-0.0046625137
Itga2,0.0012365878,0.0009379536,-6.03199e-05,-0.00038672984,0.0022102892,0.0011814833,0.0008662045,0.00088971853,0.00050990283,-0.00046306849,0.002163142,0.0018002242,0.0007996261,0.0004452318
Sohlh2,-2.330169e-05,1.0052696e-05,4.6748668e-05,2.1468848e-05,-1.3915822e-05,2.3525208e-05,-4.8056245e-06,5.6020916e-05,3.258139e-05,6.96145e-05,3.295578e-05,6.4000487e-06,4.3936074e-05,8.0348924e-05
Zfp647,-7.855892e-05,5.2660704e-05,0.00026613474,0.00013357401,-2.95043e-05,0.00016829371,5.8829784e-05,0.00032541156,0.00018411875,0.00041237473,0.00022521615,0.00010699034,0.00031781197,0.00046992302
Hoxc9,0.0026148558,0.00082945824,-0.0018712878,0.0014595985,0.0034344196,0.0007392168,0.004061103,-0.0010462999,0.0023002625,-0.00043189526,0.0015522242,0.0048844814,0.0021576881,0.00039970875
Olfr869,-1.010811e-05,-5.1409006e-07,-6.0028397e-06,1.7500715e-05,-1.0583084e-05,-1.6110484e-05,7.2633848e-06,-6.48899e-06,1.6960781e-05,1.1866214e-05,-1.6590348e-05,6.6864304e-06,1.6014092e-06,1.1392403e-05
Hsf5,-0.0003144145,6.920099e-05,-0.000103622675,0.00017556548,-0.00025725365,-0.0004336238,-0.0001437664,-3.5345554e-05,0.00024607778,7.072091e-05,-0.00037491322,-8.5413456e-05,-0.00026118755,0.0001398623
Zfp57,0.0010320544,-0.00013059378,0.00010704994,-0.0003426671,0.00090789795,0.0011225939,0.00068449974,-2.9683113e-05,-0.0004720688,-0.00023722649,0.0009921193,0.0005619526,0.000772655,-0.00037252903
Ly6a,-2.7213246e-05,1.5160069e-05,-5.8131292e-05,-3.5371631e-06,-1.2503937e-05,-8.291565e-05,-3.0796975e-05,-4.3436885e-05,1.1444092e-05,-6.083399e-05,-6.8167225e-05,-1.585856e-05,-8.529052e-05,-4.6163797e-05
Ntrk2,-0.0023549795,-0.00090384483,0.0039018393,-0.008332014,-0.0031747818,0.0015296936,-0.01076889,0.0029883385,-0.009261131,-0.0044305325,0.0007054806,-0.011609077,-0.0068799257,-0.005360484
S100a14,2.254732e-06,1.6298145e-07,-2.7790666e-06,2.1895394e-06,2.1606684e-06,3.46452e-07,2.6198104e-06,-3.7513673e-06,2.1532178e-06,-5.243346e-07,-1.0114163e-06,2.6924536e-06,7.003546e-07,-1.4677644e-06
Kcnj1,0.0,0.0,0.0,-9.648502e-07,0.0,0.0,-9.648502e-07,0.0,-9.648502e-07,-9.648502e-07,0.0,-9.648502e-07,-9.648502e-07,-9.648502e-07
Pkhd1,0.0025076568,-0.00012660027,-0.000784412,-0.0013201386,0.002335459,0.0017310083,0.001147598,-0.0008994043,-0.0014656037,-0.0021220744,0.0015784651,0.0009633601,0.00034925342,-0.0022496432
Ednrb,5.1230192e-05,-0.0004041493,-0.0002964437,-0.0028529465,-0.00036647916,-0.00016263127,-0.0028201044,-0.00070115924,-0.003268063,-0.0032051206,-0.0005813837,-0.0032461584,-0.0030860603,-0.0036250055
Cela3b,6.530434e-06,-7.0780516e-08,1.9595027e-06,7.2978437e-06,6.4484775e-06,8.573756e-06,1.3748184e-05,1.8645078e-06,7.2084367e-06,9.030104e-06,8.46386e-06,1.3653189e-05,1.572445e-05,8.923933e-06
Dnah8,-8.8214874e-05,0.00028583407,5.0216913e-05,3.877282e-05,0.00019317865,-4.0233135e-05,-4.8428774e-05,0.00033405423,0.00032567978,8.5413456e-05,0.00024089217,0.0002349019,-3.2484531e-06,0.00036934018
Onecut3,-0.00024822354,-4.722923e-05,-2.7671456e-05,0.00018626451,-0.00029493123,-0.00027457252,-6.7878515e-05,-7.3708594e-05,0.0001345016,0.00015299395,-0.00031982735,-0.00011873245,-9.88543e-05,0.000102214515
Slc7a13,2.9345974e-05,-6.61239e-07,6.698072e-06,-1.9686297e-05,2.890639e-05,3.5556033e-05,7.322058e-06,5.9697777e-06,-2.0386651e-05,-1.2708828e-05,3.5161152e-05,6.9048256e-06,1.3751909e-05,-1.337938e-05
Sbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otx2,-0.0006441772,0.00022150576,0.00013902783,-0.0002283752,-0.0004233718,-0.0004977584,-0.000863336,0.0003424883,-1.527369e-05,-7.95871e-05,-0.00029459596,-0.0006502792,-0.00070438534,0.00011406094
Lhx5,4.3347478e-05,-4.2393804e-06,-7.992238e-05,-3.9115548e-05,3.9711595e-05,-3.8586557e-05,5.3346157e-06,-8.443743e-05,-4.3541193e-05,-0.000119015574,-4.249811e-05,1.7955899e-06,-7.630885e-05,-0.0001245588
Hoxd12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc24a5,0.0005016923,0.00015565753,-0.00038781762,-0.0002309084,0.00066787004,0.00014701486,0.00027516484,-0.00023138523,-7.522106e-05,-0.00061413646,0.00030973554,0.0004427731,-6.979704e-05,-0.0004579425
Gm14295,-0.00017116964,-4.693866e-06,4.604459e-06,4.3064356e-06,-0.00017531216,-0.00016777217,-0.00016911328,-8.940697e-08,1.5050173e-06,8.001924e-06,-0.00017181039,-0.00017225742,-0.0001655817,5.2005053e-06
Runx3,0.000880152,-0.00014817715,-0.00013437867,-3.6001205e-05,0.00072336197,0.0007343888,0.000824973,-0.00025594234,-0.0001758337,-0.0001964271,0.0006030798,0.0006670952,0.000651598,-0.00031511486
Gm2824,-0.00027442724,-0.00023230165,-7.306039e-05,-0.000111691654,-0.00050420314,-0.00034540892,-0.00038761646,-0.00030573457,-0.00034662336,-0.00018110126,-0.00057592243,-0.0006182417,-0.00045389682,-0.0004163161
Lmo3,-0.00021907687,-5.2839518e-05,0.00010976195,1.9520521e-05,-0.00027519464,-0.00010678172,-0.00020369887,6.0230494e-05,-3.2007694e-05,0.00012296438,-0.00015938282,-0.00025874376,-9.6946955e-05,7.6144934e-05
Pou2f3,-9.406358e-05,-5.7294965e-06,6.9372356e-05,6.674975e-05,-0.00010176003,-2.4326146e-05,-2.475828e-05,6.545335e-05,6.341189e-05,0.0001378581,-3.0092895e-05,-2.9325485e-05,4.7050416e-05,0.00013516843
Tmem232,-0.00012174249,0.0002529025,-9.0032816e-05,-0.00024846196,0.00013071299,-0.00021210313,-0.0003657341,0.00016111135,7.480383e-06,-0.00034561753,3.784895e-05,-0.000110685825,-0.00046032667,-9.140372e-05
Emb,-8.034706e-05,0.00010436773,-3.2529235e-05,-0.00016008317,2.95043e-05,-0.00010699034,-0.0002503395,7.237494e-05,-6.9111586e-05,-0.0001937747,1.9222498e-06,-0.0001527965,-0.00027698278,-0.00010153651
Sned1,-0.0059013367,-0.00025629997,0.004337311,-0.0053253174,-0.0060527325,-0.0016469955,-0.011120558,0.0040450096,-0.0055406094,-0.0010480881,-0.0018415451,-0.011226416,-0.006918907,-0.0012950897
Esr2,-4.827976e-06,6.6012144e-06,2.7418137e-06,9.030104e-06,2.0861626e-06,-1.9669533e-06,3.6358833e-06,8.583069e-06,1.5556812e-05,1.2636185e-05,4.2021275e-06,9.924173e-06,7.0035458e-06,1.8507242e-05
Tgfb2,0.0061597824,0.0047404766,0.0022230148,-0.005181074,0.010911703,0.008369207,0.00089120865,0.0069327354,-0.0004439354,-0.0030550957,0.013094425,0.0056345463,0.0030152798,0.0016827583
