,Scn10a,Scn11a,Scn7a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn10a_Scn9a,Scn11a_Scn7a,Scn11a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn11a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn7a_Scn9a
1700112E06Rik,0.00078332424,0.00068092346,0.0005880594,0.0022361279,0.0013622046,0.0013383627,0.0030995607,0.001262188,0.0029556751,0.0028346777,0.0019185543,0.0037118196,0.0036782026,0.003541708
Pax4,2.5648624e-06,-1.5739352e-07,2.0284206e-06,2.387911e-06,2.4084002e-06,4.593283e-06,4.9443915e-06,1.8719584e-06,2.2249296e-06,4.448928e-06,4.4368207e-06,4.786998e-06,7.0063397e-06,4.286878e-06
Lnx1,-1.2367964e-05,-1.0311604e-05,0.00012393296,-4.814565e-05,-2.4408102e-05,0.000111445785,-5.9962273e-05,0.0001129061,-5.9589744e-05,7.729232e-05,9.88245e-05,-7.2836876e-05,6.5267086e-05,6.5431e-05
Galnt14,-0.0007869601,-0.00022548437,0.00023835897,-0.00058811903,-0.0010385513,-0.00054240227,-0.0013680458,1.3709068e-06,-0.0007916689,-0.00033849478,-0.0008177161,-0.0015910864,-0.0011155009,-0.00055736303
Elf2,-7.6293945e-06,-3.9696693e-05,-3.4213066e-05,0.00015467405,-4.5001507e-05,-4.1007996e-05,0.00014698505,-7.3730946e-05,0.00011622906,0.000121712685,-7.909536e-05,0.00011104345,0.000114798546,8.33869e-05
Zfp983,-2.1278858e-05,1.7464161e-05,2.9861927e-05,6.633997e-05,-2.9802322e-06,8.881092e-06,4.595518e-05,4.6908855e-05,8.606911e-05,9.62615e-05,2.670288e-05,6.66976e-05,7.56979e-05,0.00011587143
Gm15446,-1.8119812e-05,2.2351742e-05,3.2186508e-06,2.0861626e-06,-4.23193e-06,-1.591444e-05,-1.692772e-05,2.5093555e-05,2.1576881e-05,3.2782555e-06,-3.1590462e-06,-5.9604645e-06,-1.5556812e-05,2.2828579e-05
Zfp260,-1.1563301e-05,6.7949295e-05,2.336502e-05,5.7697296e-05,5.608797e-05,1.180172e-05,4.673004e-05,9.119511e-05,0.00012493134,8.124113e-05,7.933378e-05,0.000113904476,7.021427e-05,0.00014859438
Nkx2-5,0.0,0.0,7.359311e-06,2.514571e-07,0.0,7.359311e-06,2.514571e-07,7.359311e-06,2.514571e-07,7.683411e-06,7.359311e-06,2.514571e-07,7.683411e-06,7.683411e-06
Gabrp,4.081987e-06,-3.8428232e-05,-1.1158176e-05,-7.960945e-06,-3.486406e-05,-7.1963295e-06,-3.7718564e-06,-5.0093047e-05,-4.5965426e-05,-1.8662773e-05,-4.673656e-05,-4.1930936e-05,-1.4448538e-05,-5.724188e-05
Aldh1a3,1.1995435e-06,-2.7865171e-06,-5.058944e-06,5.9232116e-07,-1.475215e-06,-2.9429793e-06,1.989305e-06,-8.307397e-06,-2.514571e-06,-4.5336783e-06,-7.0482492e-06,-1.0728836e-06,-3.1292439e-06,-7.927418e-06
Lefty2,0.0,0.0,3.903173e-06,2.7241185e-06,0.0,3.903173e-06,2.7241185e-06,3.903173e-06,2.7241185e-06,6.5788627e-06,3.903173e-06,2.7241185e-06,6.5788627e-06,6.5788627e-06
