,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn9a,Scn9a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a_Scn7a,Scn10a,Scn11a,Scn7a
Dsp,0.05593487577776183,0.008823663468357836,0.03376840063833344,0.011560192005756299,0.03435266874221858,0.015506992644665879,0.010308185610899072,0.011476725019458798,0.0002444393285159852,0.006397156194603837,0.04185874484082754,0.023054802236423592,0.023561567224940357,0.019012610870345063
Mme,0.41771942029294645,0.16859684410980058,0.29914885073054603,0.175147245855919,0.3067357088893755,0.09658387991308823,0.057405846060713264,0.1891601407290958,0.014178718393307657,0.02108842587928732,0.22761956310174825,0.1315055414197112,0.11702279990804777,0.10993343665399638
Itga2,0.2178372785139106,0.2182418171126172,0.1748811222308756,0.21936553711817353,0.1792037116237957,0.12767731066142157,0.1768438880489979,0.1364198660798563,0.08579992900238496,0.08394953166560495,0.08408437786517381,0.04187737663158899,0.043945025061574924,0.04022925161063082
Ntrk2,0.4485652243617828,0.3331983261708139,0.29965604004520147,0.42502372361437546,0.39213912682819496,0.23479601910610975,0.276191908787084,0.24257225317218153,0.18144558594731217,0.08747302290772975,0.20206616129850927,0.03338753578825684,0.14859968364187012,0.053969424772126726
Kcnj1,0.0036816466410001043,0.0036816466410001043,0.0037162973831250117,0.004123444219317116,0.004158095100964538,0.0005457499628172498,0.004158095100964538,0.004201408470486291,6.93015819155753e-05,0.0004937737612656292,0.0005110991741848373,2.5988093334609497e-05,4.331349044126599e-05,0.0004677856930450723
Grm1,0.0035522197831918583,0.0035522197831918583,0.0035522197831918583,0.0035522197831918583,0.0035522197831918583,0.0,0.0035522197831918583,0.0035522197831918583,0.0,0.0,0.0,0.0,0.0,0.0
Ryr2,0.061342806021399056,0.07029949107723749,0.02798860162010395,0.10903611984383949,0.009839742593924393,0.009141709500187872,0.14149046120799066,0.04226043317060617,0.06427790859821121,0.024540487289770763,0.10485633574200019,0.09750596381736801,0.03288324237515349,0.07148530975658933
Gria2,0.25932954068162384,0.2079160169202986,0.2640569492793299,0.1145664268354345,0.17005141452560912,0.030445491358531425,0.12037957280906131,0.17550265057051437,0.06283623568135593,0.03533124655519946,0.08737810661998258,0.05693261602042677,0.00504408965202031,0.09167576045940488
Lrrk2,0.070435410044008,0.12629063313747124,0.07536644102602438,0.05404901218612022,0.00396267856297832,0.11103741298037778,0.05891136318288909,0.008529717260538394,0.04490120040704934,0.11679943641093724,0.060236834933341046,0.05034044046607171,0.005253811242577253,0.06553185013431986
Kcnd3,0.12812859493097659,0.2914583489046265,0.14841599131508393,0.15165491498185069,0.007052005064686094,0.2433162657963308,0.17151535947420216,0.027000787880677054,0.12409467698645942,0.2649139479085841,0.09943474291471785,0.14516235879687867,0.020331563446426903,0.12084103211825294
Ltf,0.06254582106824959,0.05452306440259926,0.060571801320945265,0.06416620628916844,0.0700724320966804,0.01263583894306243,0.062107736268868015,0.06810368978301994,0.00506700323152133,0.013607014815578857,0.00662932942815334,0.006017066309094845,0.000981731873273584,0.007505498460181786
Gabrg3,0.02888656067183707,0.03138121279008109,0.002676664252467728,0.005364035153897996,0.04063176209219078,0.13513941998870496,0.038233471000153764,0.07403653344024785,0.06607077985810832,0.10285884983538898,0.10239846353481835,0.03324416963771208,0.033254875460386295,0.07044980262486653
Kcnq3,0.9884512431691975,0.13169746678514146,0.7682234232401081,0.15875955971622463,0.7913655075755883,0.228870687678352,0.0585164653181522,0.5735227535469144,0.4155660840071231,0.4448715437522375,0.40578971865088964,0.6291818979516189,0.21347411485811152,0.1903792318567247
Alb,0.0234433781321972,0.017355979264454095,0.02036027749898713,0.011071578035699612,0.01400692524556878,0.009978210701475605,0.007830875910300208,0.010854874909760738,0.0003841561904512601,0.006767058731918022,0.012755955097089544,0.002886096454358088,0.0032210016909883818,0.009594054378817754
Usp53,0.00014068507553158176,0.020730951074034408,0.006240388125688345,0.0019997378713841364,0.01121461006581303,0.018500087853885853,0.00832051761331322,0.005064662887730084,0.00783816875883449,0.024579693084279,0.004341139690308561,0.01380723539045177,0.0059389201548615675,0.010370499612623539
Kcnh1,0.17486958241518263,0.07469765022106784,0.10993746732523556,0.06096733766284805,0.09790860795359797,0.10849717008127029,0.004384203502628533,0.03197144844296582,0.0304282728244316,0.04461758337282807,0.14358662750545473,0.034266430427632874,0.0656126955148502,0.07926386955458654
Rimbp2,0.2839240762714078,0.16143818743652355,0.15167608486082673,0.24374024167900044,0.23485523094383948,0.1868316809968783,0.1115763560699861,0.1031358942048837,0.13955906015657177,0.05531659452376168,0.17789259130369717,0.008482518797416853,0.13046978786728458,0.047182508057418034
Ifng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dlgap2,0.5598382725183304,0.36659653340451154,0.47842181051897414,0.33874586560090375,0.45122737687268344,0.08181686948286497,0.25807461056483394,0.3709231495895607,0.031320868482070184,0.0005561233742309673,0.19604460642670282,0.11240366006655643,0.08053778687012178,0.11515090444738632
Epb41,0.01504824170970143,0.05664225921358165,0.000346214228690532,0.038123823945383786,0.018623104635596986,0.04404972085377006,0.05351022770713758,0.0031159281527719427,0.04079691959805104,0.059492487434029497,0.012133601155218271,0.05640071431176576,0.015716516298276494,0.00343798779672373
Kcnq5,0.02968672605882124,0.13541644995826674,0.042305821899339,0.01926701274337223,0.07222144211836211,0.17351259285207066,0.0316671672874197,0.0591047481721777,0.07942666930028246,0.18463889604525188,0.08173552664774493,0.09145860294919331,0.012121499404514536,0.09317034190199042
Slc39a8,0.04280498237224404,0.03857134424588795,0.03111669612759044,0.03890529636585631,0.031515282147836894,0.03068579080765681,0.02713621458300184,0.019794678049371885,0.01914832133461274,0.018722802986340742,0.023295776951106333,0.007233810474748248,0.011855261762434368,0.011408198419267395
Ccl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc34a1,0.10227124118811141,0.10447812492187128,0.09211320345719728,0.13425499343787495,0.06080750541165831,0.14344072534216598,0.14397805857256402,0.052798776562732234,0.18379142744971122,0.15601034060135277,0.04981788969640591,0.1943844446453087,0.009710267136322687,0.038380501326024566
Asic2,0.6553858038608392,0.4208305342096353,0.6035689920540779,0.1735001756842825,0.35665026008895573,0.16686872192127042,0.12459510898435967,0.30626645809284064,0.13339131332402998,0.11732337565698735,0.3482504183147885,0.18090911104469207,0.04792940381977376,0.2989185019821453
Nefl,0.0005015154166846496,0.0023305715840118346,0.000604768558682232,0.002131440446668301,0.0005015154166846496,0.0016594259135560155,0.0023305715840118346,0.000604768558682232,0.0016594259135560155,0.0017184277796893578,9.587794585164458e-05,0.0017184277796893578,9.587794585164458e-05,0.0
Gabrb3,0.1465077214140401,0.20989520222539043,0.15395726484582137,0.17016429332182517,0.11314588907330629,0.08135737494502196,0.17737689131631512,0.12069021576835537,0.04945512344499191,0.0897073084943346,0.023789260207789185,0.05779557994006558,0.008766958282198055,0.032613085267728374
Rgs7,0.04638854297813215,0.005905112351249413,0.09450907266981343,0.10327127623428593,0.016562952928207964,0.07236148876816981,0.05564170338827194,0.031809872347147446,0.13418787742920987,0.02487511450976914,0.014612766731284978,0.08683106194548935,0.048256904940795375,0.06290376319633711
Grid1,0.18151022049007112,0.12943186382681143,0.12827346870454837,0.13482947214720145,0.13537169745176023,0.10154418637962123,0.0797935148315347,0.08125999176138415,0.0542226214263391,0.0455223552881171,0.09933830566852664,0.0018484984953072063,0.0550482838132866,0.044955481123339656
Bcl2,0.5436129762835823,0.5653437502568873,0.36149747049779396,0.4868963723971812,0.283015711194722,0.6442037342804767,0.30474648516802705,0.1007454802607394,0.3852053216821006,0.4621054192163713,0.4401511514394417,0.203468055038576,0.18168570890022212,0.2584998384043318
Hnf1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcnj6,0.26134058129471405,0.20840748049592697,0.10882540898084357,0.3717065613953977,0.2728448977321039,0.24112492454378934,0.217628653397084,0.12014130281823183,0.2504901819904136,0.08833267434661393,0.1409111153357664,0.09671153131555468,0.15283658230149105,0.01132697522715704
Prkcb,0.04676733541082127,0.06467780321678818,0.0886673696606901,0.021183827313173715,0.04473091244687474,0.06358668000668126,0.06358668000668126,0.08691755229853738,0.06492418631253764,0.021902861973028653,0.04022564083529187,0.0229085022346774,0.041869863995964256,0.0015084615397593735
Kcnh8,0.5381750183272922,0.4404204181843379,0.43953246420157566,0.33197378953442913,0.33379369482051957,0.3031265971436116,0.23345598805305798,0.23733065783923024,0.0951127861020078,0.2030677469107075,0.30292112857313247,0.0050708226848884715,0.0982242594744689,0.20558481323201444
Trdn,0.023334803751008097,0.09497040150814769,0.004764992549660892,0.008951436463472287,0.10622799860322185,0.16600333940330897,0.011217419555243626,0.08678232773222187,0.07983170846464258,0.18724090952613015,0.06854196795723266,0.09991217398201079,0.020120643704294672,0.08867868336769522
Ano1,0.25608891920469107,0.13471835324456172,0.25003527242248,0.24290984348834455,0.138509316997698,0.2672434993932677,0.2496383099033541,0.13317020607985677,0.3788488606416474,0.27490482939319477,0.11814526630437552,0.3862720031402696,0.006252122380870702,0.1118335988796473
Grid2,0.21879881319868993,0.47679406604847974,0.2892990703256749,0.1134277035684933,0.07021324549284873,0.40711382250836525,0.18275943617513912,0.0008610091071654096,0.11523171970214542,0.4779830719919788,0.21965982402553824,0.18521945973892187,0.0701722448135052,0.2905495893259696
Adcy8,0.00147198401716823,0.05198877021386558,0.039338240041689364,0.07260721303308021,0.01917845896811666,0.12989725833733595,0.03463429107680106,0.0581327044614921,0.12974792394268,0.09277766125816841,0.04599417036089504,0.09143367318086841,0.03915690920322778,0.007871914725780046
Fgf14,0.3788919773664485,0.5239603709697631,0.23287531794471142,0.4780965098041519,0.1937953052856656,0.6242408121566001,0.33032916578552657,0.047103912849372036,0.43192262806881504,0.478497703895814,0.33517999488938754,0.2844470852130988,0.1478220328342164,0.18852505962381189
Celf4,0.007223613945708717,0.2928941481815252,0.07171645192700711,0.2659225266692428,0.047044433567184726,0.11352506741420991,0.3318964597251537,0.11206995104884374,0.15328092369673996,0.17961592907453158,0.10736680723790763,0.21974856208594146,0.06545425424468883,0.04243223354821249
Slc1a2,0.18734742553889266,0.34603960824066066,0.19223435496854596,0.15629314868370053,0.30681082853820696,0.10458046122655855,0.22173368414775946,0.07250438269580514,0.23035246414835575,0.27353522554485554,0.2580303061924212,0.1485629006290808,0.3798038967234131,0.12159589010464804
Hoxd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grm3,0.2535807332952489,0.09100059355400877,0.30923436839565027,0.06398825309652377,0.15815188190052967,0.18545680441878007,0.006879606710105516,0.21508655885405073,0.2840091455608289,0.129716173988537,0.04105622896060653,0.22750147725165126,0.05705329223473748,0.09700245938851466
