,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn10a_Scn9a,Scn11a_Scn9a,Scn11a_Scn7a,Scn10a_Scn7a,Scn9a,Scn7a,Scn10a_Scn11a,Scn10a,Scn11a
Dsp,0.6961142839892752,0.041148052105876326,0.6014190049462325,2.5637225709340408,0.5607034639689198,1.2476193093193537,1.9897259800136249,0.000778554573090525,0.7221237789831995,0.6789861118273698,1.278761484502543,1.86137980353043,0.5681141531759812,1.288911512450339
Mme,0.5001313857496335,0.379129579240265,0.5043577763262781,0.16632689894713837,0.08067735223095385,0.1710859946842696,0.2891400174060795,0.20314951602971687,0.08893118854587971,0.29410509978107136,0.21126840458135254,0.1271318186969608,0.12012814192187381,0.007252295794666894
Itga2,0.7227846715116918,1.6875402128192551,0.8254993543755332,1.4384103710992098,0.891952642334385,1.5398178256479207,0.5832949558365919,0.055403686443379695,0.9900451584640304,0.6789597025579073,0.14848499011236588,0.7441523948419599,0.8420582237496748,0.0929412386433463
Ntrk2,0.30803850989604004,0.5411633830790205,0.31504601732363785,0.47019147913493287,0.27662984210080466,0.4810573030805264,0.24652465819718794,0.05263975694799811,0.28876785134888167,0.25574287122584766,0.06227508447207538,0.2106632981057128,0.22424036014826398,0.011679184877669401
Kcnj1,0.07944520463982963,0.06048713070003367,0.05991411550477567,0.033603960341316755,0.05417424957435519,0.015592820916744014,0.03171980841720612,0.06388151939961674,0.0377704642827776,0.011902212466646982,0.04525851512541434,0.01018802178412976,0.0061283525672354055,0.01834620909016631
Grm1,0.06916682968910735,0.11620648090895458,0.07683927467269488,0.10054574363437835,0.03612824169930585,0.10701218482906229,0.06348141628963391,0.004450705328344153,0.04758521757213878,0.07080928655984418,0.007660955948176284,0.02584280520691364,0.03719641020731675,0.011836004974381198
Ryr2,0.18674191844186688,0.5094287672059997,0.15665279977366578,0.29264893056825164,1.5691132941376844,0.04379623341454694,0.3686204254433946,0.8999600960546198,1.2277022962977024,0.7081244123594354,0.5545944119531813,1.0125095132603317,0.6748613045876053,0.3405534623973167
Gria2,0.26822916871848895,0.009935500802869847,0.12173555897941771,0.1852816781004052,0.0012327651853888718,0.03961725898343598,0.29699368971089596,0.11452976025392433,0.14696322261240768,0.15072022408656813,0.0320665719151558,0.03114933595809004,0.11363453624614618,0.14539291378722138
Lrrk2,0.029340816374651676,0.0649728445422276,0.05564505880680985,0.07217993462655943,0.049958981309646745,0.09762826963468314,0.061734560387328684,0.05872524626259978,0.025590076182428437,0.08777167416640924,0.03382752957325288,0.014883022692691579,0.009425914311062253,0.024930425909683
Kcnd3,0.013810491435503855,0.017050066572156807,0.017382169385007834,0.05351251940264301,0.04224606730174349,0.032658928211929165,0.023009130871976986,0.00995683769377018,0.013246541953599759,0.002143007190213446,0.018647922386274097,0.04510341050236879,0.02869875271163927,0.01631693287644807
Ltf,0.046970610532897014,0.27349279750974953,0.1011789584680976,0.20099998884583803,0.17678819624297207,0.25359240927930043,0.026832589078559056,0.01615251253330483,0.22978120418728695,0.08009717680870387,0.036114005158471844,0.1462824235267375,0.197530497702352,0.05082711756114904
Gabrg3,0.10091311623529066,0.19828210891599998,0.16792832729250673,0.0687020291836519,0.3761160380627322,0.3538822997553211,0.025876539049970736,0.41334271172053827,0.09538609180922439,0.3093251357646791,0.13332159379073133,0.2398514699983685,0.050766107517009364,0.2894960156556404
Kcnq3,0.06091811928341953,0.4259946346155648,0.2133962591942374,0.5409599920988795,0.2111133604051823,0.6844394778180354,0.33284985699298997,0.42607220303381005,0.05667368773647026,0.48242450614649757,0.2693496204204699,0.05505570572609617,0.20337807114786535,0.1527441148030439
Alb,0.35610369602703185,0.5219033015473824,0.40442616715264235,0.28267046823144437,0.2651215247675265,0.33197677772933865,0.16101772110558252,0.1476443788569257,0.3137528896653479,0.21121635626879512,0.19663036701009906,0.0720489944599881,0.12168706439097392,0.050118550028757015
