,Scn11a_Scn9a,Scn11a_Scn7a_Scn9a,Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn9a,Scn11a_Scn7a,Scn10a_Scn11a_Scn7a,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a,Scn10a_Scn7a,Scn10a_Scn11a,Scn7a,Scn10a
Dsp,0.07324266363583133,0.08141046761388251,0.04092076087293724,0.06627885460678692,0.032686073828331864,0.04068293945142319,0.032975920400272966,0.04902167679688266,0.041106562131575805,0.0328941694424885,0.0008546835453391879,0.02504594432755286,0.007996865623091326,0.00902248577774732
Mme,0.6058172148316943,0.31803247194865425,0.21191497521752287,0.28508553213843824,0.5333283963291565,0.5271230022494298,0.20641917919912925,0.49921274041197017,0.8198191889330807,0.8130990275502341,0.606832860466373,0.49164385782408365,0.28514119306732566,0.3225960612043793
Itga2,0.08329051766249548,0.09869941410862826,0.00904070145653219,0.06789689148134946,0.024556499493647237,0.10915272524781001,0.09488918578793362,0.006299475210185206,0.00820077129186083,0.09349184893239583,0.0015805956130988334,0.07871671460146325,0.015767777393971453,0.014767497148739196
Ntrk2,1.2836676366942357,1.597727027520393,0.5306454444722164,0.7045902774333389,0.05422269721338535,1.087945039446233,0.49944727347846574,0.8434026124503641,0.26479628282175427,0.7666263628679713,0.27349629263467795,0.1728088719986155,0.3197393583352001,0.598472270495309
Kcnj1,0.23167332643689773,0.17960041026694978,0.42732035468489277,0.3420201617805966,0.5362316604110166,0.24678259106910996,0.13704535652806757,0.3765650049470987,0.4857515991630667,0.19734479016752918,0.059532496974817925,0.08758789392252049,0.04899861502351961,0.10855732819015722
Grm1,0.20914726574383477,0.2474350498822744,0.04879151720095348,0.2533199997989438,0.0931604114662332,0.1989377771852472,0.243262093229266,0.08665130661376655,0.12942413923426802,0.16122065746802788,0.08183635847069977,0.20702511789909708,0.03742288000034467,0.04600954490218497
Ryr2,0.06468738455946821,0.15533003029433934,0.06737417317355517,0.06502323160508601,0.06759320502713713,0.08654675472756346,0.08851804140980109,0.1579803164576297,0.1566515243558193,0.0022195219663541962,0.09082517758748541,0.0008615249641118438,0.08892690315632772,0.0031029501158242366
Gria2,0.00470333447502364,0.16015488742265332,0.20915854580787102,0.030292016087169974,0.18340461433402844,0.36469909920208216,0.38773272247925655,0.05389767099442647,0.02922423209952582,0.21185343255660005,0.17572673990830362,0.23610739196844327,0.15245159154898938,0.024495473830624056
Lrrk2,0.2086226435080448,0.13701246992095367,0.0746278982714933,0.16283947643835162,0.02824902389602988,0.06039365554281941,0.0169933084909358,0.0027041934022269,0.04390983121017036,0.1308516053039985,0.11514377351823568,0.08752180876745559,0.07101447417155352,0.04411362539950056
Kcnd3,0.09776396569812422,0.1412593162071054,0.07427102657812891,0.18415853116093678,0.16024183489012842,0.06960260063699132,0.16107497629158304,0.11778073552762341,0.2033852541900655,0.026150353404889203,0.13502516956539837,0.11816138602763718,0.04344506704786824,0.09208285760053975
Ltf,0.10763937416735608,0.10121000350527595,0.1338816760854521,0.13338307594163434,0.1493515098609837,0.033229318590135185,0.003956027243094832,0.12767537228059342,0.14220048628659407,0.026793392442129135,0.012425731261425961,0.003542711111161205,0.006639302948827479,0.02022625584118733
Gabrg3,0.03149216789429485,0.1392396773507928,0.05300259039472239,0.08970546212128248,0.0007734632883533865,0.0874746301406987,0.02821919787916554,0.2250533951327243,0.16988510689680983,0.08823995218069054,0.12153957741761522,0.1458019050137606,0.17796169100705214,0.05450066467310268
Kcnq3,0.39830446967774835,0.32128895842419813,0.18623052668712484,0.5775205008823632,0.36909745750781525,0.13023448727038867,0.30820565873233946,0.10735966082806507,0.2902984065408104,0.2057178149491695,0.10488185426051286,0.3845388642474822,0.07724293712786943,0.18260359348385086
Alb,0.002274396816885513,0.005840232834615549,0.00116595519013655,0.0016365200548521491,0.0017672325075265211,0.003989344378430145,0.004548793633771026,0.008867533715748898,0.009426982971089778,0.004099142712360323,0.00821397110149844,0.003539693457019442,0.007691121290800952,0.0005751348268550968
Usp53,0.008974505713777638,0.003689200545762094,0.010647070906259154,0.0006881410271314442,0.0023320334416380433,0.007349728538037147,0.012893086847784554,0.005275747917434001,0.0020261930849075683,0.0016725650321330343,0.011411672118782308,0.008496630356821874,0.005791853719852281,0.006871852860384417
Kcnh1,0.029327530796086403,0.0469026661682951,0.10252875740233629,0.03574894078107068,0.10934215671011635,0.05785683965947161,0.05228353898334593,0.12003262851063189,0.1267177377948589,0.07444132523790427,0.022457120077175853,0.06890366147657163,0.016769787969683515,0.005758601154241935
Rimbp2,0.01047466532810835,0.0764085911661966,0.08415624942351635,0.012396260261702721,0.08644553429474063,0.01012886561295149,0.007204888839852284,0.14673285198343863,0.1491271934725542,0.07625101211435226,0.0667612164477703,0.07369472057888887,0.06330322164619877,0.0030815562949429586
Ifng,3.8779210995342304,3.4918265447618975,1.8961617106198783,3.007527656767859,0.9778997624733105,1.6400025662797646,0.7338491814879855,1.515725316690102,0.5936836078394014,2.0288131976769335,1.308928563617249,1.1506113626896946,0.37968954819381057,0.913871276767926
Dlgap2,0.10030558776130234,0.10996479669304988,0.05356283491723477,0.07429053100421065,0.028555872608140836,0.058356438056296984,0.026910001515271276,0.06356150534435143,0.03378151514011427,0.04822403924380025,0.020213361241017528,0.02085113650523217,0.010636445001002701,0.026714554301420244
Epb41,0.0658143848324001,0.0443871717022891,0.07052211572106859,0.08638137763251859,0.09082322314384636,0.026369545985131592,0.003956995937118821,0.048602233476004966,0.0690675630624313,0.004950155019771237,0.0006334321315687588,0.017235611290629633,0.02166181640846657,0.02203718322823967
