,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn9a,Scn10a_Scn9a,Scn11a_Scn7a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn9a,Scn10a_Scn11a_Scn7a,Scn11a_Scn7a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a,Scn7a,Scn10a
Dsp,0.11047324765589141,0.10968506830661504,0.1333163151329764,0.1276357211803115,0.06524866268776885,0.08605381766807514,0.07923001236670718,0.07747612813799476,0.07640391861456282,0.06076809679273795,0.027927194633062567,0.054405837665238876,0.025598152732645818,0.009294863241907127
Mme,0.06937399891468826,0.007029621878704118,0.0065471368755154,0.049415003451029,0.1181904763075793,0.061654239683390635,0.01459058746186244,0.04919513560658598,0.11375039551579356,0.013167562622650881,0.0091061388149773,0.057214158891604895,0.06318109049237414,0.051308300667417525
Itga2,3.9736975570132946,3.9689928804733823,4.08788604514186,4.123678159409909,4.060110344075093,4.1886384094773454,4.2269898455566866,0.0011479072814764,0.023089871521186328,0.12809516039898444,0.12015390028217451,0.0867704985689216,0.11751935971744158,0.037203486921266946
Ntrk2,0.4771369841867368,0.40506199102497786,0.7823055434438194,0.7155305933426676,0.2564190772030646,0.5741247728485268,0.49642691748341894,0.5922578698450269,0.5139681342479876,0.27492881910121586,0.3801491729564943,0.1943791689573646,0.3016980052196317,0.06421911123629079
Kcnj1,0.0017299749956826557,0.005719729901129185,0.0018056614534430638,0.005790010172969506,0.025008951052198507,0.025084637364838094,0.029090611989011455,0.025322509255080318,0.022565361691876572,0.025484693381474747,0.0025733378224040426,0.022727545818271,0.0001513728110338262,0.002735522964644214
Grm1,1.5119675438293239,1.6093680243227981,1.574094688365077,1.6822633004615724,1.7661039101522553,1.831443773974026,1.9457275818346258,0.2982723646367806,0.18534009800936824,0.37074666068930706,0.03208278122677872,0.2557538219973525,0.06923942559358193,0.10892192668738669
Ryr2,0.05759765800650129,0.10232201202987072,0.005827592831589996,0.04491814454504914,0.0674533503011706,0.012416510048589874,0.07802883994324418,0.14923344859332283,0.07872095259864471,0.09408586492803427,0.12121669588275265,0.023338056018363723,0.06217944434261601,0.061404279933550694
Gria2,1.4304833624947584,1.3771669184765827,1.3776199424683646,1.3251746871912822,1.479740129828389,1.4294554167828033,1.3730898487108878,0.0467651331864227,0.10278223526232347,0.005680116975047944,0.002543855996396271,0.05084227091667823,0.054605782892545404,0.05300280584015817
Lrrk2,0.006403373403376777,0.024537777894914587,0.010929018241148399,0.03502123391790059,0.012106577057578156,0.005607725669886443,0.02460779542514033,0.007644584209349826,0.0242768061046996,0.00665798093438978,0.010693506050702288,0.0071735606827779234,0.01625031081241035,0.02189622759059074
Kcnd3,0.5469552992361099,0.523579236568823,0.637000964901303,0.6171305388690914,0.5437797756845134,0.6327879317841021,0.6010487186144983,0.12488180717297367,0.08863087270094165,0.03305972352683097,0.10675633993695766,0.006696833997546406,0.08205979856152297,0.017811063964239704
