,Scn10a_Scn11a_Scn9a,Scn10a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a,Scn10a_Scn7a_Scn9a,Scn10a_Scn11a_Scn7a,Scn9a,Scn10a,Scn11a_Scn7a_Scn9a,Scn10a_Scn7a,Scn7a_Scn9a,Scn7a,Scn11a,Scn11a_Scn7a
Dsp,1.2398256027408288,0.6803093952068198,0.4731311756061726,1.3213062911101683,0.7631868906154584,1.4045407737775648,0.0744966271343854,0.7557682735554566,0.5622787837707083,0.8414859398055425,0.0167229402876708,0.09542552204243998,0.5527183993889087,0.6470264653845261
Mme,0.23471061208155372,0.06507877924730736,0.33045121743360334,0.7422433545718553,0.9094828036789854,1.5886763662080254,0.5069119326881422,0.5764272106286255,0.5127717492469492,1.424858966647884,0.33753751313343106,0.8503849519951416,0.17306898473934024,1.0220154403003594
Itga2,0.7829274700644734,0.37671713209024865,0.2217595634313855,0.9612670085575058,0.3477618173728148,0.9407624302851861,0.16819094823280265,0.5377988795876608,0.19363377448556218,0.5138336274961892,0.20139104970496227,0.026233458422313193,0.40792121286107863,0.3869435139036473
Ntrk2,2.2527947257513747,2.089752578451906,1.7971650176230682,0.6160809937302901,1.3350811895313757,0.13690175151736136,1.6168655952653783,0.45699459111629703,1.0402265470954006,0.29684407072979463,0.8597651861788883,0.7571698418202786,0.17539524166491857,0.5799008148158353
Kcnj1,0.003651300340989792,0.003651300340989792,0.003651300340989792,0.0,0.003651300340989792,0.0,0.003651300340989792,0.0,0.003651300340989792,0.0,0.003651300340989792,0.0,0.0,0.0
Grm1,0.7354431375835482,0.6027621992234855,0.2875966569375278,0.603581058869495,0.52414993299816,0.5286196735598001,0.14531666793747677,0.46182425436840024,0.21755986297843236,0.3858278648428977,0.07576893054805346,0.06490743045329606,0.1517994480028399,0.08605039475635518
Ryr2,1.0833145788327663,1.0013909514603414,0.699811817624804,0.4764272106502179,0.8995865954775738,0.36823676393179805,0.607539968103761,0.39115905511570864,0.6068756961087006,0.2822344408176294,0.5134035390001623,0.10019619837231072,0.09565135480224604,0.004941054756240077
Gria2,3.182730195039957,2.737585114820912,0.9013845301297532,2.697248909978809,2.0478848930493596,2.0121222871252007,0.4539675563436278,2.255113720915565,0.20973684937465056,1.5727608018706474,0.23334256927675384,0.6798153035737606,0.44700386622499155,0.23520151864850342
Lrrk2,0.852650152219357,0.8395414006446197,0.4030706432479168,0.47759735683262916,0.46383223400626994,0.09845628082615027,0.3813352418960025,0.45916257958637113,0.02550486453798688,0.07941202363018308,0.0046040031362599215,0.38082888757162614,0.026883253605377456,0.35413317400327465
Kcnd3,1.0488705521560744,0.6877519757197254,1.6484325427123552,0.23809302084016043,0.5588453929487126,0.3594919169386338,1.287138759139647,0.6007882095883774,1.5118180845254146,0.7267668010649134,1.1456943906383548,0.1398677561894241,0.36254504719067554,0.22573040026034616
Ltf,0.1729340412678189,0.20493674182038238,0.09795798647106677,0.2383689885763157,0.31940820730975245,0.3451122395105484,0.07202937674252023,0.2638101285717667,0.036915671394152916,0.37908124461245796,0.07018359434901145,0.14255802960815966,0.018896004467203242,0.11568189172766116
Gabrg3,4.261814196831279,3.9221012665848174,1.8930313098844889,2.7251947982523195,3.0757237572793206,1.8741400955963268,1.540163876790362,2.385335627167826,1.033755058274721,1.5338789844344696,0.6831896233312957,0.8615782497604698,0.35473098459900976,0.5080531160455839
Kcnq3,1.983860413236903,1.2492286594668178,3.7062504680125308,0.9985168892450441,1.1502696310999494,1.1009733543002946,2.970452902012985,1.7386278543176183,3.618316361941612,1.8492114757231422,2.877439393075762,0.10482129185987898,0.7429754532317172,0.6471474147267198
Alb,0.03498719443272507,0.031480935865898604,0.02969010337435711,0.07044566157248192,0.07028542910510306,0.11165363549707046,0.034327415173000086,0.06703365628200206,0.009830722987969916,0.10796829507265557,0.004675013109181615,0.04107602186782276,0.00453363161333702,0.04592069150695814
Usp53,0.036497293313181356,0.03206340417628633,0.046216996380391596,0.004598465310725892,0.02375712444684862,0.01505392299656896,0.04195736591649523,0.009196930783871673,0.0351129138996747,0.018442266592267532,0.03284756414428311,0.009816513441098388,0.0042015452140828115,0.007715740834056982
Kcnh1,0.3638549616851382,0.06299000986438923,0.11763092414029473,0.9080333895105002,0.17231432415104447,0.7931430162505084,0.5428188130255559,0.48724312347708953,0.2383847850314487,0.3734574506078383,0.6608958658956313,0.12173111477008017,0.4204078587774173,0.2979756794830541
Rimbp2,0.22950695087687337,0.3040885365329738,0.16745958042723755,0.005989892756418958,0.317850442879998,0.002732579188556858,0.24210057863788448,0.0672254084546683,0.18032052481842864,0.07170050199024085,0.25809012356974176,0.009247206656491718,0.0724331494148674,0.0672254084546683
Ifng,0.020114490127684254,0.009050591327900299,0.2099848609414951,0.16827533397720892,0.11193989341464258,0.0512866869407661,0.19841299830517042,0.17988437377776711,0.30290055314767367,0.06302581621874741,0.2918862096214171,0.1038247168410718,0.00952759033548047,0.11263990591966455
Dlgap2,0.4890801003840314,0.7117972875606212,0.26663684855408903,0.009715427719374743,1.2443544589593045,0.5338426974110501,0.4948545582076547,0.21706920293639345,0.7936091841106752,0.7292261040061896,1.0106995166566453,0.5010926511458322,0.20598392240370103,0.3034332433392053
Epb41,0.005578810910500255,0.04295422517572491,0.08160648121294573,0.02896791053892489,0.09680415636221743,0.08736208406497119,0.0324644891981249,0.07502583802196759,0.034952691812159334,0.1338325278725465,0.014182751714185777,0.05175460162867423,0.047112141848982915,0.003601345137090919
Kcnq5,4.232970726400816,4.576544425845034,1.4197749918320033,5.355220898803146,4.8214745081505095,5.600777204144531,1.083600894665728,5.719400033925388,1.1778616667822583,5.970591391617755,0.8298480627254405,0.26564927904968805,0.3547872220419049,0.10359581660092677
Slc39a8,0.16160212746486666,0.08680516951016132,0.09696127716185042,0.33537528392832505,0.11144237296469658,0.3606536122239083,0.1735899876935937,0.2609446942452185,0.07715789283182566,0.2866707688020991,0.15297248883067285,0.021838675442777945,0.07688312943307213,0.0978771585723476
Ccl3,0.015709659112492825,0.020310871017492217,0.05253272748854831,0.06524959393362435,0.030901013875158263,0.07509738663371458,0.04790142010310592,0.06956322919693898,0.043393837384877246,0.07953140381880122,0.038916350147091563,0.009523437241372576,0.004614587195353275,0.004922226054471024
Slc34a1,0.34111337198228275,0.34778962363344534,0.3188213678034972,0.010630436826457484,0.42840268044282215,0.08626252411180635,0.3255019731381482,0.020352065682071135,0.3996441239065827,0.09971988175245519,0.40849626962511976,0.08161361584485574,0.009721628855613652,0.0681518932611923
Asic2,0.01679252364283249,0.5816948706777484,0.2004030893285642,0.35656433945617555,0.23412653736363578,0.7057473443100895,0.36519126919326944,0.1929756288830518,0.467145891951673,0.17286150273423037,0.07658129135178557,0.30471050160722574,0.5512468993054149,0.8371811525446922
Nefl,0.04294925541009975,0.04702846801185534,0.005410834873707762,0.03198297289993688,0.04108137256975295,0.026258817112937535,0.010128745285317996,0.03654422265272149,0.00040370370804682597,0.031030956602948617,0.004904698695644913,0.005706080910184481,0.0052662245371183775,0.0105987288792335
Gabrb3,0.8468502013726117,0.8028132652915089,0.033689248086920406,0.8317602241752157,0.4812288900876301,0.5113898767895588,0.008403342896742235,0.7867179048973882,0.29190709649495494,0.4666416204010903,0.3323588521999818,0.32268456503993237,0.0445965212105589,0.27891320848390533
Rgs7,4.360045739437125,3.67624813439347,2.340956832892978,2.6862451165760293,4.096790643534172,3.1050257951538365,1.668269764138064,2.001786671101011,2.7803925215609713,2.4097502191510283,2.0970842135300867,0.41141420673486523,0.6742288655264654,1.0992744509933137
Grid1,4.435043775884991,3.572171844586726,1.8652037003272066,3.441531684580971,2.996866019207811,2.865789078301831,0.9882723687311319,2.588724393925753,1.2961414610451139,2.0111696505364547,0.42086938408728614,0.570830570106576,0.8670415864497636,0.29730258400679394
Bcl2,1.3618539214131433,1.7411000765786964,2.889376261917484,1.9371774819138414,0.8357942840466479,2.8733438749994735,3.283111801597452,1.5597754316669588,1.9574626360192133,2.4796834728278543,2.364370443890774,0.9382738896984851,0.396445272893353,1.3486816532215518
Hnf1a,0.029448844003444483,0.048908270153421946,0.007485107636778264,0.02090635977993557,0.023429221991882555,0.0035987878061762664,0.01327284912804975,0.04005970141226914,0.03371544786740442,0.01617599487539474,0.012614308071975328,0.02656424875747793,0.020609553251760525,0.04737785503460149
Kcnj6,1.5050971735354957,1.0847748187485695,0.14814349968375512,1.7791417390218813,0.9479163383900754,1.6496458765895,0.26330555411012063,1.356161962325696,0.01645432209876172,1.2286408897168992,0.41828377853135834,0.140435088938221,0.41652731859771475,0.26855673364608473
Prkcb,0.05746276836396156,0.2438007362191228,0.22937855393516146,0.14283514745580173,0.4607807419118301,0.08173601238470596,0.08079096989655307,0.1584386388818249,0.007734977729299154,0.38000003308911956,0.2990447102251377,0.22449925304759408,0.30782745871632555,0.07998973410066083
