,Scn11a_Scn7a_Scn9a,Scn7a_Scn9a,Scn10a_Scn7a_Scn9a,Scn11a_Scn9a,Scn10a_Scn11a_Scn9a,Scn9a,Scn10a_Scn9a,Scn10a_Scn11a_Scn7a,Scn11a_Scn7a,Scn10a_Scn11a,Scn10a_Scn7a,Scn11a,Scn7a,Scn10a
Dsp,0.06612775136178269,0.055970875156868466,0.0531471189377225,0.03671602987897198,0.03343125148650399,0.02640787929297519,0.023079881582433053,0.03567873143924525,0.03792620945832278,0.006526333599534373,0.026429489918844137,0.009386106819451885,0.028669765040519924,0.0028525697424166543
Mme,0.1167914778011968,0.05504083718165252,0.03942095691512992,0.0713419177159887,0.055987702445330315,0.009155307462181116,0.006273838100787395,0.08938686764448672,0.10482963638995127,0.0444754490051117,0.02899861841767819,0.0600408376387971,0.044707056730452666,0.015640317371703977
Itga2,0.25529735855899055,0.26182001968823093,0.30452185322264946,0.24116069644293717,0.2704618984599002,0.2437494584816762,0.2897126396129406,0.05331067888356417,0.0161289862710553,0.04482106820907322,0.06280279443638262,0.011078367603562275,0.015519866192110252,0.041826230659631015
Ntrk2,1.532758254784529,1.5643692901711588,1.6582038961755106,0.9914788510318475,1.0830407982362709,1.0264645436832336,1.125602116507206,0.6284336170712186,0.5448949986110198,0.07431012513012031,0.6567045427727488,0.016838577849461116,0.5602528709515313,0.10454380686539555
Kcnj1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grm1,0.384556825999604,0.8510244210670217,0.8607432789039936,0.18081012918456693,0.17319053034364607,0.6430791410375516,0.6613895278503268,0.24763719060808867,0.24915332282992916,0.4504897283959507,0.23165933698108787,0.45682646920475456,0.20860613877798923,0.02861239751288989
Ryr2,1.965097231318845,1.9507310509080082,1.7614725334921106,2.3704726406668652,2.220962429294433,2.356560785948199,2.1611129026495983,0.4918563191426019,0.39254244715689196,0.08165428282226853,0.5477877939863054,0.01873846549568324,0.4084417505209884,0.14848814528133372
Gria2,1.5237306463567686,1.4731356723628755,1.6092399074596226,1.179549809819505,1.2970331328976932,1.1295673184999826,1.254952336053623,0.5486434819023444,0.4081902601381426,0.18406538714993878,0.5033774925462862,0.05139130166698566,0.3541650748711256,0.1383093654098868
Lrrk2,0.06920190156567044,0.021340860703165456,0.023419516796795305,0.06504458937841075,0.06744370311256705,0.016871752426797917,0.01887245804506541,0.05397575207340755,0.051464041658214554,0.05077115823111846,0.0056556745600202735,0.04836338062060696,0.003386475959864619,0.002130621740366189
Kcnd3,0.2905939027709489,0.0815915251778622,0.029092512416750385,0.26845710682914614,0.14816756074833112,0.058323035678251936,0.05078768986331706,0.09945002197916189,0.22073323224964161,0.07513265932113854,0.09351559038622083,0.20466886716841134,0.019707830543845624,0.11730852341130947
