,gene,pathway
0,Fgf12,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_DEPOLARIZATION,GOBP_REGULATION_OF_VOLTAGE_GATED_SODIUM_CHANNEL_ACTIVITY"
1,Scn9a,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,GOBP_SENSORY_PERCEPTION_OF_PAIN,GOMF_VOLTAGE_GATED_SODIUM_CHANNEL_ACTIVITY,GOBP_ACTION_POTENTIAL_PROPAGATION"
2,Scn10a,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_DEPOLARIZATION,GOBP_SENSORY_PERCEPTION_OF_PAIN,GOMF_VOLTAGE_GATED_SODIUM_CHANNEL_ACTIVITY"
3,Dpp6,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL"
4,Dcdc2a,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL"
5,Kcnq3,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL"
6,P2rx7,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_DEPOLARIZATION,GOBP_SENSORY_PERCEPTION_OF_PAIN"
7,Glra1,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,REACTOME_NEURONAL_SYSTEM,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
8,Pmp22,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,GOBP_ACTION_POTENTIAL_PROPAGATION"
9,Cntnap2,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL"
10,Hcn1,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_DEPOLARIZATION,REACTOME_NEURONAL_SYSTEM,GOMF_VOLTAGE_GATED_SODIUM_CHANNEL_ACTIVITY"
11,Gria1,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,REACTOME_NEURONAL_SYSTEM,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
12,Rapgef4,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL"
13,Kcnma1,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL"
14,Scn11a,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,GOBP_SENSORY_PERCEPTION_OF_PAIN,GOMF_VOLTAGE_GATED_SODIUM_CHANNEL_ACTIVITY"
15,Kcnmb2,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,REACTOME_NEURONAL_SYSTEM"
16,P2rx1,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL"
17,Ifng,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL"
18,Grik2,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,REACTOME_NEURONAL_SYSTEM,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
19,Kcnd2,"GOBP_NEURONAL_ACTION_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,GOBP_SENSORY_PERCEPTION_OF_PAIN,REACTOME_NEURONAL_SYSTEM"
20,Ctnna3,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL
21,Slc24a4,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL
22,Atp1b1,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL
23,Ano1,"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,GOBP_SENSORY_PERCEPTION_OF_PAIN"
24,Slc6a4,"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,REACTOME_NEURONAL_SYSTEM,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
25,Reln,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL
26,Pclo,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL
27,Cacnb2,"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,REACTOME_NEURONAL_SYSTEM,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
28,Gna14,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL
29,Bcl2,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL
30,Kcnk13,"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,REACTOME_NEURONAL_SYSTEM"
31,Nrxn1,"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,REACTOME_NEURONAL_SYSTEM"
32,Dcn,"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,GOBP_REGULATION_OF_MEMBRANE_DEPOLARIZATION"
33,Gabrb1,"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,REACTOME_NEURONAL_SYSTEM,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
34,Slc34a1,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL
