tf,up_accuracy,down_accuracy,avg_accuracy,up_overlap,down_overlap
Ptf1a,0.949748743718593,0.7642276422764228,0.8569881929975078,106,2
Neurod4,0.914572864321608,0.7540983606557377,0.8343356124886728,99,5
Nhlh2,0.8090452261306532,0.7868852459016393,0.7979652360161462,109,5
Hes5,0.9899497487437185,0.5609756097560976,0.7754626792499081,126,3
Neurog2,0.9849246231155779,0.5327868852459017,0.7588557541807398,112,8
Neurog1,0.6834170854271356,0.8278688524590164,0.755642968943076,65,8
Neurog3,0.9899497487437185,0.47540983606557374,0.7326797924046462,140,1
Ascl2,0.7336683417085427,0.7295081967213115,0.7315882692149271,80,3
Atoh7,0.9849246231155779,0.47619047619047616,0.730557549653027,119,5
Bhlhe23,0.9849246231155779,0.47540983606557374,0.7301672295905759,91,2
Ascl1,0.9899497487437185,0.45901639344262296,0.7244830710931708,130,2
Olig3,0.9798994974874372,0.45901639344262296,0.7194579454650301,119,6
Hes6,0.9045226130653267,0.5245901639344263,0.7145563884998765,68,7
Ascl4,0.9849246231155779,0.43902439024390244,0.7119745066797402,84,0
Bhlhe40,0.9849246231155779,0.39344262295081966,0.6891836230331988,103,4
Npas2,1.0,0.3359375,0.66796875,130,0
Mycl,0.9748743718592965,0.3089430894308943,0.6419087306450955,93,2
Msc,0.7487437185929648,0.4672131147540984,0.6079784166735316,21,3
Tfap4,0.6331658291457286,0.5193798449612403,0.5762728370534844,71,5
Ascl5,0.8291457286432161,0.2222222222222222,0.5256839754327192,76,4
Atoh8,0.5577889447236181,0.4523809523809524,0.5050849485522853,24,4
Tfec,0.21105527638190955,0.5983606557377049,0.40470796605980724,0,1
Usf1,0.4020100502512563,0.4016393442622951,0.4018246972567757,11,2
Id1,0.09045226130653267,0.6935483870967742,0.3920003242016534,11,1
Bmal1,0.12060301507537688,0.6504065040650406,0.38550475957020874,0,2
Hes1,0.3768844221105528,0.384,0.3804422110552764,1,4
Hand1,0.005025125628140704,0.7540983606557377,0.3795617431419392,0,0
Hand2,0.020100502512562814,0.7380952380952381,0.37909787030390046,3,2
Usf2,0.0,0.7258064516129032,0.3629032258064516,0,0
Tcf3,0.0,0.7086614173228346,0.3543307086614173,0,0
Neurod1,0.010050251256281407,0.680327868852459,0.3451890600543702,0,0
Tal2,0.04522613065326633,0.624,0.33461306532663315,0,0
Myf5,0.04522613065326633,0.6229508196721312,0.33408847516269874,0,0
Heyl,0.27638190954773867,0.36885245901639346,0.3226171842820661,0,4
Myc,0.09547738693467336,0.544,0.3197386934673367,2,1
Myog,0.12562814070351758,0.5121951219512195,0.31891163132736855,17,1
Hey2,0.21105527638190955,0.41935483870967744,0.3152050575457935,3,0
Mycn,0.0,0.5983606557377049,0.29918032786885246,0,0
Bhlhe22,0.20603015075376885,0.35772357723577236,0.28187686399477063,0,2
Hey1,0.010050251256281407,0.48412698412698413,0.24708861769163276,0,0
Neurod6,0.06532663316582915,0.4262295081967213,0.24577807068127522,2,1
Neurod2,0.035175879396984924,0.3360655737704918,0.18562072658373835,0,0
