tf,up_accuracy,down_accuracy,avg_accuracy,up_overlap,down_overlap
Pou1f1_Atoh1,0.9798994974874372,0.8631578947368421,0.9215286961121396,133,6
Pou1f1_Neurog3,0.9899497487437185,0.8526315789473684,0.9212906638455435,135,6
Pou2f3_Ascl2,0.9899497487437185,0.8368421052631579,0.9133959270034382,113,7
Pou2f3_Neurod4,0.9899497487437185,0.8157894736842105,0.9028696112139645,117,5
Pou3f2_Neurog3,0.9949748743718593,0.8105263157894737,0.9027505950806665,134,6
Pou2f3_Neurog3,0.9949748743718593,0.8105263157894737,0.9027505950806665,127,5
Pou3f2_Ascl2,0.964824120603015,0.8368421052631579,0.9008331129330864,118,9
Pou2f3_Neurog1,0.9899497487437185,0.8052631578947368,0.8976064533192276,119,6
Pou2f3_Atoh1,1.0,0.7947368421052632,0.8973684210526316,120,6
Pou4f3_Neurog3,0.9949748743718593,0.7947368421052632,0.8948558582385613,133,8
Pou3f2_Neurod4,0.9748743718592965,0.8105263157894737,0.892700343824385,124,7
Pou3f2_Neurog1,0.9597989949748744,0.8157894736842105,0.8877942343295424,114,12
Pou2f3_Ptf1a,0.9798994974874372,0.7947368421052632,0.8873181697963501,127,9
Pou3f2_Atoh1,0.9849246231155779,0.7789473684210526,0.8819359957683153,135,7
Pou3f3_Neurod4,0.9899497487437185,0.7643979057591623,0.8771738272514404,124,7
Pou3f3_Neurog3,0.9949748743718593,0.7539267015706806,0.87445078797127,136,7
Pou3f3_Neurog1,1.0,0.7473684210526316,0.8736842105263158,128,8
Pou1f1_Ptf1a,0.9547738693467337,0.7894736842105263,0.8721237767786301,111,14
Pou1f1_Neurod4,0.9195979899497487,0.8210526315789474,0.870325310764348,106,15
Pou3f2_Ptf1a,0.964824120603015,0.7736842105263158,0.8692541655646654,117,13
Pou2f3_Neurog2,1.0,0.7368421052631579,0.868421052631579,117,6
Pou2f3_Ascl1,1.0,0.7368421052631579,0.868421052631579,123,7
Pou3f3_Ptf1a,0.9798994974874372,0.7473684210526316,0.8636339592700344,132,11
Pou4f1_Neurog3,0.9949748743718593,0.7315789473684211,0.8632769108701401,123,12
Pou4f2_Neurog3,0.9849246231155779,0.7368421052631579,0.8608833641893678,115,8
Pou3f3_Atoh7,0.9798994974874372,0.7329842931937173,0.8564418953405772,126,8
Pou6f1_Ptf1a,0.9899497487437185,0.7210526315789474,0.855501190161333,128,16
Pou3f3_Ascl2,1.0,0.7068062827225131,0.8534031413612566,117,8
Pou4f3_Atoh1,0.9547738693467337,0.7473684210526316,0.8510711451996826,115,15
Pou4f3_Ptf1a,0.9346733668341709,0.7631578947368421,0.8489156307855066,99,12
Pou3f1_Neurog3,0.8341708542713567,0.8631578947368421,0.8486643745040994,111,4
Pou3f3_Atoh1,1.0,0.6963350785340314,0.8481675392670157,131,7
Pou6f1_Atoh7,0.9949748743718593,0.6963350785340314,0.8456549764529453,125,10
Pou2f3_Ascl3,0.9849246231155779,0.7052631578947368,0.8450938905051574,115,6
Pou5f1_Atoh7,0.8793969849246231,0.8105263157894737,0.8449616503570484,105,11
Pou2f3_Atoh7,0.9798994974874372,0.7015706806282722,0.8407350890578547,117,8
Pou1f1_Ascl1,0.9849246231155779,0.6947368421052632,0.8398307326104206,125,7
Pou3f3_Ascl3,0.9899497487437185,0.6894736842105263,0.8397117164771224,124,11
Pou3f3_Ascl1,1.0,0.675392670157068,0.837696335078534,134,7
